last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
03-01-2025 09:15,24253.2,257350,900,800,15725,27200,N,-2325,N,9.15,24235,24253.2,24268.95,24230.05,6.9,3812475,-375,-450,7.05,6.95,35700,411675,N,141300,N,5.25,-11.5,2130525,75,-150,-10.75,-10.9,39225,254175,N,106875,N,-6.91,8.45,41940,-30,1170,19.6,4.6,8145,9840,N,12060,N,17.9
03-01-2025 09:20,24230.15,106525,-600,-2350,18275,24725,N,20325,YES,0.92,24249.15,24230.15,24255.5,24230.15,-10.7,2722200,-150,0,-9.9,-9.85,37875,26550,N,279525,YES,-0.26,13.9,2330775,75,0,12.9,13.35,39975,-859875,Y,56400,N,-1.63,-59.1,28410,2970,0,-63.6,-62.05,8415,18045,N,12705,N,3.05
03-01-2025 09:25,24211.75,197350,-600,-75,17600,14125,N,9375,N,-6.15,24227.95,24211.75,24230,24205.95,-8.4,3104475,-75,-975,-7.55,-7.65,43425,6150,N,74175,N,-2.69,11.05,3440625,-375,-7650,10.55,10.6,43800,-13650,YES,8325,N,5.19,-81.85,33495,-75,-75,-70.9,-76.15,8745,9780,N,3405,N,-19.83
03-01-2025 09:30,24187.3,208950,-25,75,24300,3375,N,35475,YES,-7.51,24212.7,24187.3,24219,24181.8,-10.75,2968200,0,-150,-10.15,-10.2,42075,-44475,YES,66750,N,-3.25,14.1,2469225,150,-150,13.35,13.4,37950,28125,YES,-10200,YES,4.15,-23.5,40635,15,-165,-20.45,-24.35,9165,-2235,YES,6240,N,-22.6
03-01-2025 09:35,24180.2,163625,1650,0,21125,40025,Y,34775,N,-6.6,24184.95,24180.2,24193.4,24173.05,1.05,1813350,-9300,225,0.4,0.3,43350,96900,Y,20400,N,-2.17,5,1622400,-150,-3225,5.6,5.6,40125,-60225,Y,-12000,YES,3.36,3.7,23265,-15,90,7.15,2.3,9330,5850,N,4080,N,-12.53
03-01-2025 09:40,24160,198700,-1175,100,18600,-13050,YES,35575,N,-5.74,24180.25,24160,24212.85,24158.4,-8.4,3097200,0,-450,-8.45,-8.55,41925,-102150,YES,104025,YES,-2.15,11.35,1939875,-225,-300,11,11,39750,16350,YES,-72000,YES,2.98,-80.5,37005,0,0,-77.9,-69.55,7290,-5130,YES,6180,N,-16.48
03-01-2025 09:45,24158.15,177775,75,-650,22250,-23675,YES,82250,YES,-5.84,24159.6,24158.15,24178.6,24151.25,-4.7,2215425,1125,-300,-2.6,-2.85,41850,71700,Y,67425,N,-2.13,2.85,1426350,75,1875,1.85,1.55,40800,-18300,Y,-6825,Y,2.84,30,57165,45,0,25.1,21.3,9705,6660,N,10200,N,-29.52
03-01-2025 09:50,24150,142100,-1150,25,16775,-12025,N,271925,YES,-4.78,24155,24150,24172.5,24141.2,-2.45,2108775,-750,525,-1.7,-1.6,39525,52200,N,95025,YES,-2.24,4,992025,600,525,2.1,2.55,44775,7125,YES,-3450,N,2.02,-17.3,18795,15,255,-6.35,-14.2,7035,-1635,YES,13095,N,-7.36
03-01-2025 09:55,24145,103325,125,500,16825,10525,Y,13575,N,-3.48,24150,24145,24158.6,24136,-7.45,2046825,225,-375,-7.6,-7.6,41700,37500,N,56325,N,-2.28,1.45,921825,-75,-75,1.1,1.1,52575,-975,Y,10425,N,1.8,-57.7,29985,-15,0,-50.95,-45.7,7095,2385,N,-2985,Y,-13.13
03-01-2025 10:00,24181.1,112475,-275,-475,15600,-66600,YES,71500,YES,-1.73,24145,24181.1,24196,24140,14.45,3116775,-1950,375,16.1,16.2,39150,94125,Y,-45525,Y,-2.18,-29.05,1508550,450,-1425,-30.1,-30.2,47025,-39300,Y,-975,YES,1.03,34.35,22005,-90,-75,55.1,59.9,8865,3645,N,5505,N,-5.97
