last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
06-01-2025 09:15,-6.4,207025,-100,350,3,-2.4,16775,72275,N,273500,N,-3.83,-0.65,2377425,1500,300,-0.35,-0.25,35175,100425,N,175725,N,0.7,-7.45,1056975,0,75,-7.55,-7.55,34425,27900,N,65475,N,-2.02,-68.25,89730,120,-135,-69.6,-67.15,8340,18105,N,21870,N,-42.02
06-01-2025 09:20,36,188475,-275,-325,32.65,32.55,17075,-1300,YES,30825,N,2.93,16.5,4876425,-450,150,18.05,18.15,39375,-1999575,YES,375,Y,3.7,-15.9,1802400,-300,0,-16.95,-16.9,37725,-1349025,Y,53550,N,-2.68,58,54225,-90,60,53.6,60,8160,570,YES,8715,N,-8.49
06-01-2025 09:25,-46.8,125425,-150,-75,-40,-39.8,19825,-4650,YES,19600,N,2.16,-15.4,5483550,150,825,-15.7,-15.7,43425,-142125,Y,246600,YES,1.45,26.2,2313300,0,75,27.8,27.85,41475,80175,YES,-21225,YES,-0.69,-215.15,144150,15,45,-205.1,-207.75,10500,-25980,YES,13275,N,-62.79
06-01-2025 09:30,-36.95,108275,300,500,-36.7,-33.7,18375,4225,N,-2475,Y,-4.61,-12.55,4336125,0,600,-11.5,-11.55,41250,-34350,Y,221400,N,-2.58,25.5,2648925,-75,0,22.95,22.95,39975,-2700,Y,-18375,N,6.6,-54.9,86625,30,0,-39.95,-40.4,9510,30510,Y,-8715,Y,-29.87
06-01-2025 09:35,-32.85,413325,-25,-125,-31.4,-32.9,22100,-66275,YES,110150,YES,-39.65,-4.35,5140725,-600,-75,-3.75,-3.75,39825,167025,Y,22500,N,-6.49,26.15,2499600,75,0,24.75,24.9,40800,-88575,Y,-25800,YES,15.9,31.15,109890,-45,0,40.2,43.7,10680,23565,N,-21105,Y,-43.55
06-01-2025 09:40,-0.8,163100,-25,-25,2.15,3.35,23700,70400,Y,-11950,Y,-6.26,1.95,3467100,-75,-525,2.65,2.6,46575,45375,N,1275,Y,-2.07,-1.45,1314825,150,0,-4.1,-4.3,47400,825,YES,24225,Y,5.42,-16.85,41220,45,60,-21.3,-23.4,8865,8595,N,11940,YES,-6.28
06-01-2025 09:45,30.35,149150,-150,25,27.9,31.15,22925,52775,N,-52700,Y,-3.97,7.8,2986350,-1575,0,6.55,6.6,47025,99900,Y,-9600,Y,-1.28,-25.3,958800,-75,-150,-23.95,-23.8,41175,-13125,Y,38250,N,2.81,3.3,41640,-105,-15,3.25,6.55,10740,29955,Y,-15150,Y,-9.46
06-01-2025 09:50,-3.5,64975,25,100,-4.6,-5,14975,-4700,YES,10225,YES,-0.64,-1.35,2520975,1275,-375,-1.3,-1.35,37275,100800,N,38850,YES,-0.53,4.6,626925,-450,75,3.75,3.55,42750,13275,YES,15825,N,0.93,-59.65,20055,-15,30,-55.35,-56.8,7620,-945,YES,13020,YES,-3.85
06-01-2025 09:55,-1.4,85825,-25,-75,-2.95,-3.4,16250,21650,Y,-25750,Y,-0.45,-0.8,3094950,600,-150,-2.15,-2.15,41550,-77850,YES,-44475,Y,-0.37,-2.9,810975,-150,-525,1.05,0.9,42825,-8475,Y,2100,YES,0.75,14.85,32715,1365,75,16.2,21.3,9420,-26280,YES,29520,N,-5.91
06-01-2025 10:00,31.6,129225,50,-150,29.25,31,25800,-76800,YES,12375,YES,1.27,10.5,3797925,3075,450,10.95,11,43500,102300,Y,12525,YES,0.51,-16.45,945750,-75,-75,-16.9,-16.95,42900,18000,YES,15975,N,-0.27,32.9,23550,-1380,0,30.25,37.2,8535,4110,Y,915,Y,-1.42
06-01-2025 10:05,27.65,184425,-300,50,27.9,27.2,18825,10425,Y,-117675,Y,2.86,5.85,3402300,75,-75,5.05,5.05,39825,-44925,YES,-17400,Y,0.49,-20.5,915525,300,-75,-18.75,-18.4,41325,-15525,Y,32100,N,-0.56,61.7,33255,-15,-90,57.15,50.8,9795,3900,N,2340,N,-2.69
06-01-2025 10:10,-1.35,70100,-25,300,7.5,6,16175,21475,N,39150,YES,1.35,-2.5,2730450,-450,-75,-2.35,-2.4,37125,30975,Y,125025,YES,0.54,-3.9,733350,675,-225,-4.45,-4.35,43125,22050,YES,3075,N,-0.84,28.75,15255,-105,15,14.6,23.05,7995,2190,YES,24915,YES,-0.44
06-01-2025 10:15,-7.4,90400,-100,100,-5.65,-5.3,19150,10025,N,58350,N,2.53,-2.1,3880500,600,75,-1.9,-1.75,38475,-55500,YES,-68475,Y,1,3.95,1230975,0,1125,4.35,4.2,38100,24375,N,18150,N,-2.08,-28.2,21660,0,75,-26.5,-28.2,7560,1275,YES,23700,N,0.79
06-01-2025 10:20,-41.05,80725,-75,100,-43.1,-42.55,21900,-8675,YES,17375,N,0.25,-13.55,2746275,-5400,150,-13.45,-13.5,39975,-99150,YES,53625,YES,-0.12,23.55,1130400,75,-150,22,22.15,39675,-5175,Y,-29925,YES,-0.32,-107.35,19050,75,30,-97.65,-93.05,7830,420,YES,-25395,Y,-2.09
06-01-2025 10:25,-19.45,68100,0,225,-14.6,-13.95,17325,-20725,YES,32325,N,-0.2,-10.7,1898475,525,450,-9.35,-9.3,42975,-27375,Y,67650,N,-0.38,18.35,816375,150,0,13,13.05,38100,19725,YES,-35325,YES,0.34,10,9600,0,-90,14.9,0.8,5535,2445,N,-1260,YES,-1.32
06-01-2025 10:30,-21.55,90825,-25,-125,-18.1,-19.5,19025,25075,Y,-24125,Y,-1.46,-7.9,2105325,1275,2700,-7.35,-7.25,42000,112650,Y,27375,N,-0.85,11.8,762000,-375,-75,12.4,12.2,39225,-14625,Y,-10125,Y,0.99,-21.7,19935,-60,15,-24.85,-13.75,8460,25770,Y,-4155,Y,-3.82
06-01-2025 10:35,-13.45,109025,-25,0,-17.05,-16.9,20550,8225,N,-7225,N,-2.72,-1.55,2166675,-300,450,-1.4,-1.35,48450,-58125,YES,57375,YES,-1.04,11.35,712200,-525,75,11.3,11.3,42975,-35925,Y,-5100,N,1.42,14,14385,-105,-15,13.8,2.95,6900,15450,N,-5745,Y,-2.77
06-01-2025 10:40,-52,241125,250,-100,-50.7,-54.45,19425,-57400,YES,83425,YES,-8.38,-13.25,2815650,450,1875,-13.45,-13.45,47775,-167475,YES,103125,YES,-1.53,44.15,836625,450,-150,43.65,43.7,39975,-2400,YES,-52425,YES,2.51,-139.95,54585,225,45,-140,-132.9,8895,-19290,YES,12855,N,-14.12
06-01-2025 10:45,-11.25,206375,-725,25,-9.15,-5.35,23450,20450,Y,10350,N,-8.43,-0.35,2340450,750,1200,-0.55,-0.55,46875,119925,Y,7500,N,-1.47,2.45,581850,-300,0,3.05,3.05,39150,-8175,Y,8625,Y,2.39,-19.4,49260,0,75,-17.95,-21.75,8565,-75,N,-10680,Y,-15.36
