ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
23766.6,48025,2025-01-08 09:15:25,1736307926,100,50,23768.75,23774.85,150,169025,330375,23776.23,23763.85,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-28.45,-0.1196
23766.75,51075,2025-01-08 09:15:26,1736307926,75,100,23766.75,23774.3,25,165525,329850,23775.73,23763.85,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-28.3,-0.1189
23770.55,51075,2025-01-08 09:15:26,1736307927,75,100,23766.75,23774.3,25,165525,329850,23775.73,23763.85,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-24.5,-0.103
23770.25,54625,2025-01-08 09:15:28,1736307928,25,100,23767.55,23770.5,25,168450,336525,23775.19,23763.85,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-24.8,-0.1042
23768.65,54625,2025-01-08 09:15:28,1736307929,25,100,23767.55,23770.5,25,168450,336525,23775.19,23763.85,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-26.4,-0.1109
23767.6,58050,2025-01-08 09:15:29,1736307930,100,100,23768.4,23770.15,100,157750,335575,23774.76,23763.85,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-27.45,-0.1154
23769.3,58050,2025-01-08 09:15:29,1736307930,100,100,23768.4,23770.15,75,157750,335575,23774.76,23763.85,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-25.75,-0.1082
23768.85,58050,2025-01-08 09:15:29,1736307931,100,100,23768.4,23770.15,75,157750,335575,23774.76,23763.85,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-26.2,-0.1101
23768.55,63100,2025-01-08 09:15:31,1736307932,25,450,23767.1,23768.55,375,151325,335050,23774.3,23763.85,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-26.5,-0.1114
23763.3,63100,2025-01-08 09:15:31,1736307933,25,450,23767.1,23768.55,25,151325,335050,23774.3,23763.85,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-31.75,-0.1334
23761.0,75725,2025-01-08 09:15:33,1736307933,525,100,23760.0,23764.0,25,108900,356575,23773.06,23761.0,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-34.05,-0.1431
23764.05,75725,2025-01-08 09:15:33,1736307934,525,100,23760.0,23764.0,25,108900,356575,23773.06,23761.0,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-31.0,-0.1303
23764.05,81075,2025-01-08 09:15:35,1736307935,25,150,23762.05,23764.05,25,151875,349850,23772.35,23759.0,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-31.0,-0.1303
23767.1,81075,2025-01-08 09:15:35,1736307936,25,150,23762.05,23764.05,900,151875,349850,23772.35,23759.0,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-27.95,-0.1175
23767.05,83950,2025-01-08 09:15:36,1736307936,25,75,23763.9,23767.05,25,147575,355225,23772.07,23759.0,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-28.0,-0.1177
23763.15,83950,2025-01-08 09:15:36,1736307937,25,75,23763.9,23767.05,25,147575,355225,23772.07,23759.0,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-31.9,-0.1341
23765.45,83950,2025-01-08 09:15:36,1736307938,25,75,23763.9,23767.05,25,147575,355225,23772.07,23759.0,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-29.6,-0.1244
23764.05,86725,2025-01-08 09:15:38,1736307938,25,75,23761.55,23765.45,25,113725,340925,23771.77,23759.0,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-31.0,-0.1303
23763.45,86725,2025-01-08 09:15:38,1736307939,25,75,23761.55,23765.45,75,113725,340925,23771.77,23759.0,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-31.6,-0.1328
23767.1,90200,2025-01-08 09:15:39,1736307939,200,100,23762.35,23767.05,225,177500,345450,23771.44,23759.0,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-27.95,-0.1175
23758.45,90200,2025-01-08 09:15:39,1736307940,200,100,23762.35,23767.05,125,177500,345450,23771.44,23759.0,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-36.6,-0.1538
23762.25,93025,2025-01-08 09:15:41,1736307941,50,375,23761.15,23762.35,25,183500,323625,23771.1,23758.45,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-32.8,-0.1378
23764.0,93025,2025-01-08 09:15:41,1736307942,50,375,23761.15,23762.35,100,183500,323625,23771.1,23758.45,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-31.05,-0.1305
23767.05,95575,2025-01-08 09:15:43,1736307943,25,4250,23763.95,23767.1,75,180675,349875,23770.88,23758.45,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-28.0,-0.1177
23763.55,95575,2025-01-08 09:15:43,1736307944,25,4250,23763.95,23767.1,25,180675,349875,23770.88,23758.45,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-31.5,-0.1324
23765.55,96750,2025-01-08 09:15:44,1736307944,500,225,23764.65,23765.55,25,184825,315000,23770.8,23758.45,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-29.5,-0.124
23764.65,96750,2025-01-08 09:15:44,1736307945,500,225,23764.65,23765.55,75,184825,315000,23770.8,23758.45,23800.0,0,0,23800.0,23795.05,sf,NSE:NIFTY25JANFUT,-30.4,-0.1278
