last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
13-01-2025 09:15,0.4,38550,15,-30,-7.7,-6.25,3465,-2040,N,-3030,N,10.42,13-01-2025 09:15,-11.85,342825,-75,225,-11.2,-11.35,11400,-15150,N,-6300,N,0.1
13-01-2025 09:20,53.65,75870,-30,-45,53.45,44.25,8415,9555,N,21480,YES,21.15,13-01-2025 09:20,-3.2,560775,-75,300,-5.8,-5.5,38025,-2672175,Y,9675,N,-1.35
13-01-2025 09:25,86.45,84240,45,-15,83.2,98.25,10020,6390,N,-7365,Y,24.15,13-01-2025 09:25,-17.65,681600,150,675,-17.95,-17.45,44700,-9375,YES,21675,N,-3.24
13-01-2025 09:30,-53.4,48105,30,-30,-53.4,-62.2,11655,8775,N,6000,N,8.89,13-01-2025 09:30,13.25,724050,-75,-150,10.75,10.45,52050,3000,N,10275,N,-2.64
13-01-2025 09:35,-144.6,38100,-120,-75,-126.7,-128,8745,-1530,YES,11100,N,-0.36,13-01-2025 09:35,11.05,401025,300,75,11.75,11.65,47925,5850,N,-15525,YES,-0.11
13-01-2025 09:40,24.65,48480,0,90,40.3,38.55,8580,-675,N,780,Y,-6.32,13-01-2025 09:40,-22.6,416400,0,-300,-20.3,-20.4,43500,-15300,Y,7800,Y,-0.29
13-01-2025 09:45,-193.45,61365,75,90,-181.1,-179.5,8805,-4140,YES,8130,N,-16.57,13-01-2025 09:45,32.75,535050,-225,-150,29.65,29.7,48525,4350,N,-26025,YES,1.05
13-01-2025 09:50,2.15,33660,-60,-45,4.15,16.4,9285,8640,N,-5145,Y,-9.23,13-01-2025 09:50,-3.15,309150,225,0,-4.35,-3.8,42525,3750,N,11400,Y,0.67
13-01-2025 09:55,84.8,26745,120,240,75.55,69.95,8805,10425,N,4740,N,-5.43,13-01-2025 09:55,-17.45,159525,150,-150,-18.3,-18.2,32775,-6675,Y,17625,N,-0.09
13-01-2025 10:00,304.6,96810,90,120,283.6,301.8,8745,150,YES,-2280,Y,16.45,13-01-2025 10:00,-17,451200,0,75,-17.85,-17.95,39600,-11700,Y,8700,N,-1.28
13-01-2025 10:05,-55.95,30975,180,-120,-65.1,-75.65,8700,2055,N,1650,N,5.43,13-01-2025 10:05,7.3,196800,75,-375,9.75,9.75,36600,22425,YES,9375,N,-0.56
13-01-2025 10:10,121.15,40395,180,-30,105.35,105.95,9315,-4275,YES,-2085,Y,8.31,13-01-2025 10:10,-20.35,177450,0,75,-14.6,-14.75,41700,675,Y,13275,N,-0.69
13-01-2025 10:15,-58.25,54330,-105,-825,-69.2,-63.4,10605,675,N,10530,N,14.89,13-01-2025 10:15,4.9,516450,-1125,0,4.15,4.35,40200,38025,YES,6000,N,-3.07
13-01-2025 10:20,56,16125,-45,-15,64,65,7050,6330,N,-705,Y,3.65,13-01-2025 10:20,-17.8,262125,-300,150,-18.45,-18.3,41025,8625,N,22275,N,-1.33
