ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
62.4,4278825,2025-01-13 09:18:10,1736740091,600,525,62.5,62.65,75,3275100,363300,62.85,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-71.85,-53.5196
62.8,4290225,2025-01-13 09:18:12,1736740092,75,150,62.45,62.55,75,3276750,365550,62.85,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-71.45,-53.2216
63.3,4319400,2025-01-13 09:18:13,1736740094,225,450,63.1,63.25,75,3284475,346950,62.85,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-70.95,-52.8492
63.0,4319400,2025-01-13 09:18:13,1736740094,225,450,63.1,63.25,300,3284475,346950,62.85,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-71.25,-53.0726
63.6,4338000,2025-01-13 09:18:15,1736740095,225,300,63.35,63.4,75,3280500,345750,62.85,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-70.65,-52.6257
63.6,4338000,2025-01-13 09:18:15,1736740096,225,300,63.35,63.4,225,3280500,345750,62.85,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-70.65,-52.6257
63.65,4367925,2025-01-13 09:18:17,1736740097,1275,600,63.55,63.75,75,3288675,336675,62.85,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-70.6,-52.5885
63.95,4367925,2025-01-13 09:18:17,1736740097,1275,600,63.55,63.75,150,3288675,336675,62.85,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-70.3,-52.365
64.8,4411050,2025-01-13 09:18:19,1736740099,75,1650,64.8,64.9,75,3292800,302400,62.87,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-69.45,-51.7318
65.6,4411050,2025-01-13 09:18:19,1736740099,75,1650,64.8,64.9,75,3292800,302400,62.87,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-68.65,-51.1359
65.35,4436175,2025-01-13 09:18:20,1736740100,1050,225,65.7,65.85,75,3295275,290625,62.88,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-68.9,-51.3222
65.5,4436175,2025-01-13 09:18:20,1736740102,1050,225,65.7,65.85,75,3295275,290625,62.88,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-68.75,-51.2104
66.0,4470825,2025-01-13 09:18:22,1736740102,75,7800,65.95,66.0,75,3312375,289500,62.9,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-68.25,-50.838
66.3,4470825,2025-01-13 09:18:22,1736740102,75,7800,65.95,66.0,75,3312375,289500,62.9,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-67.95,-50.6145
65.4,4499700,2025-01-13 09:18:24,1736740104,150,150,65.3,65.4,150,3305850,288075,62.92,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-68.85,-51.2849
65.65,4499700,2025-01-13 09:18:24,1736740104,150,150,65.3,65.4,75,3305850,288075,62.92,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-68.6,-51.0987
66.3,4517625,2025-01-13 09:18:25,1736740105,225,600,66.25,66.4,75,3305475,282900,62.93,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-67.95,-50.6145
65.9,4517625,2025-01-13 09:18:25,1736740106,225,600,66.25,66.4,75,3305475,282900,62.93,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-68.35,-50.9125
65.65,4540200,2025-01-13 09:18:27,1736740107,225,150,65.55,65.7,75,3308475,297150,62.94,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-68.6,-51.0987
66.0,4559550,2025-01-13 09:18:29,1736740109,1125,675,65.8,66.0,75,3309375,294900,62.96,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-68.25,-50.838
65.6,4559550,2025-01-13 09:18:29,1736740109,1125,675,65.8,66.0,75,3309375,294900,62.96,51.4,70.2,0,0,70.2,134.25,sf,NSE:NIFTY2511623500CE,-68.65,-51.1359
