ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
48570.0,11940,2025-01-14 09:15:27,1736826329,90,210,48553.65,48568.3,15,69480,56280,48534.99,48351.1,48585.95,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,303.75,0.6293
48575.0,20145,2025-01-14 09:15:29,1736826329,60,30,48570.05,48575.35,135,63150,55740,48549.17,48351.1,48585.95,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,308.75,0.6397
48570.0,20145,2025-01-14 09:15:29,1736826330,60,30,48570.05,48575.35,285,63150,55740,48549.17,48351.1,48585.95,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,303.75,0.6293
48575.35,20835,2025-01-14 09:15:30,1736826331,30,15,48575.35,48578.0,30,60810,56895,48549.89,48351.1,48585.95,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,309.1,0.6404
48570.0,20835,2025-01-14 09:15:30,1736826332,30,15,48575.35,48578.0,15,60810,56895,48549.89,48351.1,48585.95,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,303.75,0.6293
48578.0,21225,2025-01-14 09:15:32,1736826332,15,15,48570.6,48575.35,15,60855,57180,48550.38,48351.1,48585.95,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,311.75,0.6459
48581.0,21225,2025-01-14 09:15:32,1736826333,15,15,48570.6,48575.35,15,60855,57180,48550.38,48351.1,48585.95,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,314.75,0.6521
48575.35,21225,2025-01-14 09:15:32,1736826334,15,15,48570.6,48575.35,15,60855,57180,48550.38,48351.1,48585.95,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,309.1,0.6404
48575.35,21870,2025-01-14 09:15:34,1736826334,30,45,48575.4,48586.0,15,60975,58590,48551.17,48351.1,48585.95,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,309.1,0.6404
48587.95,21870,2025-01-14 09:15:34,1736826335,30,45,48575.4,48586.0,15,60975,58590,48551.17,48351.1,48585.95,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,321.7,0.6665
48575.35,22890,2025-01-14 09:15:35,1736826335,60,330,48570.05,48575.35,15,60870,58725,48552.27,48351.1,48587.95,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,309.1,0.6404
48570.0,22890,2025-01-14 09:15:35,1736826336,60,330,48570.05,48575.35,30,60870,58725,48552.27,48351.1,48587.95,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,303.75,0.6293
48588.0,23895,2025-01-14 09:15:37,1736826337,30,15,48576.1,48587.9,60,62700,57405,48553.22,48351.1,48588.0,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,321.75,0.6666
48580.0,23895,2025-01-14 09:15:37,1736826338,30,15,48576.1,48587.9,15,62700,57405,48553.22,48351.1,48588.0,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,313.75,0.65
48577.6,24750,2025-01-14 09:15:39,1736826339,75,30,48577.6,48588.0,15,62820,54570,48554.17,48351.1,48588.0,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,311.35,0.6451
48588.4,24750,2025-01-14 09:15:39,1736826340,75,30,48577.6,48588.0,45,62820,54570,48554.17,48351.1,48588.0,0,0,48424.0,48266.25,sf,NSE:BANKNIFTY25JANFUT,322.15,0.6674
