last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,High_9,Low_9,Close_9,Volume_9
23-01-2025 09:15,-9.5,170550,-200,1300,-5.8,-8.75,20575,17650,N,332050,N,-5.69,5,13682325,2100,375,5.7,5.7,56400,8280375,N,299250,N,-0.04,4.1,4270125,-525,450,3.8,3.6,38550,13380000,N,219225,N,4.1,5.1,37815,45,0,0.3,5.6,8985,14100,N,33360,N,-37.96,23128.3,23146.45,23090.65,23109.75,0
23-01-2025 09:20,3.2,95275,75,-500,6.1,5.6,20675,18575,N,25375,N,1.72,0.4,9791025,4125,5925,0.3,0.35,52275,1511325,N,313200,N,1.59,-7.25,3010725,300,75,-6.8,-6.85,41325,419550,N,150975,N,-1.44,-27.2,35895,-120,60,-27.8,-29.3,11250,8355,N,31410,N,-12.78,23108.1,23127.45,23099.9,23119.05,0
23-01-2025 09:25,-5.65,39350,-175,100,-5.35,-7.45,19925,1050,YES,14325,N,0.58,-4.55,7939500,-4800,2250,-4.2,-4.2,58725,73950,N,386400,YES,0.02,3.45,3275175,-150,-75,2.4,2.35,46350,194175,N,135975,N,-1.71,-91.65,29220,30,120,-85.05,-76.3,7050,-4245,YES,-3630,Y,-15.54,23119.8,23123.7,23104.1,23107.15,0
23-01-2025 09:30,9.3,36700,100,-125,11,9.35,12800,19450,N,1875,Y,0.26,3.35,6294975,1950,-825,3.4,3.4,66600,385125,Y,179625,N,0.03,-7.55,2638050,375,75,-6.8,-6.85,41025,113700,N,118500,N,-1.07,-0.15,23535,75,-90,-10.1,-7.95,10050,6225,N,5745,N,-13.06,23105.55,23120.8,23103,23114.45,0
23-01-2025 09:35,56.55,176175,25,1000,59.25,56.5,19625,10500,N,125,Y,13.99,24.35,29337450,-5325,-4050,24.2,24.25,45600,-88500,YES,-513975,Y,8.03,-33.4,10761900,-450,1050,-33.25,-33.35,46575,-250275,Y,336000,Y,-12.83,124.3,27810,15,-120,110.4,114.25,8445,8865,N,-14145,Y,1.24,23114.1,23179.05,23113.55,23172,0
23-01-2025 09:40,29.05,125800,0,-300,27.7,30.6,20225,14525,N,-15350,Y,12.1,9.15,22107300,-525,1050,9.3,9.35,54000,57300,Y,-28275,YES,5.97,-13.75,11809350,225,-825,-13.75,-13.75,54600,908700,YES,275400,N,-10.55,-20.4,12750,0,-15,-20.05,-30.3,7530,6405,N,2985,N,1.74,23171.45,23202.85,23170.25,23197.95,0
23-01-2025 09:45,13.05,133375,50,-50,12,11.25,25025,4125,N,6450,YES,11.15,-1.95,20463150,225,-3000,-1.9,-2,49950,70875,N,666825,YES,3.09,-8.3,13768950,150,-375,-8.7,-8.8,55800,250350,N,598575,Y,-8.36,94.7,29430,-90,-45,104.55,92.85,9495,24750,N,-18195,Y,7.31,23197.05,23205.55,23183.45,23203.6,0
23-01-2025 09:50,0.05,87300,175,25,3.05,2.95,19950,5150,N,7575,N,6.68,-3.35,14151450,-900,-300,-2.8,-2.8,50700,17625,N,399075,N,1.49,-0.85,11753100,1500,2175,-1.15,-1.05,49050,690450,YES,274575,N,-5.25,45.55,29835,90,-60,37.7,36.1,8700,-1920,YES,-1245,N,14.72,23203.35,23214.05,23192.4,23207.7,0
23-01-2025 09:55,-7.05,78350,-175,-50,-7.05,-6.4,15725,-2400,YES,7550,N,5.06,-6.55,17680725,-75,3150,-6.7,-6.65,53775,-310725,YES,243300,N,0.91,-2.6,15932025,1125,1050,-2.35,-2.35,54450,267075,N,384150,Y,-5.42,-44.45,23145,-75,-75,-40.25,-44.95,7680,240,N,2565,N,10.79,23208.35,23220.15,23196.8,23203.3,0
23-01-2025 10:00,9.95,48550,-725,175,13,9.95,18475,20275,Y,2550,Y,2.44,4.65,21552375,-1200,-2100,4.35,4.35,56100,379050,Y,163575,N,0.29,-8.25,18233325,-5100,600,-8.15,-8.2,56175,-307200,Y,379950,N,-4.17,55.8,15585,0,120,65.55,60.6,7545,5610,N,-1575,Y,4.21,23202.8,23216.45,23188.35,23215.1,0
