last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
27-01-2025 09:15,-32.65,293650,25,50,-33.05,-35.2,17625,34925,N,71000,N,-7.4,22963.3,22930.65,22975.2,22925,-11.6,2168550,650,175,-10.85,-11.05,24450,88175,N,76250,N,2.99,22.1,1512750,250,-150,22.3,21.85,22250,-31575,N,31900,N,12.3,-84.25,67110,3105,-60,-67.55,-80.65,9375,34095,N,23445,N,-47.81
27-01-2025 09:20,36.45,217600,25,-125,40.8,36.3,17925,30575,N,95275,YES,-6.23,22931.2,22967.65,22968.25,22915,10.05,2169950,-225,150,9.9,9.9,26175,-1151800,YES,41650,N,-2.69,-27.15,1012525,200,100,-26.3,-26.3,21850,-1541525,Y,20675,N,1.82,71,28080,-105,75,64.4,60.05,8565,-5565,YES,-6585,Y,3.43
27-01-2025 09:25,2.55,159375,100,-100,-0.5,0.15,15275,16050,N,200500,YES,5.03,22967.45,22970,22989,22951.75,4.25,2052625,75,-725,2.95,2.9,24425,22450,Y,16600,N,2.1,-5.25,770600,900,-125,-2.4,-2.35,22075,50425,YES,12275,N,-3.36,-27.2,43095,45,30,-29.3,-29,8250,1395,N,1140,N,13.64
27-01-2025 09:30,26.45,118825,-75,0,25.9,25.1,17150,8025,N,-9650,Y,3.97,22971.6,22998.05,23010,22955.55,16.25,1923550,225,-25,16.9,16.95,25025,-20100,YES,-22075,Y,2.85,-11.65,988500,-100,325,-11.25,-11.15,27900,-12500,Y,33325,Y,-3,19.95,40335,945,-15,18.25,19.1,10185,4695,N,-6090,Y,-4.42
27-01-2025 09:35,15,113600,-175,900,13.4,15,16475,20400,N,48300,YES,5.76,23000,23015,23025.5,22995.3,6.15,1916000,-400,25,5.35,5.35,22900,48000,Y,69100,YES,4.5,-4.4,763600,-200,-225,-3.65,-4,21375,21075,YES,31675,N,-3.62,67.75,30960,-30,120,82.25,72.05,8250,2085,YES,6015,N,10.2
27-01-2025 09:40,-8.3,116300,-75,25,-11.9,-7.6,17975,-2075,YES,2425,Y,4.15,23015,23006.7,23020.7,22973.2,-6.8,1950775,0,400,-5.55,-5.5,20700,-64325,YES,42025,N,2.89,8.1,837250,-325,-375,7.25,7.25,25725,19400,N,1750,YES,-2.28,40.85,48855,15,0,50.55,57.1,9420,9420,N,-3405,Y,17.51
27-01-2025 09:45,-5.5,87325,-50,100,-3.4,-4.85,13800,-24000,YES,1400,Y,2.09,23004.55,22999.05,23012.9,22976.45,-1.55,1295775,50,25,-0.95,-0.95,22200,33225,Y,52525,N,1.13,4.35,497075,-75,0,2.55,2.65,21475,16325,N,4625,N,-0.73,36.55,35565,30,345,33.75,21.85,7875,20430,N,11400,N,17.47
27-01-2025 09:50,-34.4,85450,-50,0,-29.35,-30.5,15000,-56200,YES,262500,YES,1.83,23001.5,22967.1,23014.3,22967.1,-15.35,1249075,-375,0,-13.4,-13.35,23175,-53075,YES,775,Y,0.83,13.25,477950,150,25,10.7,10.95,21700,-3750,Y,-8050,YES,-0.75,-56.9,30300,60,30,-43.85,-50.6,8160,-12795,YES,21510,N,13.41
27-01-2025 09:55,5,66750,-100,75,-0.25,-0.45,15100,56075,Y,350,Y,0.19,22967.3,22972.3,22988.05,22966.1,-2.3,1041275,525,-700,-3.45,-3.5,24975,20200,Y,39100,YES,-0.1,-4.1,629025,-200,225,-5.1,-5.05,25100,1087225,YES,26975,Y,-0.02,-21.35,15165,-45,-45,-18.95,-20,7305,1170,N,8595,N,2.67
27-01-2025 10:00,16.15,73075,-25,550,13.85,11.9,15575,-6825,YES,33625,YES,0.53,22968.1,22984.25,22997.2,22960.6,3.25,1104300,50,150,2.45,2.45,27550,21200,N,47200,N,-0.1,-7.45,554325,125,0,-7.4,-7.45,21700,2150,Y,-43425,YES,-0.55,75.5,18525,15,-30,66.2,67.55,6585,1980,N,15315,N,5.64
27-01-2025 10:05,-8.45,80750,25,0,-7.3,-6.85,16300,-6925,YES,26200,N,1.1,22984.25,22975.8,23008.45,22968.25,-2.75,934675,-100,-250,-2.4,-2.4,21700,16200,N,30550,N,0.03,3.95,439200,-125,-150,3.35,3.15,20875,-9150,Y,61775,Y,-0.61,-4.25,35490,0,255,-3.3,-5,7695,-3945,YES,16335,N,13.72
27-01-2025 10:10,-3.8,37000,-25,-50,-3.65,-4.3,13500,5725,N,28025,N,0.05,22980.25,22976.45,22985,22962.1,-1.2,751150,-2025,-700,-0.65,-0.8,21150,8800,N,14800,N,-0.22,5,324100,-25,500,3.75,3.75,24275,14225,YES,150,YES,-0.03,-36,19425,-30,-150,-48.05,-45,6840,6870,N,22335,N,3.79
27-01-2025 10:15,-69.9,191225,225,-50,-74.35,-73.75,15375,-55600,YES,-34450,Y,-4.62,22972.25,22902.35,22974.2,22896.1,-20,1803375,50,500,-20.4,-20.4,26000,-91375,YES,102500,YES,-1.58,47.7,936075,50,-325,50.4,50.55,23825,18000,N,-142375,YES,2.25,-177,58350,105,15,-187.05,-187.85,9600,5715,N,-900,Y,-4.61
27-01-2025 10:20,2,131700,25,75,0.35,-3.45,17525,18225,Y,27475,YES,-4.66,22898.65,22900.65,22912.75,22885.05,-0.7,1569025,-725,-75,-0.65,-0.65,25000,105675,Y,49525,N,-1.79,-2,633700,25,0,-0.65,-0.5,21275,-44400,Y,7500,Y,2.77,57,20820,30,-60,56.3,53.65,7050,11985,N,-8625,Y,-2.98
27-01-2025 10:25,-44.65,147525,-25,0,-47.75,-48.2,19325,-18750,YES,18425,N,-6.42,22902.65,22858,22905,22854.7,-11.6,1320925,325,-550,-11.85,-11.8,24775,-35100,YES,68725,N,-1.64,37.2,608525,-25,-50,37.15,37.05,21375,4575,YES,-59025,YES,3.42,-90.45,34065,-15,-60,-81.35,-86.65,9345,2010,YES,1455,N,-6.26
27-01-2025 10:30,10,69575,175,50,11.35,11.3,7200,28650,Y,8325,N,-3.48,22854.05,22864.05,22866.9,22838.4,-0.15,1065175,25,425,-0.4,-0.35,9300,-58400,YES,-10500,Y,-1.47,-8.9,198450,-225,25,-10.65,-10.6,9350,-8350,Y,12075,Y,1.31,53.8,8520,90,0,40.5,42.3,2790,10140,N,255,Y,-1.73
27-01-2025 10:35,-1.9,59850,50,-3200,-5.1,-1.95,10725,-18200,YES,32325,YES,-2.8,22855,22853.1,22856,22832.7,-3.25,1001125,2150,550,-3.4,-3.4,20800,11525,Y,-10725,Y,-1.32,3.9,279975,-125,125,4.6,4.65,16900,-918150,Y,-17150,YES,1.83,-20.15,8175,-75,-30,-22.8,-25.7,4155,-25065,YES,16020,N,-0.76
27-01-2025 10:40,22.3,117125,350,-50,22.2,20.45,15025,4425,Y,-96725,Y,-4.23,22847.8,22870.1,22878.65,22840.2,4.75,997450,-1700,275,4.7,4.7,25325,9175,N,-74750,Y,-1.1,-16.05,256375,300,-100,-15,-15,27175,-2700,YES,15000,Y,1.35,92.75,23610,75,-15,90.15,89.4,8730,11880,Y,12345,N,0.14
27-01-2025 10:45,5.35,74525,-125,-75,6.95,5.4,14400,-35875,YES,4150,YES,-1.76,22874.5,22879.85,22897,22867,1.75,997050,-275,75,1.65,1.7,22725,22225,N,1175,YES,-0.9,-5.75,202450,800,50,-5.5,-5.25,20700,925,N,150,YES,0.78,7.75,23325,75,90,7.65,19.85,11520,1470,YES,10935,N,2.46
27-01-2025 10:50,-26.6,52075,375,50,-24.85,-23.95,14175,-500,Y,3825,N,-1.56,22879.85,22853.25,22884,22850,-4.65,599800,350,-400,-4.65,-4.65,23650,-23700,YES,26450,YES,-0.56,16,149525,100,200,16.55,16.7,20650,-10825,Y,-8800,YES,0.7,-32.7,14040,-75,-90,-24.6,-26.1,6030,30,YES,-10410,Y,1.39
27-01-2025 10:55,-6.1,96575,-200,-175,-4.6,-5.1,21750,-1300,YES,-3400,Y,-2.89,22855,22848.9,22876.2,22848.25,-2.25,644475,600,-125,-2.15,-2.1,23775,-25800,YES,23900,N,-0.61,3.1,148975,-75,100,3.4,3.65,18475,-1300,N,3550,N,0.71,6.4,12630,-30,-150,4.45,-6.5,7650,16290,N,-1035,N,1.24
27-01-2025 11:00,1.65,90000,25,400,1.65,-2.6,15475,150,N,45300,YES,-2.82,22851.75,22853.4,22862.3,22845.7,0.15,471700,-75,875,0.1,0.15,24200,9525,Y,28325,N,-0.46,2.45,131150,-50,-250,2.8,2.75,23225,7075,N,625,YES,0.68,-48.6,11880,-105,-60,-50,-50.55,6345,2865,YES,5865,N,0.23
27-01-2025 11:05,22.3,95275,0,-100,23.5,24,15275,5775,N,-14400,Y,-2.28,22852.7,22875,22881.15,22851.35,5.05,418350,525,0,4.9,5,19375,34200,Y,-26700,Y,-0.35,-19,173125,75,-275,-19.45,-19.55,21150,-1250,Y,11925,N,0.74,55.9,14505,-15,-15,67.3,57,5880,-9270,YES,45,Y,0.82
27-01-2025 11:10,-8.95,61650,50,125,-9.15,-5.7,14325,25200,N,-700,N,-1.34,22875,22866.05,22879,22859.75,-0.8,516275,-975,475,-0.65,-0.75,21150,5100,N,22800,YES,-0.41,4.5,99350,25,375,4.3,4.45,24300,19175,YES,12750,N,0.4,-37.3,11970,0,-45,-28.55,-29.8,5940,39645,Y,-3870,Y,0.16
27-01-2025 11:15,20.35,63350,0,200,19.15,20.4,14675,45775,Y,-27025,Y,-1.07,22866.2,22886.55,22890.05,22866,1.8,509500,-1275,-350,1.85,1.8,21600,24500,N,4700,N,-0.37,-15.85,124875,-225,0,-16.4,-16.05,17275,-20650,Y,-100,YES,0.42,79.85,21900,-105,30,64.6,71.65,8295,825,YES,-1620,N,2.29
27-01-2025 11:20,-4.3,78875,0,-25,-4.3,-5.35,14925,-1150,YES,25325,YES,-1.03,22885.05,22880.75,22908,22871,-2,959900,100,525,-2,-2,21950,-27800,YES,29700,YES,-0.68,2.35,239450,75,75,1.8,1.75,21775,2525,YES,-4575,YES,0.6,-5,25065,-45,0,-4.05,1.9,6720,-30,YES,7860,N,3.56
27-01-2025 11:25,24.25,34925,-75,0,23.25,25.1,13500,10100,N,-27450,Y,-0.44,22880.75,22905,22907,22874.35,4.95,626575,-225,575,4.95,5.05,22075,-475,Y,-59350,Y,-0.42,-18.2,131550,75,50,-18.85,-18.45,19475,-8025,Y,-5300,YES,0.3,44,9540,45,180,38.5,36.9,7065,555,N,5715,N,1.22
27-01-2025 11:30,-3.95,60100,275,-25,-3.95,-1.25,15100,7125,N,2675,YES,-0.38,22905,22901.05,22922.3,22898.3,-1.5,1161075,-350,1625,-1.55,-1.55,31550,-2450,YES,32700,YES,-0.66,0,178425,-25,-50,0.9,0.85,24400,10150,N,3325,N,0.22,-11.35,20070,-15,45,-17.15,-11.35,6615,-3225,YES,3870,N,2.79
27-01-2025 11:35,-22.45,46850,-125,25,-23.75,-21.8,16175,-6950,YES,39850,YES,-0.49,22901.05,22878.6,22910,22877.4,-4.85,729600,600,-175,-4.6,-4.55,29000,-39175,YES,12175,N,-0.43,20.2,159825,-175,-100,20.05,20.2,22525,6175,N,-8875,YES,0.31,-54.25,8505,15,0,-45.2,-52.3,6120,495,N,-7650,Y,0.89
27-01-2025 11:40,-5.05,53675,-25,225,-0.1,-2.45,13650,6175,N,6225,N,-0.87,22882.15,22877.1,22886.6,22865.75,0.05,541300,1100,-175,-0.05,-0.05,26025,62350,Y,26000,N,-0.38,-0.05,190300,-50,-200,1.85,1.7,21775,-1425,Y,200,N,0.56,16.55,8580,0,-15,21.35,19.1,5310,60,YES,-1950,N,0.55
27-01-2025 11:45,31.05,44075,-50,75,26.5,30.2,14875,-3650,YES,-4325,Y,-0.42,22876.95,22908,22908.7,22872.8,5.65,561050,25,-475,5.05,5.05,28700,14600,N,-21400,Y,-0.3,-21.35,141400,75,50,-21.7,-21.75,21150,-6175,Y,8900,N,0.26,44.75,14880,0,0,50.05,49,5955,-6885,YES,11700,N,2.34
27-01-2025 11:50,-11.3,49750,375,-200,-7.55,-6.35,19800,-13300,YES,-3475,N,-0.26,22908,22896.7,22915,22896.7,-2.55,559400,-50,950,-2.25,-2.3,29500,-8175,YES,4600,YES,-0.27,4.5,122300,350,125,3.6,3.65,22500,-275,N,-125,YES,0.14,-40.25,10785,-15,-285,-40.6,-48.45,5835,-34500,YES,3705,N,1.43
