ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
111.8,315075,2025-01-27 09:15:18,1737949519,875,50,111.1,111.55,175,1519650,128625,104.32,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-62.6,-35.8945
113.25,327850,2025-01-27 09:15:20,1737949520,25,425,113.0,113.25,75,1528150,128800,104.61,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-61.15,-35.0631
112.15,327850,2025-01-27 09:15:20,1737949520,25,425,113.0,113.25,25,1528150,128800,104.61,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-62.25,-35.6938
111.4,327850,2025-01-27 09:15:20,1737949521,25,425,113.0,113.25,25,1528150,128800,104.61,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-63.0,-36.1239
109.55,346625,2025-01-27 09:15:21,1737949521,875,325,109.4,109.75,25,1517650,138875,104.99,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-64.85,-37.1846
110.2,346625,2025-01-27 09:15:21,1737949522,875,325,109.4,109.75,25,1517650,138875,104.99,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-64.2,-36.8119
111.7,355950,2025-01-27 09:15:23,1737949523,200,25,111.7,112.1,175,1520775,123525,105.13,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-62.7,-35.9518
109.2,355950,2025-01-27 09:15:23,1737949524,200,25,111.7,112.1,25,1520775,123525,105.13,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-65.2,-37.3853
109.2,370100,2025-01-27 09:15:24,1737949524,50,575,108.75,109.1,25,1524625,140475,105.31,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-65.2,-37.3853
108.9,370100,2025-01-27 09:15:24,1737949525,50,575,108.75,109.1,25,1524625,140475,105.31,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-65.5,-37.5573
110.15,370100,2025-01-27 09:15:24,1737949526,50,575,108.75,109.1,25,1524625,140475,105.31,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-64.25,-36.8406
109.65,408425,2025-01-27 09:15:26,1737949526,200,400,109.4,109.65,100,1531200,139600,105.69,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-64.75,-37.1273
108.6,408425,2025-01-27 09:15:26,1737949527,200,400,109.4,109.65,50,1531200,139600,105.69,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-65.8,-37.7294
108.95,419950,2025-01-27 09:15:27,1737949527,400,750,108.65,109.0,100,1525500,140675,105.77,94.45,124.2,0,0,119.4,174.4,sf,NSE:NIFTY25JAN23100CE,-65.45,-37.5287
