ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
23464.0,427725,2025-01-31 09:26:55,1738295815,75,225,23463.9,23469.85,75,555600,381900,23438.25,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,45.7,0.1951
23463.85,427725,2025-01-31 09:26:55,1738295817,75,225,23463.9,23469.85,75,555600,381900,23438.25,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,45.55,0.1945
23463.85,427875,2025-01-31 09:26:57,1738295817,150,300,23463.8,23469.45,75,545175,384525,23438.26,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,45.55,0.1945
23463.75,427875,2025-01-31 09:26:57,1738295818,150,300,23463.8,23469.45,75,545175,384525,23438.26,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,45.45,0.1941
23463.0,429375,2025-01-31 09:26:58,1738295819,375,75,23463.0,23465.4,75,555975,384600,23438.35,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,44.7,0.1909
23463.0,429375,2025-01-31 09:26:58,1738295820,375,75,23463.0,23465.4,75,555975,384600,23438.35,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,44.7,0.1909
23465.65,429375,2025-01-31 09:26:58,1738295820,375,75,23463.0,23465.4,75,555975,384600,23438.35,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,47.35,0.2022
23465.65,429600,2025-01-31 09:26:59,1738295820,75,300,23465.0,23469.6,75,556200,385125,23438.37,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,47.35,0.2022
23463.0,429600,2025-01-31 09:26:59,1738295821,75,300,23465.0,23469.6,75,556200,385125,23438.37,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,44.7,0.1909
23463.0,430650,2025-01-31 09:27:02,1738295822,300,225,23463.0,23468.75,75,553725,384900,23438.43,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,44.7,0.1909
23462.0,430650,2025-01-31 09:27:02,1738295823,300,225,23463.0,23468.75,150,553725,384900,23438.43,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,43.7,0.1866
23463.3,431850,2025-01-31 09:27:03,1738295824,225,450,23461.95,23463.3,75,556050,383325,23438.5,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,45.0,0.1922
23462.9,431850,2025-01-31 09:27:03,1738295825,225,450,23461.95,23463.3,75,556050,383325,23438.5,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,44.6,0.1904
23463.3,432225,2025-01-31 09:27:05,1738295825,75,150,23461.95,23463.3,75,554175,383175,23438.52,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,45.0,0.1922
23461.95,432375,2025-01-31 09:27:07,1738295827,75,75,23461.7,23463.0,75,553875,385575,23438.53,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,43.65,0.1864
23463.0,432375,2025-01-31 09:27:07,1738295828,75,75,23461.7,23463.0,75,553875,385575,23438.53,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,44.7,0.1909
23463.0,432600,2025-01-31 09:27:07,1738295829,150,75,23461.1,23463.3,75,553425,385650,23438.54,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,44.7,0.1909
23463.0,432600,2025-01-31 09:27:07,1738295830,75,75,23462.9,23463.0,75,551775,388275,23438.54,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,44.7,0.1909
23463.0,432825,2025-01-31 09:27:12,1738295832,150,75,23463.0,23463.3,75,554100,386475,23438.55,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,44.7,0.1909
23463.3,432975,2025-01-31 09:27:14,1738295834,75,375,23463.0,23464.2,75,548250,389250,23438.56,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,45.0,0.1922
23460.0,433575,2025-01-31 09:27:15,1738295835,750,375,23460.0,23465.95,75,520200,386775,23438.59,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,41.7,0.1781
23467.5,433575,2025-01-31 09:27:15,1738295837,750,375,23460.0,23465.95,75,520200,386775,23438.59,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,49.2,0.2101
23465.75,434025,2025-01-31 09:27:17,1738295837,225,150,23465.75,23467.6,75,489300,381375,23438.62,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,47.45,0.2026
23465.75,434025,2025-01-31 09:27:17,1738295838,225,150,23465.75,23467.6,225,489300,381375,23438.62,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,47.45,0.2026
23464.95,434550,2025-01-31 09:27:18,1738295839,375,300,23464.4,23469.0,75,462525,384825,23438.65,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,46.65,0.1992
23469.0,434625,2025-01-31 09:27:20,1738295841,375,225,23465.2,23469.0,75,460800,385125,23438.66,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,50.7,0.2165
23468.25,434850,2025-01-31 09:27:22,1738295842,375,75,23467.9,23469.0,75,462450,383625,23438.67,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,49.95,0.2133
23466.1,434850,2025-01-31 09:27:22,1738295843,375,75,23467.9,23469.0,75,462450,383625,23438.67,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,47.8,0.2041
23465.85,435150,2025-01-31 09:27:24,1738295844,150,75,23465.8,23469.0,75,461775,388725,23438.69,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,47.55,0.203
23468.9,435225,2025-01-31 09:27:25,1738295845,150,150,23465.15,23468.9,75,460950,387600,23438.7,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,50.6,0.2161
23464.9,435225,2025-01-31 09:27:25,1738295846,150,150,23465.15,23468.9,75,460950,387600,23438.7,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,46.6,0.199
23464.9,435300,2025-01-31 09:27:26,1738295847,75,150,23464.45,23468.9,75,460275,382350,23438.7,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,46.6,0.199
23468.9,435450,2025-01-31 09:27:28,1738295849,375,75,23465.35,23468.9,75,460950,386925,23438.71,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,50.6,0.2161
23468.9,435450,2025-01-31 09:27:28,1738295850,375,75,23465.35,23468.9,75,460950,386925,23438.71,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,50.6,0.2161
23464.75,435450,2025-01-31 09:27:28,1738295850,375,75,23465.35,23468.9,150,460950,386925,23438.71,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,46.45,0.1983
23464.75,435675,2025-01-31 09:27:30,1738295850,375,150,23465.3,23469.0,150,462000,386625,23438.72,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,46.45,0.1983
23465.3,435675,2025-01-31 09:27:30,1738295851,375,150,23465.3,23469.0,225,462000,386625,23438.72,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,47.0,0.2007
23465.3,435900,2025-01-31 09:27:31,1738295852,450,225,23465.45,23469.0,225,461925,389025,23438.74,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,47.0,0.2007
23469.0,436125,2025-01-31 09:27:34,1738295854,375,225,23464.65,23469.85,75,409350,389250,23438.75,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,50.7,0.2165
23465.45,436125,2025-01-31 09:27:34,1738295855,375,225,23464.65,23469.85,300,409350,389250,23438.75,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,47.15,0.2013
23465.45,436875,2025-01-31 09:27:35,1738295855,375,75,23465.3,23468.0,300,460650,386025,23438.8,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,47.15,0.2013
23468.0,436875,2025-01-31 09:27:35,1738295856,375,75,23465.3,23468.0,75,460650,386025,23438.8,23411.05,23490.0,0,0,23490.0,23418.3,sf,NSE:NIFTY25FEBFUT,49.7,0.2122
