ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
100.3,2361675,2025-07-14 09:15:56,1752464756,150,225,100.0,100.15,225,568575,163425,95.16,83.2,102.0,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,15.5,18.2783
100.95,2361675,2025-07-14 09:15:56,1752464757,150,225,100.0,100.15,75,568575,163425,95.16,83.2,102.0,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,16.15,19.0448
101.2,2361675,2025-07-14 09:15:56,1752464757,150,225,100.0,100.15,75,568575,163425,95.16,83.2,102.0,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,16.4,19.3396
100.25,2438550,2025-07-14 09:15:57,1752464758,75,525,100.9,101.1,75,568125,162150,95.35,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,15.45,18.2193
100.0,2438550,2025-07-14 09:15:57,1752464758,75,525,100.9,101.1,75,568125,162150,95.35,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,15.2,17.9245
100.0,2495025,2025-07-14 09:15:59,1752464759,750,1650,100.1,100.4,75,561075,167550,95.46,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,15.2,17.9245
100.35,2530725,2025-07-14 09:15:59,1752464759,225,450,100.1,100.35,75,556200,167475,95.52,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,15.55,18.3373
98.8,2530725,2025-07-14 09:15:59,1752464760,225,450,100.1,100.35,75,556200,167475,95.52,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,14.0,16.5094
98.55,2530725,2025-07-14 09:15:59,1752464760,225,450,100.1,100.35,75,556200,167475,95.52,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,13.75,16.2146
98.9,2651850,2025-07-14 09:16:01,1752464761,450,225,98.6,98.8,75,524700,180675,95.68,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,14.1,16.6274
98.4,2651850,2025-07-14 09:16:01,1752464761,450,225,98.6,98.8,75,524700,180675,95.68,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,13.6,16.0377
98.45,2750700,2025-07-14 09:16:02,1752464762,750,75,98.4,98.5,150,516600,177075,95.76,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,13.65,16.0967
98.1,2773500,2025-07-14 09:16:02,1752464762,1350,450,98.0,98.25,75,513900,184200,95.79,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,13.3,15.684
98.5,2773500,2025-07-14 09:16:02,1752464763,1350,450,98.0,98.25,75,513900,184200,95.79,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,13.7,16.1557
98.75,2773500,2025-07-14 09:16:02,1752464763,1350,450,98.0,98.25,150,513900,184200,95.79,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,13.95,16.4505
97.15,2825475,2025-07-14 09:16:04,1752464764,150,675,97.05,97.25,75,506775,186375,95.83,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,12.35,14.5637
97.1,2840475,2025-07-14 09:16:04,1752464764,225,375,97.2,97.4,150,505125,188175,95.83,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,12.3,14.5047
97.05,2840475,2025-07-14 09:16:04,1752464765,225,375,97.2,97.4,150,505125,188175,95.83,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,12.25,14.4458
96.8,2875650,2025-07-14 09:16:05,1752464765,1950,375,96.8,97.0,75,504975,197175,95.85,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,12.0,14.1509
97.05,2886000,2025-07-14 09:16:06,1752464766,900,225,96.75,96.9,75,503700,199200,95.86,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,12.25,14.4458
97.25,2886000,2025-07-14 09:16:06,1752464766,900,225,96.75,96.9,75,503700,199200,95.86,83.2,102.05,0,0,101.0,84.8,sf,NSE:NIFTY2571725100PE,12.45,14.6816
