ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
25184.9,178200,2025-07-22 09:17:50,1753156071,675,300,25185.0,25187.0,75,187125,280650,25182.87,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,57.3,0.228
25187.0,178575,2025-07-22 09:17:51,1753156072,675,225,25184.3,25187.0,225,179625,291375,25182.87,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,59.4,0.2364
25187.0,178575,2025-07-22 09:17:51,1753156073,675,225,25184.3,25187.0,150,179625,291375,25182.87,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,59.4,0.2364
25186.9,179025,2025-07-22 09:17:53,1753156074,450,1275,25186.7,25190.0,75,184125,280800,25182.88,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,59.3,0.236
25190.0,179025,2025-07-22 09:17:53,1753156074,450,1275,25186.7,25190.0,375,184125,280800,25182.88,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,62.4,0.2483
25185.7,179025,2025-07-22 09:17:53,1753156075,450,1275,25186.7,25190.0,75,184125,280800,25182.88,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,58.1,0.2312
25185.7,179700,2025-07-22 09:17:55,1753156075,600,900,25185.7,25190.0,75,193200,289350,25182.9,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,58.1,0.2312
25186.9,179700,2025-07-22 09:17:55,1753156076,600,900,25185.7,25190.0,75,193200,289350,25182.9,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,59.3,0.236
25185.7,179775,2025-07-22 09:17:55,1753156077,600,900,25185.7,25190.0,75,191250,279375,25182.9,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,58.1,0.2312
25186.9,180000,2025-07-22 09:17:58,1753156078,150,900,25185.7,25190.0,75,192675,292200,25182.91,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,59.3,0.236
25186.9,180000,2025-07-22 09:17:58,1753156079,1050,900,25185.3,25190.0,75,194250,236325,25182.91,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,59.3,0.236
25185.7,180000,2025-07-22 09:17:58,1753156079,1050,900,25185.3,25190.0,75,194250,236325,25182.91,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,58.1,0.2312
25185.7,180000,2025-07-22 09:17:58,1753156080,1050,900,25185.3,25190.0,75,194250,236325,25182.91,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,58.1,0.2312
25190.0,180000,2025-07-22 09:17:58,1753156080,1050,900,25185.3,25190.0,75,194250,236325,25182.91,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,62.4,0.2483
25190.0,180375,2025-07-22 09:18:00,1753156080,75,675,25186.2,25190.0,75,158700,284100,25182.92,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,62.4,0.2483
25185.3,180375,2025-07-22 09:18:00,1753156081,75,675,25186.2,25190.0,75,158700,284100,25182.92,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,57.7,0.2296
25190.0,181125,2025-07-22 09:18:02,1753156082,2400,450,25185.0,25190.0,75,187875,275100,25182.93,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,62.4,0.2483
25190.0,181125,2025-07-22 09:18:02,1753156084,2475,150,25185.0,25188.2,75,186975,297600,25182.93,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,62.4,0.2483
25185.0,181125,2025-07-22 09:18:02,1753156085,2475,150,25185.0,25188.2,150,186975,297600,25182.93,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,57.4,0.2284
25186.0,187200,2025-07-22 09:18:05,1753156085,150,150,25181.3,25185.7,75,162750,292800,25183.01,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,58.4,0.2324
25184.4,187800,2025-07-22 09:18:07,1753156087,750,150,25180.0,25184.4,75,184350,289200,25183.01,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,56.8,0.226
25180.0,187800,2025-07-22 09:18:07,1753156088,750,150,25180.0,25184.4,75,184350,289200,25183.01,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,52.4,0.2085
25180.0,188025,2025-07-22 09:18:07,1753156089,600,75,25180.0,25185.0,75,165225,293625,25183.0,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,52.4,0.2085
25184.5,188025,2025-07-22 09:18:07,1753156089,600,75,25180.0,25185.0,75,165225,293625,25183.0,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,56.9,0.2264
25181.3,188250,2025-07-22 09:18:10,1753156090,525,75,25180.0,25185.0,75,176850,278850,25183.0,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,53.7,0.2137
25181.3,188250,2025-07-22 09:18:10,1753156090,525,75,25180.0,25185.0,75,177825,279225,25183.0,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,53.7,0.2137
25180.0,188250,2025-07-22 09:18:10,1753156091,525,75,25180.0,25185.0,75,177825,279225,25183.0,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,52.4,0.2085
25180.0,188775,2025-07-22 09:18:12,1753156092,150,225,25180.0,25182.1,75,174600,300975,25183.0,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,52.4,0.2085
25180.7,189375,2025-07-22 09:18:13,1753156094,75,225,25177.4,25180.3,75,139275,290100,25182.99,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,53.1,0.2113
25176.1,189375,2025-07-22 09:18:13,1753156094,75,375,25177.4,25180.5,75,183000,290325,25182.99,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,48.5,0.193
25175.1,190125,2025-07-22 09:18:15,1753156095,300,1050,25175.0,25177.4,75,172500,288675,25182.97,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,47.5,0.189
25177.4,190125,2025-07-22 09:18:15,1753156096,300,1050,25175.0,25177.4,75,172500,288675,25182.97,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,49.8,0.1982
25175.0,190350,2025-07-22 09:18:17,1753156097,225,975,25175.0,25177.4,75,186000,295800,25182.96,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,47.4,0.1886
25177.4,190350,2025-07-22 09:18:17,1753156098,225,975,25175.0,25177.4,75,186000,295800,25182.96,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,49.8,0.1982
25177.4,190500,2025-07-22 09:18:18,1753156099,225,975,25175.0,25177.4,75,179625,298575,25182.96,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,49.8,0.1982
25175.0,190575,2025-07-22 09:18:19,1753156099,150,975,25175.0,25177.4,75,187650,283125,25182.95,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,47.4,0.1886
25177.4,190575,2025-07-22 09:18:19,1753156100,150,975,25175.0,25177.4,75,187650,283125,25182.95,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,49.8,0.1982
25177.4,192600,2025-07-22 09:18:20,1753156100,75,225,25174.9,25177.4,300,192900,295125,25182.88,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,49.8,0.1982
25177.4,192600,2025-07-22 09:18:20,1753156101,75,225,25174.9,25177.4,75,192900,295125,25182.88,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,49.8,0.1982
25177.4,193650,2025-07-22 09:18:21,1753156102,450,75,25174.9,25179.1,75,190950,297525,25182.84,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,49.8,0.1982
25174.8,193650,2025-07-22 09:18:21,1753156102,450,75,25174.9,25179.1,150,190950,297525,25182.84,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,47.2,0.1878
25174.6,193650,2025-07-22 09:18:21,1753156103,450,75,25174.9,25179.1,75,190950,297525,25182.84,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,47.0,0.187
25177.5,194475,2025-07-22 09:18:24,1753156104,375,150,25171.4,25178.0,225,183975,294225,25182.81,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,49.9,0.1986
25178.0,194550,2025-07-22 09:18:24,1753156105,75,150,25172.2,25176.3,75,169125,299325,25182.81,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,50.4,0.2006
25172.2,194550,2025-07-22 09:18:24,1753156106,75,150,25172.2,25176.3,75,169125,299325,25182.81,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,44.6,0.1775
25173.9,194550,2025-07-22 09:18:24,1753156106,75,150,25172.2,25176.3,75,169125,299325,25182.81,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,46.3,0.1843
25173.8,194850,2025-07-22 09:18:27,1753156107,75,150,25171.4,25174.2,75,180825,299625,25182.8,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,46.2,0.1839
25171.4,194850,2025-07-22 09:18:27,1753156108,75,150,25171.4,25174.2,75,180825,299625,25182.8,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,43.8,0.1743
25171.0,195075,2025-07-22 09:18:29,1753156109,900,525,25170.0,25173.1,75,159375,297300,25182.79,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,43.4,0.1727
25172.4,195075,2025-07-22 09:18:29,1753156110,900,525,25170.0,25173.1,75,159375,297300,25182.79,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,44.8,0.1783
25172.4,195150,2025-07-22 09:18:30,1753156110,900,75,25170.0,25173.3,75,186675,271275,25182.78,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,44.8,0.1783
25170.0,195150,2025-07-22 09:18:30,1753156111,900,75,25170.0,25173.3,75,186675,271275,25182.78,25149.9,25200.0,0,0,25149.9,25127.6,sf,NSE:NIFTY25JULFUT,42.4,0.1687
