ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
121.15,25725,2025-07-25 09:15:00,1753415100,75,75,116.85,118.25,75,1554075,45300,111.92,96.95,119.5,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,37.75,45.2638
162.3,13805925,2025-07-25 09:21:59,1753415520,300,1350,161.85,162.2,75,992925,382575,147.38,96.95,164.25,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,78.9,94.6043
163.0,13854525,2025-07-25 09:22:01,1753415521,825,750,162.75,163.15,150,1000650,379275,147.43,96.95,164.25,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,79.6,95.4436
164.7,13904700,2025-07-25 09:22:03,1753415523,375,300,164.3,164.6,75,1004175,362175,147.49,96.95,164.85,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,81.3,97.482
164.45,14016675,2025-07-25 09:22:04,1753415525,975,75,164.55,164.85,75,1017600,299775,147.63,96.95,165.1,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,81.05,97.1823
166.65,14124000,2025-07-25 09:22:08,1753415528,900,300,166.5,166.85,75,1015425,290475,147.77,96.95,166.95,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,83.25,99.8201
170.65,14500575,2025-07-25 09:22:14,1753415534,1275,750,170.6,171.0,75,1015950,217875,148.32,96.95,171.85,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,87.25,104.6163
171.95,14500575,2025-07-25 09:22:14,1753415535,1275,750,170.6,171.0,75,1015950,217875,148.32,96.95,171.85,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,88.55,106.1751
171.55,14500575,2025-07-25 09:22:14,1753415535,1275,750,170.6,171.0,75,1015950,217875,148.32,96.95,171.85,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,88.15,105.6954
168.6,14913375,2025-07-25 09:22:24,1753415545,225,300,168.6,168.9,75,1007700,237525,148.93,96.95,172.45,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,85.2,102.1583
168.0,15432075,2025-07-25 09:22:44,1753415565,300,375,167.8,168.0,150,963675,298800,149.53,96.95,172.45,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,84.6,101.4388
166.6,15507750,2025-07-25 09:22:50,1753415570,1425,150,166.25,166.6,75,942675,322050,149.61,96.95,172.45,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,83.2,99.7602
166.7,15508200,2025-07-25 09:22:50,1753415572,225,75,166.4,166.45,75,939525,321075,149.61,96.95,172.45,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,83.3,99.8801
166.85,15523950,2025-07-25 09:22:52,1753415572,225,1425,166.6,166.95,150,939300,331425,149.63,96.95,172.45,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,83.45,100.06
166.3,15524700,2025-07-25 09:22:52,1753415572,1275,450,166.25,166.6,75,934875,333525,149.63,96.95,172.45,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,82.9,99.4005
165.9,15524700,2025-07-25 09:22:52,1753415573,1275,450,166.25,166.6,75,934875,333525,149.63,96.95,172.45,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,82.5,98.9209
165.85,15524700,2025-07-25 09:22:52,1753415573,1275,450,166.25,166.6,75,934875,333525,149.63,96.95,172.45,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,82.45,98.8609
165.95,15554925,2025-07-25 09:22:54,1753415574,750,450,165.6,165.95,75,920175,329550,149.66,96.95,172.45,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,82.55,98.9808
165.5,15554925,2025-07-25 09:22:54,1753415574,750,450,165.6,165.95,150,920175,329550,149.66,96.95,172.45,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,82.1,98.4412
165.0,15554925,2025-07-25 09:22:54,1753415575,750,450,165.6,165.95,75,920175,329550,149.66,96.95,172.45,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,81.6,97.8417
164.05,15596025,2025-07-25 09:22:55,1753415576,1050,375,164.0,164.2,75,891675,335925,149.7,96.95,172.45,0,0,97.0,83.4,sf,NSE:NIFTY25JUL25000PE,80.65,96.7026
