ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
123.25,1644000,2025-07-31 09:15:44,1753933544,450,225,122.5,122.8,75,22471575,84600,125.77,110.5,146.7,0,0,140.0,277.95,sf,NSE:NIFTY25JUL24600CE,-154.7,-55.6575
125.1,1644000,2025-07-31 09:15:44,1753933545,450,225,122.5,122.8,75,22471575,84600,125.77,110.5,146.7,0,0,140.0,277.95,sf,NSE:NIFTY25JUL24600CE,-152.85,-54.9919
124.75,1678350,2025-07-31 09:15:45,1753933545,75,75,124.3,124.65,75,22652700,78975,125.74,110.5,146.7,0,0,140.0,277.95,sf,NSE:NIFTY25JUL24600CE,-153.2,-55.1178
125.0,1678350,2025-07-31 09:15:45,1753933545,75,75,124.3,124.65,75,22652700,78975,125.74,110.5,146.7,0,0,140.0,277.95,sf,NSE:NIFTY25JUL24600CE,-152.95,-55.0279
127.25,1678350,2025-07-31 09:15:45,1753933546,75,75,124.3,124.65,75,22652700,78975,125.74,110.5,146.7,0,0,140.0,277.95,sf,NSE:NIFTY25JUL24600CE,-150.7,-54.2184
127.5,1697550,2025-07-31 09:15:47,1753933547,225,75,126.8,127.05,75,22748325,79050,125.75,110.5,146.7,0,0,140.0,277.95,sf,NSE:NIFTY25JUL24600CE,-150.45,-54.1284
128.8,1697550,2025-07-31 09:15:47,1753933548,225,75,126.8,127.05,75,22748325,79050,125.75,110.5,146.7,0,0,140.0,277.95,sf,NSE:NIFTY25JUL24600CE,-149.15,-53.6607
130.4,1713525,2025-07-31 09:15:48,1753933549,375,525,129.6,130.0,150,22843575,77775,125.78,110.5,146.7,0,0,140.0,277.95,sf,NSE:NIFTY25JUL24600CE,-147.55,-53.0851
129.45,1713900,2025-07-31 09:15:49,1753933549,300,75,129.35,129.7,75,23023200,76575,125.78,110.5,146.7,0,0,140.0,277.95,sf,NSE:NIFTY25JUL24600CE,-148.5,-53.4269
130.2,1713900,2025-07-31 09:15:49,1753933549,300,75,129.35,129.7,300,23023200,76575,125.78,110.5,146.7,0,0,140.0,277.95,sf,NSE:NIFTY25JUL24600CE,-147.75,-53.157
130.9,1713900,2025-07-31 09:15:49,1753933550,300,75,129.35,129.7,75,23023200,76575,125.78,110.5,146.7,0,0,140.0,277.95,sf,NSE:NIFTY25JUL24600CE,-147.05,-52.9052
131.6,1746150,2025-07-31 09:15:50,1753933550,150,75,131.05,131.5,225,22966125,78525,125.87,110.5,146.7,0,0,140.0,277.95,sf,NSE:NIFTY25JUL24600CE,-146.35,-52.6534
