ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
55928.6,17670,2025-06-02 09:15:24,1748835924,150,60,55928.6,55940.0,30,47580,62700,55929.85,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-147.8,-0.2636
55932.4,18060,2025-06-02 09:15:24,1748835925,30,150,55923.2,55930.8,30,55830,65760,55929.95,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-144.0,-0.2568
55921.6,18180,2025-06-02 09:15:25,1748835926,120,30,55910.0,55918.4,30,47520,65610,55929.88,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-154.8,-0.2761
55924.0,18360,2025-06-02 09:15:26,1748835926,90,30,55910.0,55922.4,30,54150,64470,55929.78,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-152.4,-0.2718
55908.0,18510,2025-06-02 09:15:26,1748835927,30,60,55910.0,55919.6,30,45480,63270,55929.67,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-168.4,-0.3003
55902.0,18660,2025-06-02 09:15:27,1748835927,270,120,55902.0,55909.6,30,50550,65640,55929.49,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-174.4,-0.311
55920.0,18810,2025-06-02 09:15:28,1748835928,120,90,55902.6,55923.4,30,52920,56700,55929.34,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-156.4,-0.2789
55950.0,19050,2025-06-02 09:15:28,1748835928,150,30,55937.8,55950.6,30,55410,63240,55929.44,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-126.4,-0.2254
55950.0,19050,2025-06-02 09:15:28,1748835929,150,60,55925.4,55940.0,30,53490,62970,55929.44,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-126.4,-0.2254
55925.2,19170,2025-06-02 09:15:29,1748835929,120,60,55926.0,55940.0,30,53010,58980,55929.42,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-151.2,-0.2696
55940.0,19230,2025-06-02 09:15:30,1748835930,90,30,55926.0,55938.6,30,50490,56550,55929.43,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-136.4,-0.2432
55940.0,19230,2025-06-02 09:15:30,1748835930,90,30,55925.0,55935.4,30,53700,63720,55929.43,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-136.4,-0.2432
55922.4,19320,2025-06-02 09:15:31,1748835931,60,120,55917.8,55935.8,30,50250,60900,55929.41,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-154.0,-0.2746
55922.4,19320,2025-06-02 09:15:31,1748835932,210,180,55920.0,55926.0,30,55350,65730,55929.41,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-154.0,-0.2746
55920.0,19320,2025-06-02 09:15:31,1748835932,210,180,55920.0,55926.0,60,55350,65730,55929.41,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-156.4,-0.2789
55920.0,19500,2025-06-02 09:15:32,1748835933,30,60,55920.4,55926.0,60,48780,58830,55929.36,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-156.4,-0.2789
55928.6,19500,2025-06-02 09:15:32,1748835933,150,30,55920.0,55925.2,30,53070,64890,55929.36,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-147.8,-0.2636
55920.0,19830,2025-06-02 09:15:34,1748835934,30,150,55910.0,55919.6,30,51630,68460,55929.26,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-156.4,-0.2789
55925.2,19950,2025-06-02 09:15:34,1748835935,30,30,55910.0,55919.6,60,54000,64950,55929.19,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-151.2,-0.2696
55925.2,20550,2025-06-02 09:15:35,1748835935,30,30,55910.0,55922.8,60,56100,69210,55929.01,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-151.2,-0.2696
55910.0,20550,2025-06-02 09:15:35,1748835936,60,30,55910.0,55919.8,30,52950,66120,55929.01,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-166.4,-0.2967
55910.0,20670,2025-06-02 09:15:36,1748835936,30,30,55908.0,55919.2,30,56160,67140,55928.93,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-166.4,-0.2967
55920.0,20880,2025-06-02 09:15:37,1748835937,30,30,55908.0,55922.2,60,54720,63690,55928.83,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-156.4,-0.2789
55902.0,21000,2025-06-02 09:15:37,1748835937,270,30,55902.0,55913.4,30,51270,66780,55928.73,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-174.4,-0.311
55902.0,21000,2025-06-02 09:15:37,1748835938,120,120,55905.2,55922.2,30,55950,68460,55928.73,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-174.4,-0.311
55922.2,21060,2025-06-02 09:15:38,1748835939,30,120,55905.0,55921.4,30,49920,60330,55928.71,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-154.2,-0.275
55922.2,21060,2025-06-02 09:15:38,1748835939,30,30,55905.0,55912.6,30,48510,63510,55928.71,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-154.2,-0.275
55905.0,21060,2025-06-02 09:15:38,1748835939,30,30,55905.0,55912.6,30,48510,63510,55928.71,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-171.4,-0.3057
55897.0,22830,2025-06-02 09:15:40,1748835940,60,30,55892.2,55896.6,30,46860,68610,55926.53,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-179.4,-0.3199
55906.2,22890,2025-06-02 09:15:40,1748835940,60,60,55892.2,55907.6,30,51030,64350,55926.47,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-170.2,-0.3035
55892.2,22890,2025-06-02 09:15:40,1748835941,60,30,55892.2,55899.8,30,50670,61380,55926.47,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-184.2,-0.3285
55892.2,22950,2025-06-02 09:15:41,1748835942,30,60,55892.2,55898.0,30,50430,65550,55926.39,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-184.2,-0.3285
55885.6,24510,2025-06-02 09:15:42,1748835942,30,120,55881.2,55888.0,60,46140,63270,55923.98,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-190.8,-0.3403
55881.2,25650,2025-06-02 09:15:43,1748835943,90,90,55875.0,55881.2,150,48270,62160,55922.16,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-195.2,-0.3481
55871.0,25950,2025-06-02 09:15:43,1748835944,120,30,55871.0,55876.0,30,55230,65730,55921.62,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-205.4,-0.3663
55871.0,25950,2025-06-02 09:15:43,1748835944,120,30,55871.0,55876.0,30,55980,62400,55921.62,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-205.4,-0.3663
55871.0,26070,2025-06-02 09:15:45,1748835945,30,90,55881.2,55896.0,60,53760,58260,55921.39,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-205.4,-0.3663
55874.2,26310,2025-06-02 09:15:45,1748835945,90,90,55874.2,55892.4,30,54990,68910,55921.09,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-202.2,-0.3606
55883.0,26310,2025-06-02 09:15:45,1748835946,90,90,55874.2,55892.4,30,54990,68910,55921.09,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-193.4,-0.3449
55891.0,26400,2025-06-02 09:15:46,1748835946,240,30,55883.0,55892.0,30,54150,67260,55920.97,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-185.4,-0.3306
55881.0,26670,2025-06-02 09:15:46,1748835946,30,30,55872.0,55884.8,30,52890,68790,55920.58,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-195.4,-0.3485
55871.0,26670,2025-06-02 09:15:46,1748835947,30,30,55872.0,55884.8,30,52890,68790,55920.58,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-205.4,-0.3663
55881.0,26790,2025-06-02 09:15:47,1748835947,30,30,55881.0,55884.8,30,55980,66150,55920.38,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-195.4,-0.3485
55870.2,26850,2025-06-02 09:15:48,1748835948,30,30,55870.2,55884.8,30,53220,66600,55920.28,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-206.2,-0.3677
55884.8,27210,2025-06-02 09:15:48,1748835948,30,90,55881.6,55897.0,30,57150,54990,55919.67,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-191.6,-0.3417
55884.8,27210,2025-06-02 09:15:48,1748835949,240,90,55876.2,55892.8,30,56580,65250,55919.67,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-191.6,-0.3417
55899.0,27210,2025-06-02 09:15:48,1748835949,240,90,55876.2,55892.8,150,56580,65250,55919.67,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-177.4,-0.3164
55887.6,27360,2025-06-02 09:15:49,1748835950,450,240,55884.8,55901.8,30,58500,59010,55919.55,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-188.8,-0.3367
55887.6,27510,2025-06-02 09:15:50,1748835950,60,90,55887.6,55901.8,30,58680,66870,55919.38,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-188.8,-0.3367
55902.0,27570,2025-06-02 09:15:51,1748835951,450,240,55900.0,55904.8,30,60600,64770,55919.33,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-174.4,-0.311
55904.0,28050,2025-06-02 09:15:51,1748835951,30,240,55901.6,55916.2,30,58200,64980,55919.1,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-172.4,-0.3074
55909.8,28050,2025-06-02 09:15:51,1748835952,30,240,55901.6,55916.2,30,58200,64980,55919.1,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-166.6,-0.2971
55900.0,28320,2025-06-02 09:15:52,1748835952,330,60,55900.0,55913.0,60,57060,67710,55918.95,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-176.4,-0.3146
55909.6,28410,2025-06-02 09:15:53,1748835953,150,180,55900.0,55909.6,30,56130,62610,55918.9,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-166.8,-0.2975
55892.6,28650,2025-06-02 09:15:53,1748835953,30,30,55890.0,55891.0,30,49530,65190,55918.73,55870.0,56100.0,0,0,56100.0,56076.4,sf,NSE:BANKNIFTY25JUNFUT,-183.8,-0.3278
