ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
262.3,1683675,2025-06-02 09:15:58,1748835958,450,150,261.3,262.15,225,3139425,83700,245.06,176.1,269.25,0,0,190.0,160.8,sf,NSE:NIFTY2560524700PE,101.5,63.1219
264.75,1685475,2025-06-02 09:15:58,1748835958,300,225,261.8,262.75,75,3138225,84000,245.08,176.1,269.25,0,0,190.0,160.8,sf,NSE:NIFTY2560524700PE,103.95,64.6455
269.95,1685475,2025-06-02 09:15:58,1748835959,300,225,261.8,262.75,75,3138225,84000,245.08,176.1,269.25,0,0,190.0,160.8,sf,NSE:NIFTY2560524700PE,109.15,67.8794
272.0,1742700,2025-06-02 09:16:00,1748835960,450,75,269.4,270.05,75,3135975,60150,245.86,176.1,273.0,0,0,190.0,160.8,sf,NSE:NIFTY2560524700PE,111.2,69.1542
273.75,1742700,2025-06-02 09:16:00,1748835960,450,75,269.4,270.05,75,3135975,60150,245.86,176.1,273.0,0,0,190.0,160.8,sf,NSE:NIFTY2560524700PE,112.95,70.2425
275.35,1805550,2025-06-02 09:16:01,1748835961,450,450,275.3,276.15,75,3158850,58875,246.81,176.1,276.85,0,0,190.0,160.8,sf,NSE:NIFTY2560524700PE,114.55,71.2376
277.0,1809000,2025-06-02 09:16:01,1748835961,375,375,277.3,278.1,150,3163575,60075,246.86,176.1,278.0,0,0,190.0,160.8,sf,NSE:NIFTY2560524700PE,116.2,72.2637
271.2,1809000,2025-06-02 09:16:01,1748835962,375,375,277.3,278.1,75,3163575,60075,246.86,176.1,278.0,0,0,190.0,160.8,sf,NSE:NIFTY2560524700PE,110.4,68.6567
271.85,1879650,2025-06-02 09:16:03,1748835963,75,300,271.95,272.6,75,3152625,66150,247.83,176.1,278.05,0,0,190.0,160.8,sf,NSE:NIFTY2560524700PE,111.05,69.0609
273.15,1879650,2025-06-02 09:16:03,1748835963,75,300,271.95,272.6,375,3152625,66150,247.83,176.1,278.05,0,0,190.0,160.8,sf,NSE:NIFTY2560524700PE,112.35,69.8694
276.95,1879650,2025-06-02 09:16:03,1748835964,75,300,271.95,272.6,75,3152625,66150,247.83,176.1,278.05,0,0,190.0,160.8,sf,NSE:NIFTY2560524700PE,116.15,72.2326
