ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
143.05,766650,2025-06-20 09:15:23,1750391123,750,750,143.2,143.7,75,2221800,223575,156.1,140.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-46.35,-24.472
143.35,766650,2025-06-20 09:15:23,1750391124,750,750,143.2,143.7,75,2221800,223575,156.1,140.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-46.05,-24.3136
143.6,798300,2025-06-20 09:15:24,1750391124,225,300,143.25,143.6,75,2221650,222450,155.59,140.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-45.8,-24.1816
142.9,798300,2025-06-20 09:15:24,1750391125,225,300,143.25,143.6,75,2221650,222450,155.59,140.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-46.5,-24.5512
142.1,843225,2025-06-20 09:15:26,1750391126,525,525,141.55,141.9,150,2223075,237000,154.9,140.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-47.3,-24.9736
142.6,843225,2025-06-20 09:15:26,1750391126,525,525,141.55,141.9,75,2223075,237000,154.9,140.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-46.8,-24.7096
143.3,879150,2025-06-20 09:15:27,1750391127,300,900,142.85,143.2,150,2230950,232650,154.41,140.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-46.1,-24.34
141.75,884400,2025-06-20 09:15:28,1750391128,225,900,141.65,142.1,150,2230875,233400,154.34,140.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-47.65,-25.1584
140.2,884400,2025-06-20 09:15:28,1750391128,225,900,141.65,142.1,75,2230875,233400,154.34,140.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-49.2,-25.9768
140.3,951450,2025-06-20 09:15:29,1750391129,225,1725,139.95,140.3,75,2220750,244875,153.34,138.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-49.1,-25.924
140.25,959175,2025-06-20 09:15:29,1750391129,150,150,139.7,140.0,75,2217225,249975,153.23,138.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-49.15,-25.9504
141.8,959175,2025-06-20 09:15:29,1750391130,150,150,139.7,140.0,75,2217225,249975,153.23,138.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-47.6,-25.132
141.85,959175,2025-06-20 09:15:29,1750391130,150,150,139.7,140.0,75,2217225,249975,153.23,138.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-47.55,-25.1056
140.9,998400,2025-06-20 09:15:31,1750391131,675,1200,140.55,140.9,150,346125,252075,152.74,138.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-48.5,-25.6072
139.7,998400,2025-06-20 09:15:31,1750391131,675,1200,140.55,140.9,75,346125,252075,152.74,138.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-49.7,-26.2408
139.4,998400,2025-06-20 09:15:31,1750391132,675,1200,140.55,140.9,150,346125,252075,152.74,138.45,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-50.0,-26.3992
139.55,1038975,2025-06-20 09:15:32,1750391132,300,1050,139.25,139.65,150,342300,255000,152.22,138.3,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-49.85,-26.32
138.6,1057800,2025-06-20 09:15:33,1750391133,300,2775,137.75,138.15,225,335625,255225,151.97,137.4,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-50.8,-26.8215
139.05,1057800,2025-06-20 09:15:33,1750391133,300,2775,137.75,138.15,75,335625,255225,151.97,137.4,188.0,0,0,188.0,189.4,sf,NSE:NIFTY25JUN24800PE,-50.35,-26.5839
