ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
50.55,2146500,2025-06-26 09:15:17,1750909517,1125,75,50.5,50.7,150,40688475,609000,45.59,38.8,52.0,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,5.75,12.8348
50.5,2146500,2025-06-26 09:15:17,1750909517,1125,75,50.5,50.7,75,40688475,609000,45.59,38.8,52.0,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,5.7,12.7232
52.9,2146500,2025-06-26 09:15:17,1750909518,1125,75,50.5,50.7,75,40688475,609000,45.59,38.8,52.0,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,8.1,18.0804
52.45,2407950,2025-06-26 09:15:18,1750909518,525,75,52.25,52.45,75,41198775,595650,46.3,38.8,53.8,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.65,17.0759
53.65,2431350,2025-06-26 09:15:18,1750909519,225,150,52.45,52.65,75,41207925,594675,46.36,38.8,53.8,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,8.85,19.7545
53.95,2431350,2025-06-26 09:15:18,1750909519,225,150,52.45,52.65,75,41207925,594675,46.36,38.8,53.8,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,9.15,20.4241
53.5,2431350,2025-06-26 09:15:18,1750909520,225,150,52.45,52.65,75,41207925,594675,46.36,38.8,53.8,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,8.7,19.4196
52.65,2870400,2025-06-26 09:15:20,1750909520,75,450,52.55,52.65,300,43347075,607125,47.42,38.8,54.25,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.85,17.5223
52.1,2870400,2025-06-26 09:15:20,1750909521,75,450,52.55,52.65,150,43347075,607125,47.42,38.8,54.25,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.3,16.2946
52.25,2870400,2025-06-26 09:15:20,1750909521,75,450,52.55,52.65,75,43347075,607125,47.42,38.8,54.25,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.45,16.6295
52.65,3206250,2025-06-26 09:15:22,1750909522,375,300,52.55,52.7,75,45507225,632775,47.94,38.8,54.25,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.85,17.5223
53.8,3206250,2025-06-26 09:15:22,1750909523,375,300,52.55,52.7,75,45507225,632775,47.94,38.8,54.25,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,9.0,20.0893
54.75,3415800,2025-06-26 09:15:23,1750909523,1050,45075,54.75,55.0,150,46038900,622725,48.29,38.8,55.0,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,9.95,22.2098
55.05,3415800,2025-06-26 09:15:23,1750909524,1050,45075,54.75,55.0,75,46038900,622725,48.29,38.8,55.0,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,10.25,22.8795
54.8,3415800,2025-06-26 09:15:23,1750909524,1050,45075,54.75,55.0,75,46038900,622725,48.29,38.8,55.0,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,10.0,22.3214
55.65,3415800,2025-06-26 09:15:23,1750909525,1050,45075,54.75,55.0,75,46038900,622725,48.29,38.8,55.0,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,10.85,24.2188
54.45,3738075,2025-06-26 09:15:25,1750909525,1425,150,54.45,54.65,825,46302225,598650,48.88,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,9.65,21.5402
54.25,3738075,2025-06-26 09:15:25,1750909525,1425,150,54.45,54.65,150,46302225,598650,48.88,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,9.45,21.0938
54.55,3738075,2025-06-26 09:15:25,1750909526,1425,150,54.45,54.65,75,46302225,598650,48.88,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,9.75,21.7634
53.85,3738075,2025-06-26 09:15:25,1750909526,1425,150,54.45,54.65,150,46302225,598650,48.88,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,9.05,20.2009
52.8,4012725,2025-06-26 09:15:26,1750909526,1050,375,52.7,52.95,75,46602000,644550,49.23,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,8.0,17.8571
52.8,4066050,2025-06-26 09:15:27,1750909527,75,750,52.05,52.25,75,46866675,649050,49.27,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,8.0,17.8571
51.2,4066050,2025-06-26 09:15:27,1750909528,75,750,52.05,52.25,75,46866675,649050,49.27,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,6.4,14.2857
51.4,4308900,2025-06-26 09:15:28,1750909528,1125,525,51.4,51.65,75,47582700,664950,49.42,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,6.6,14.7321
50.9,4308900,2025-06-26 09:15:28,1750909529,1125,525,51.4,51.65,300,47582700,664950,49.42,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,6.1,13.6161
52.25,4308900,2025-06-26 09:15:28,1750909529,1125,525,51.4,51.65,75,47582700,664950,49.42,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.45,16.6295
52.45,4477800,2025-06-26 09:15:30,1750909530,225,375,50.75,50.9,75,45968100,685425,49.5,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.65,17.0759
51.45,4477800,2025-06-26 09:15:30,1750909530,225,375,50.75,50.9,150,45968100,685425,49.5,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,6.65,14.8438
50.65,4477800,2025-06-26 09:15:30,1750909531,225,375,50.75,50.9,75,45968100,685425,49.5,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,5.85,13.058
51.55,4720725,2025-06-26 09:15:31,1750909532,1500,375,51.0,51.25,75,46208625,694650,49.6,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,6.75,15.067
52.65,4720725,2025-06-26 09:15:31,1750909532,1500,375,51.0,51.25,150,46208625,694650,49.6,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.85,17.5223
53.95,4877625,2025-06-26 09:15:33,1750909533,1050,675,53.7,53.95,75,46900425,670875,49.7,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,9.15,20.4241
53.4,4914975,2025-06-26 09:15:33,1750909533,75,900,53.45,53.6,75,46925850,683250,49.73,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,8.6,19.1964
53.0,4914975,2025-06-26 09:15:33,1750909533,75,900,53.45,53.6,75,46925850,683250,49.73,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,8.2,18.3036
51.9,4914975,2025-06-26 09:15:33,1750909534,75,900,53.45,53.6,75,46925850,683250,49.73,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.1,15.8482
52.05,4914975,2025-06-26 09:15:33,1750909534,75,900,53.45,53.6,75,46925850,683250,49.73,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.25,16.183
51.8,5160300,2025-06-26 09:15:35,1750909535,375,75,51.8,51.95,150,47622450,696450,49.85,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.0,15.625
52.55,5160300,2025-06-26 09:15:35,1750909535,375,75,51.8,51.95,150,47622450,696450,49.85,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.75,17.2991
51.8,5273850,2025-06-26 09:15:36,1750909536,900,150,51.65,51.85,225,47812650,711675,49.9,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.0,15.625
52.15,5295450,2025-06-26 09:15:36,1750909536,750,525,52.0,52.15,75,47856600,708150,49.91,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.35,16.4062
51.85,5295450,2025-06-26 09:15:36,1750909537,750,525,52.0,52.15,150,47856600,708150,49.91,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.05,15.7366
52.35,5295450,2025-06-26 09:15:36,1750909537,750,525,52.0,52.15,75,47856600,708150,49.91,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,7.55,16.8527
51.75,5415225,2025-06-26 09:15:38,1750909538,900,825,51.6,51.75,150,47999025,718125,49.96,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,6.95,15.5134
51.7,5446875,2025-06-26 09:15:38,1750909538,1200,1500,51.65,51.9,75,48069675,718575,49.97,38.8,56.4,0,0,44.9,44.8,sf,NSE:NIFTY25JUN25300CE,6.9,15.4018
