ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
57435.0,23240,2025-06-27 09:15:34,1750995935,245,70,57435.0,57447.8,35,50785,37975,57360.75,57256.4,57448.0,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,178.6,0.3119
57435.0,23275,2025-06-27 09:15:35,1750995935,210,70,57435.0,57447.8,35,54495,36015,57360.87,57256.4,57448.0,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,178.6,0.3119
57448.0,23275,2025-06-27 09:15:35,1750995936,210,70,57435.0,57447.8,35,54495,36015,57360.87,57256.4,57448.0,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,191.6,0.3346
57448.0,23520,2025-06-27 09:15:35,1750995936,35,245,57440.0,57448.0,35,60130,33110,57361.71,57256.4,57448.0,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,191.6,0.3346
57448.0,23555,2025-06-27 09:15:36,1750995936,35,210,57440.0,57448.0,35,61600,30170,57361.84,57256.4,57448.0,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,191.6,0.3346
57450.0,23555,2025-06-27 09:15:36,1750995937,35,210,57440.0,57448.0,35,61600,30170,57361.84,57256.4,57448.0,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,193.6,0.3381
57454.2,27720,2025-06-27 09:15:37,1750995937,35,70,57454.0,57469.8,70,59885,31920,57375.28,57256.4,57469.8,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,197.8,0.3455
57451.0,27720,2025-06-27 09:15:37,1750995938,35,70,57454.0,57469.8,35,59885,31920,57375.28,57256.4,57469.8,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,194.6,0.3399
57469.8,27930,2025-06-27 09:15:38,1750995938,35,70,57453.4,57469.8,35,57015,29960,57375.9,57256.4,57469.8,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,213.4,0.3727
57452.8,28140,2025-06-27 09:15:38,1750995939,35,70,57453.4,57469.8,35,58240,25830,57376.46,57256.4,57469.8,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,196.4,0.343
57455.8,28280,2025-06-27 09:15:39,1750995939,280,35,57451.4,57465.0,35,60095,30450,57376.84,57256.4,57469.8,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,199.4,0.3483
57471.0,28945,2025-06-27 09:15:39,1750995939,35,70,57456.0,57470.8,385,60900,27545,57378.96,57256.4,57471.0,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,214.6,0.3748
57451.6,28945,2025-06-27 09:15:39,1750995940,35,70,57456.0,57470.8,35,60900,27545,57378.96,57256.4,57471.0,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,195.2,0.3409
57461.8,29225,2025-06-27 09:15:40,1750995940,35,35,57451.0,57461.0,35,58695,31955,57379.68,57256.4,57471.0,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,205.4,0.3587
57461.0,29330,2025-06-27 09:15:40,1750995940,175,35,57452.0,57461.2,35,59325,26705,57379.95,57256.4,57471.0,0,0,57260.0,57256.4,sf,NSE:BANKNIFTY25JULFUT,204.6,0.3573
