ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
25719.9,157050,2025-06-27 09:15:33,1750995933,450,975,25715.9,25720.0,75,291075,213600,25710.24,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,104.9,0.4095
25720.0,157050,2025-06-27 09:15:33,1750995934,450,975,25715.9,25720.0,75,291075,213600,25710.24,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,105.0,0.4099
25715.4,157950,2025-06-27 09:15:34,1750995934,75,75,25714.5,25718.1,75,269175,226575,25710.28,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,100.4,0.392
25719.9,158250,2025-06-27 09:15:34,1750995934,75,900,25718.1,25720.0,75,280425,185850,25710.3,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,104.9,0.4095
25718.7,158250,2025-06-27 09:15:34,1750995935,75,900,25718.1,25720.0,75,280425,185850,25710.3,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,103.7,0.4048
25719.9,163275,2025-06-27 09:15:36,1750995936,75,75,25719.9,25720.0,150,285075,209325,25710.59,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,104.9,0.4095
25720.0,163275,2025-06-27 09:15:36,1750995936,75,75,25719.9,25720.0,75,285075,209325,25710.59,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,105.0,0.4099
25723.9,163275,2025-06-27 09:15:36,1750995937,75,75,25719.9,25720.0,75,285075,209325,25710.59,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,108.9,0.4251
25723.9,169950,2025-06-27 09:15:37,1750995937,300,375,25718.2,25723.9,75,276225,220875,25710.93,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,108.9,0.4251
25724.8,169950,2025-06-27 09:15:37,1750995938,300,375,25718.2,25723.9,150,276225,220875,25710.93,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,109.8,0.4287
25723.3,172575,2025-06-27 09:15:39,1750995939,375,375,25716.2,25723.1,75,285750,217575,25711.07,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,108.3,0.4228
25716.0,172575,2025-06-27 09:15:39,1750995940,375,375,25716.2,25723.1,75,285750,217575,25711.07,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,101.0,0.3943
25715.0,172575,2025-06-27 09:15:39,1750995940,375,375,25716.2,25723.1,150,285750,217575,25711.07,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,100.0,0.3904
25719.0,178725,2025-06-27 09:15:40,1750995940,3225,300,25719.0,25719.9,75,269175,219975,25711.42,25660.2,25725.0,0,0,25695.0,25615.0,sf,NSE:NIFTY25JULFUT,104.0,0.406
