ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
171.25,493875,2025-06-30 09:15:20,1751255120,375,75,171.2,171.5,75,3731475,312975,178.07,170.0,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,0.55,0.3222
170.35,493875,2025-06-30 09:15:20,1751255121,375,75,171.2,171.5,300,3731475,312975,178.07,170.0,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,-0.35,-0.205
168.8,566325,2025-06-30 09:15:21,1751255121,375,150,168.9,169.3,75,3703200,308400,177.08,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,-1.9,-1.1131
171.9,566325,2025-06-30 09:15:21,1751255122,375,150,168.9,169.3,75,3703200,308400,177.08,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,1.2,0.703
173.45,608700,2025-06-30 09:15:23,1751255123,225,1050,173.45,174.0,75,3704175,261450,176.79,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,2.75,1.611
173.7,608700,2025-06-30 09:15:23,1751255124,225,1050,173.45,174.0,75,3704175,261450,176.79,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,3.0,1.7575
174.85,608700,2025-06-30 09:15:23,1751255124,225,1050,173.45,174.0,150,3704175,261450,176.79,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,4.15,2.4312
174.45,630750,2025-06-30 09:15:25,1751255125,450,750,174.05,174.6,75,3708300,243000,176.71,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,3.75,2.1968
174.55,630750,2025-06-30 09:15:25,1751255125,450,750,174.05,174.6,300,3708300,243000,176.71,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,3.85,2.2554
174.9,663300,2025-06-30 09:15:26,1751255126,450,300,174.4,174.9,75,3720825,218625,176.59,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,4.2,2.4605
173.95,663300,2025-06-30 09:15:26,1751255126,450,300,174.4,174.9,150,3720825,218625,176.59,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,3.25,1.9039
174.7,663300,2025-06-30 09:15:26,1751255127,450,300,174.4,174.9,75,3720825,218625,176.59,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,4.0,2.3433
173.85,703050,2025-06-30 09:15:28,1751255128,525,600,171.9,172.35,75,3724650,226425,176.41,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,3.15,1.8453
172.65,727275,2025-06-30 09:15:29,1751255130,300,225,172.05,172.5,75,3386100,225000,176.31,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,1.95,1.1424
174.55,727275,2025-06-30 09:15:29,1751255130,300,225,172.05,172.5,75,3386100,225000,176.31,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,3.85,2.2554
174.35,758100,2025-06-30 09:15:31,1751255131,675,300,174.1,174.4,75,2306700,223575,176.21,168.35,190.0,0,0,170.0,170.7,sf,NSE:NIFTY2570325600CE,3.65,2.1383
