ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
113.25,1118025,2025-03-17 09:15:39,1742183139,225,300,112.95,113.25,75,1380450,106350,118.46,111.8,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-65.8,-36.7495
112.55,1178400,2025-03-17 09:15:41,1742183141,300,150,112.6,112.8,75,1378200,107025,118.19,111.8,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-66.5,-37.1405
112.35,1257675,2025-03-17 09:15:42,1742183142,75,150,112.15,112.4,150,1379850,108750,117.8,110.7,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-66.7,-37.2522
112.0,1257675,2025-03-17 09:15:42,1742183143,75,150,112.15,112.4,75,1379850,108750,117.8,110.7,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-67.05,-37.4476
110.0,1257675,2025-03-17 09:15:42,1742183144,75,150,112.15,112.4,75,1379850,108750,117.8,110.7,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-69.05,-38.5646
110.7,1341450,2025-03-17 09:15:44,1742183144,150,375,110.4,110.7,75,1376325,115050,117.4,110.0,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-68.35,-38.1737
110.05,1341450,2025-03-17 09:15:44,1742183145,150,375,110.4,110.7,150,1376325,115050,117.4,110.0,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-69.0,-38.5367
109.75,1386300,2025-03-17 09:15:46,1742183146,675,900,109.6,109.9,75,1378875,124125,117.16,109.3,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-69.3,-38.7043
108.35,1386300,2025-03-17 09:15:46,1742183147,675,900,109.6,109.9,75,1378875,124125,117.16,109.3,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-70.7,-39.4862
109.1,1424850,2025-03-17 09:15:47,1742183147,75,75,109.1,109.35,75,1385025,119850,116.94,108.0,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-69.95,-39.0673
108.95,1424850,2025-03-17 09:15:47,1742183148,75,75,109.1,109.35,75,1385025,119850,116.94,108.0,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-70.1,-39.1511
109.7,1469475,2025-03-17 09:15:49,1742183149,150,375,109.55,109.75,150,1385625,119700,116.72,108.0,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-69.35,-38.7322
110.15,1469475,2025-03-17 09:15:49,1742183150,150,375,109.55,109.75,150,1385625,119700,116.72,108.0,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-68.9,-38.4809
109.9,1496025,2025-03-17 09:15:50,1742183150,225,150,109.8,109.95,75,1388100,115650,116.6,108.0,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-69.15,-38.6205
109.55,1496025,2025-03-17 09:15:50,1742183151,225,150,109.8,109.95,75,1388100,115650,116.6,108.0,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-69.5,-38.816
110.0,1536750,2025-03-17 09:15:52,1742183152,900,75,110.0,110.35,75,1402725,118725,116.43,108.0,161.75,0,0,130.0,179.05,sf,NSE:NIFTY2532022500PE,-69.05,-38.5646
