last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
20-03-2025 09:15,23036,155625,253500,62.55,37871325,712875,62.15,39783150,315750
20-03-2025 09:16,23043,162975,248475,58.55,39388050,862725,54.75,39716775,454575
20-03-2025 09:16,23043,176550,243000,58.75,40975050,939375,55,40572900,444075
20-03-2025 09:16,23049.6,167325,244425,58.65,41917800,960150,52.2,40638000,475200
20-03-2025 09:16,23043.15,168750,248025,57.45,42191550,1013700,52.85,40938375,487425
20-03-2025 09:16,23040,171975,271650,56.3,42266175,1076625,53.9,41341425,516750
20-03-2025 09:16,23042.8,180000,271425,56.35,42552675,1103175,48.7,41674500,602250
20-03-2025 09:17,23043.05,176625,254775,52.45,44986050,1154025,49.75,42552600,623175
20-03-2025 09:17,23040.4,176775,257775,52.95,45110625,1180500,48.1,42851250,674775
20-03-2025 09:17,23048.5,181950,256125,59.3,45722775,1187025,48.5,42983400,734250
20-03-2025 09:17,23045.6,180675,255750,58.7,45931800,1113900,50.45,43154475,727725
20-03-2025 09:17,23046.3,184575,256125,59.85,46097100,1189800,48.4,43156275,818100
20-03-2025 09:17,23046.35,185700,259350,58.1,46623975,1221150,48.1,43813800,863025
20-03-2025 09:18,23045.7,185700,257025,58.1,47604300,1288425,47.85,44976675,915225
20-03-2025 09:18,23048.9,187500,261750,58.25,47898825,1308600,49.7,45949575,938325
20-03-2025 09:18,23049.25,188100,260700,58.15,48687750,1292025,48.4,46288800,995625
20-03-2025 09:18,23050,188250,262650,58.8,48836925,1311825,47,46567500,1054425
20-03-2025 09:18,23051.45,186975,263250,59.9,48902250,1303650,45.7,46922100,1185600
20-03-2025 09:18,23049,188775,265350,60.6,48942150,1196175,45.2,47034825,1203150
20-03-2025 09:19,23050.05,189600,263700,60.7,48954750,1231125,44.15,46982475,1149600
20-03-2025 09:19,23052.45,189600,265425,60.95,49786575,1274625,43.8,46920825,1233075
20-03-2025 09:19,23052.4,190575,266850,60.65,50120775,1358775,44.55,46955175,1194000
20-03-2025 09:19,23050,189450,269175,59.7,50159325,1502250,45.25,47096550,1203825
20-03-2025 09:19,23050,189750,275100,58.4,50098125,1590900,45.6,47174325,1254975
20-03-2025 09:19,23049.65,186000,277500,57.45,50103000,1632075,46.5,47219175,1252200
20-03-2025 09:20,23052,192900,276300,60.15,47040825,1639725,41.95,44441550,1415625
20-03-2025 09:20,23052.65,189600,272550,58.85,47359725,1681725,43,44648250,1438350
20-03-2025 09:20,23049.65,189225,275625,57.15,47416350,1729125,44.85,45158475,1419225
20-03-2025 09:20,23042.15,188025,286275,53.55,47392575,1730025,48.65,45915075,1348800
20-03-2025 09:20,23042.25,192225,290925,57.25,47228850,1762350,49,45961275,1216875
20-03-2025 09:20,23041.3,190050,286725,54.45,47290275,1783500,49.05,46024200,1307700
20-03-2025 09:21,23043.7,193575,288450,54.6,47264925,1821150,49.05,46038900,1434825
20-03-2025 09:21,23041.55,195675,288375,54.85,47409450,1835175,47.9,46055700,1477200
20-03-2025 09:21,23043.3,193725,288375,56.7,47454150,1868250,48,46052700,1508850
20-03-2025 09:21,23045,193125,285675,57.55,47590800,1878150,47.65,46291500,1566000
20-03-2025 09:21,23051.65,197325,282600,60.55,47655900,1882425,44.15,46366050,1623675
20-03-2025 09:21,23049.55,197100,280275,58.65,47668425,1611000,43.8,46224300,1630650
20-03-2025 09:25,23091.2,213750,242325,98.5,47905500,598200,35,46482975,2197500
20-03-2025 09:25,23086.65,213375,251475,94.75,47893950,658800,36,46549125,2198925
20-03-2025 09:25,23081.9,210225,253650,89.55,47731575,698175,38,46669200,2150700
20-03-2025 09:25,23074,207450,266850,85.95,47551500,768825,39.9,46742700,2155725
20-03-2025 09:25,23079.35,207150,266250,88.65,47445375,782700,39,46706100,2064075
20-03-2025 09:25,23081,215925,257700,89.25,47603850,815325,38.05,46709100,2245275
20-03-2025 09:26,23077.95,213675,259875,87,47638725,867750,38.5,46644000,2289600
20-03-2025 09:26,23076,210825,264675,82.95,47636025,934125,40.55,46756575,2285925
20-03-2025 09:26,23068.65,208050,269550,81.45,47535450,967350,40.4,46853850,2286300
20-03-2025 09:26,23070.45,213000,264975,83.75,47447700,948150,40.25,46937475,2330175
20-03-2025 09:26,23074.8,211575,263025,85.25,47567550,961125,40.85,46894950,2380125
20-03-2025 09:26,23074.95,214875,261975,85.05,47656125,984450,39.6,46924725,2467275
20-03-2025 09:27,23066.7,214725,267300,80.05,47633100,1086450,41.9,46970625,2496225
20-03-2025 09:27,23067.75,211950,264375,81.2,47511300,1108350,43,47111775,2277075
20-03-2025 09:27,23071,214725,261825,83.8,47463750,1108350,40.8,46946475,2359650
20-03-2025 09:27,23073.65,215775,261525,85.7,47529750,1107975,39.75,46936800,2455875
20-03-2025 09:27,23074.75,216675,257925,87.55,47613975,1069350,39.1,46904175,2507250
20-03-2025 09:27,23085.05,214425,317250,93.05,47687175,1060200,35.6,46881900,2540100
20-03-2025 09:28,23089,211200,322275,93.15,47780475,961800,35.7,46600875,2511075
20-03-2025 09:28,23088.95,217125,314175,93.2,47823375,1023000,33.4,46641375,2603925
20-03-2025 09:28,23088.4,216300,319500,93.8,47776350,971025,33.15,46612800,2623500
20-03-2025 09:28,23088.05,220275,322725,94.4,47756325,1026150,34.15,46746450,2603925
20-03-2025 09:28,23086.05,220725,323550,92.75,47709075,1055400,34.5,46988625,2623200
20-03-2025 09:28,23080,219375,326625,87.2,47666550,1096800,36.4,47199300,2607900
20-03-2025 09:29,23089.2,221325,325200,94.5,47663625,1122450,33.55,47224350,2643825
20-03-2025 09:29,23089.9,221550,321300,95.1,47822325,1054425,33.15,47034450,2682975
20-03-2025 09:29,23090.75,224250,320925,94.75,47953500,1041975,32.4,47113275,2711100
20-03-2025 09:29,23090.75,222150,321075,95.45,47949225,1063350,31.7,47106900,2751375
20-03-2025 09:29,23098.8,222225,318675,104.45,47998275,1065900,30.05,47110350,2764875
20-03-2025 09:29,23097.1,225000,306675,103.2,48002025,718800,30.25,49172175,2798700
20-03-2025 09:30,23100.5,228150,305850,102.3,48154950,774225,30,48908025,2825550
20-03-2025 09:30,23095,224625,303150,99.6,48135750,819300,30.6,49048800,2804775
20-03-2025 09:30,23093.35,225825,305250,97.6,47915775,902325,31.4,49176525,2837400
20-03-2025 09:30,23093.1,228000,305475,98.7,48087300,917700,32,49233600,2925975
20-03-2025 09:30,23093.35,227625,307800,97.05,48061650,941700,32.1,49302600,2886675
20-03-2025 09:30,23093.1,230700,310575,96.9,48132600,952350,32.15,49307400,2932125
20-03-2025 09:31,23098,229050,308475,101.35,48113550,967500,30.25,49305225,3035550
20-03-2025 09:31,23098,230025,307575,101.25,48189300,947175,30.6,49331850,3064875
20-03-2025 09:31,23095,230775,311700,99.65,48153600,976125,31.45,49404150,3077475
20-03-2025 09:31,23095.4,230625,312600,98.75,48110550,1000650,31.25,49426800,3093900
20-03-2025 09:31,23098,231225,314175,98.65,48148500,1018950,31.15,49461075,3083925
20-03-2025 09:31,23100,232725,315750,99.9,48203925,1072575,30.85,49467300,3139500
20-03-2025 09:32,23099,235875,313950,102.55,48248475,1050300,30.6,49470750,3172200
20-03-2025 09:32,23096.05,236100,316275,99.75,48252825,997275,30.05,49256775,3189150
20-03-2025 09:32,23098.95,233400,320175,98,48208050,1055850,31,49340100,3223800
20-03-2025 09:32,23096.25,232275,317700,94.2,47960850,1100400,31.6,49341000,3233700
20-03-2025 09:32,23092.6,232950,321825,96.95,47747400,1105050,31.25,49347075,3199950
20-03-2025 09:32,23095,232575,320325,97.75,47932125,1123425,31.4,49369500,3262650
