ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
60.15,6710250,2025-03-20 09:15:41,1742442341,1050,300,60.1,60.3,75,36793500,686400,60.97,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.0,27.5716
59.55,6710250,2025-03-20 09:15:41,1742442342,1050,300,60.1,60.3,75,36793500,686400,60.97,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,12.4,26.299
59.75,6884325,2025-03-20 09:15:43,1742442343,150,525,59.55,59.7,75,37150125,723525,60.93,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,12.6,26.7232
59.85,6884325,2025-03-20 09:15:43,1742442343,150,525,59.55,59.7,75,37150125,723525,60.93,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,12.7,26.9353
60.0,7037625,2025-03-20 09:15:44,1742442344,1125,150,60.0,60.1,150,37208700,714075,60.91,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,12.85,27.2534
60.05,7037625,2025-03-20 09:15:44,1742442345,1125,150,60.0,60.1,75,37208700,714075,60.91,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,12.9,27.3595
60.5,7151250,2025-03-20 09:15:46,1742442346,150,1275,60.45,60.6,150,37238775,720450,60.89,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.35,28.3139
60.5,7151250,2025-03-20 09:15:46,1742442346,150,1275,60.45,60.6,75,37238775,720450,60.89,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.35,28.3139
60.2,7151250,2025-03-20 09:15:46,1742442347,150,1275,60.45,60.6,75,37238775,720450,60.89,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.05,27.6776
60.35,7325325,2025-03-20 09:15:47,1742442347,150,150,60.45,60.55,75,37282125,724125,60.87,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.2,27.9958
60.85,7325325,2025-03-20 09:15:47,1742442348,150,150,60.45,60.55,225,37282125,724125,60.87,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.7,29.0562
60.95,7325325,2025-03-20 09:15:47,1742442349,150,150,60.45,60.55,75,37282125,724125,60.87,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.8,29.2683
61.4,7486725,2025-03-20 09:15:49,1742442349,675,150,61.2,61.4,75,37360650,683250,60.87,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,14.25,30.2227
62.05,7486725,2025-03-20 09:15:49,1742442350,675,150,61.2,61.4,75,37360650,683250,60.87,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,14.9,31.6013
62.85,7670100,2025-03-20 09:15:51,1742442351,1200,150,62.65,62.85,150,37483050,658200,60.9,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,15.7,33.298
62.4,7670100,2025-03-20 09:15:51,1742442351,1200,150,62.65,62.85,225,37483050,658200,60.9,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,15.25,32.3436
63.75,7820925,2025-03-20 09:15:52,1742442352,75,150,63.75,63.9,75,37548600,648450,60.95,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,16.6,35.2068
64.0,7820925,2025-03-20 09:15:52,1742442353,75,150,63.75,63.9,75,37548600,648450,60.95,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,16.85,35.737
64.3,8005800,2025-03-20 09:15:54,1742442354,150,75,64.2,64.35,75,37622100,659175,61.02,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,17.15,36.3733
62.45,8005800,2025-03-20 09:15:54,1742442355,150,75,64.2,64.35,225,37622100,659175,61.02,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,15.3,32.4496
61.95,8187450,2025-03-20 09:15:55,1742442355,300,75,61.8,61.95,75,37677000,694425,61.08,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,14.8,31.3892
62.4,8187450,2025-03-20 09:15:55,1742442356,300,75,61.8,61.95,75,37677000,694425,61.08,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,15.25,32.3436
62.4,8377950,2025-03-20 09:15:57,1742442357,75,75,62.4,62.5,150,37731000,708375,61.11,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,15.25,32.3436
63.45,8512725,2025-03-20 09:15:58,1742442358,900,1200,63.5,63.7,75,37871325,712875,61.13,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,16.3,34.5705
63.2,8512725,2025-03-20 09:15:58,1742442359,900,1200,63.5,63.7,75,37871325,712875,61.13,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,16.05,34.0403
62.55,8512725,2025-03-20 09:15:58,1742442360,900,1200,63.5,63.7,150,37871325,712875,61.13,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,15.4,32.6617
61.95,8769075,2025-03-20 09:16:00,1742442360,300,525,62.0,62.2,225,38437425,732825,61.16,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,14.8,31.3892
61.4,8769075,2025-03-20 09:16:00,1742442361,300,525,62.0,62.2,75,38437425,732825,61.16,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,14.25,30.2227
60.1,9295800,2025-03-20 09:16:02,1742442362,1425,1725,60.1,60.25,75,38465625,779325,61.15,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,12.95,27.4655
60.2,9295800,2025-03-20 09:16:02,1742442362,1425,1725,60.1,60.25,75,38465625,779325,61.15,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.05,27.6776
60.2,9295800,2025-03-20 09:16:02,1742442363,1425,1725,60.1,60.25,150,38465625,779325,61.15,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.05,27.6776
60.2,9656100,2025-03-20 09:16:03,1742442363,150,1725,60.05,60.2,75,38746875,809325,61.11,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.05,27.6776
60.55,9656100,2025-03-20 09:16:03,1742442364,150,1725,60.05,60.2,75,38746875,809325,61.11,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.4,28.4199
60.45,9932100,2025-03-20 09:16:05,1742442365,75,1350,60.45,60.6,75,39093150,801675,61.08,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.3,28.2078
60.7,9932100,2025-03-20 09:16:05,1742442365,75,1350,60.45,60.6,75,39093150,801675,61.08,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.55,28.7381
60.35,9932100,2025-03-20 09:16:05,1742442366,75,1350,60.45,60.6,75,39093150,801675,61.08,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,13.2,27.9958
59.5,10139550,2025-03-20 09:16:06,1742442366,450,75,59.45,59.6,75,39371850,835650,61.07,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,12.35,26.193
59.2,10139550,2025-03-20 09:16:06,1742442367,450,75,59.45,59.6,75,39371850,835650,61.07,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,12.05,25.5567
58.65,10392975,2025-03-20 09:16:08,1742442368,975,75,58.25,58.4,75,39388050,862725,61.01,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,11.5,24.3902
58.55,10392975,2025-03-20 09:16:08,1742442369,975,75,58.25,58.4,150,39388050,862725,61.01,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,11.4,24.1782
58.85,10612500,2025-03-20 09:16:10,1742442370,375,225,58.85,58.95,75,39629175,860400,60.96,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,11.7,24.8144
59.1,10612500,2025-03-20 09:16:10,1742442370,375,225,58.85,58.95,75,39629175,860400,60.96,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,11.95,25.3446
59.05,10612500,2025-03-20 09:16:10,1742442371,375,225,58.85,58.95,150,39629175,860400,60.96,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,11.9,25.2386
58.8,10781550,2025-03-20 09:16:11,1742442371,1425,150,58.7,58.85,75,39644925,885825,60.94,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,11.65,24.7084
58.95,10781550,2025-03-20 09:16:11,1742442372,1425,150,58.7,58.85,150,39644925,885825,60.94,55.5,80.0,0,0,70.5,47.15,sf,NSE:NIFTY2532023000CE,11.8,25.0265
