ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
149.25,687600,2025-03-25 09:15:41,1742874341,75,675,149.35,149.7,75,748200,88875,148.26,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-44.5,-22.9677
148.65,687600,2025-03-25 09:15:41,1742874342,75,675,149.35,149.7,75,748200,88875,148.26,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-45.1,-23.2774
150.75,702300,2025-03-25 09:15:42,1742874342,150,525,150.65,151.0,75,753225,82575,148.26,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-43.0,-22.1935
151.2,702300,2025-03-25 09:15:42,1742874343,150,525,150.65,151.0,75,753225,82575,148.26,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-42.55,-21.9613
152.6,714675,2025-03-25 09:15:44,1742874344,300,150,152.6,152.95,75,756075,80175,148.32,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-41.15,-21.2387
154.1,714675,2025-03-25 09:15:44,1742874345,300,150,152.6,152.95,75,756075,80175,148.32,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-39.65,-20.4645
154.05,724725,2025-03-25 09:15:46,1742874346,300,525,153.85,154.35,75,761025,86700,148.4,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-39.7,-20.4903
152.5,724725,2025-03-25 09:15:46,1742874347,300,525,153.85,154.35,75,761025,86700,148.4,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-41.25,-21.2903
152.4,731550,2025-03-25 09:15:47,1742874347,525,450,152.0,152.45,75,760275,87000,148.44,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-41.35,-21.3419
152.95,731550,2025-03-25 09:15:47,1742874348,525,450,152.0,152.45,75,760275,87000,148.44,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-40.8,-21.0581
153.95,731550,2025-03-25 09:15:47,1742874349,525,450,152.0,152.45,75,760275,87000,148.44,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-39.8,-20.5419
153.55,738225,2025-03-25 09:15:49,1742874349,225,75,153.25,153.6,75,768300,90300,148.48,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-40.2,-20.7484
152.35,738225,2025-03-25 09:15:49,1742874350,225,75,153.25,153.6,150,768300,90300,148.48,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-41.4,-21.3677
151.9,749850,2025-03-25 09:15:50,1742874350,450,750,151.45,151.8,75,767475,94500,148.54,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-41.85,-21.6
151.5,749850,2025-03-25 09:15:50,1742874351,450,750,151.45,151.8,75,767475,94500,148.54,140.05,174.6,0,0,174.6,193.75,sf,NSE:NIFTY25MAR23800PE,-42.25,-21.8065
