last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val
27-03-2025 09:15,23462.25,102225,96150,75,75,42.75,49893525,435300,975,1200,83.95,34700700,552975,675,450
27-03-2025 09:16,23466.1,131100,93300,1425,2250,46.3,50326500,465150,975,1275,78.6,34827450,560925,1200,1200
27-03-2025 09:16,23467.1,139275,96150,675,525,50.25,50471700,435975,1350,1200,80,35411550,578925,5850,2925
27-03-2025 09:16,23466.55,143475,96225,675,300,48.85,50447475,461925,1425,1650,80.2,35617725,622575,675,1275
27-03-2025 09:16,23466.75,143025,100275,525,375,45.45,50731050,480450,1275,525,83.55,35671950,640800,600,750
27-03-2025 09:16,23460,145350,100125,675,300,45,51087750,487425,1200,1725,84.6,35814975,622575,675,600
27-03-2025 09:16,23456.2,148950,101400,300,975,44.1,51416850,526950,1500,1200,85.35,36175200,635400,600,825
27-03-2025 09:17,23462.9,151650,101250,375,450,43.3,51580200,534450,2700,1425,84,36178200,700050,1275,900
27-03-2025 09:17,23456.1,152325,99675,1575,450,43.25,51688950,539100,5400,2025,85.6,36145650,729075,900,1425
27-03-2025 09:17,23460,155700,100800,375,975,43.9,52713450,527250,1125,1500,83.45,36495525,701475,825,825
27-03-2025 09:17,23466.05,162600,100050,1425,900,47.6,53332800,530625,1425,1500,79,37459500,762450,25125,750
27-03-2025 09:17,23467,163050,103200,450,900,46.05,53460075,537900,2550,975,80.45,37494900,779175,900,1875
27-03-2025 09:17,23467.65,162450,102600,2625,600,46.8,53649750,565725,1800,3225,83.1,37749300,788400,450,1125
27-03-2025 09:18,23473.3,162150,101700,525,975,54.5,53795925,567825,1200,1350,78.4,37888950,842925,675,900
27-03-2025 09:18,23476.7,161850,97950,825,750,52.2,53969475,520050,1425,1050,79.95,38193750,851475,1500,975
27-03-2025 09:18,23474.75,161625,102450,750,375,51.15,54042825,559725,9225,2175,80.5,38343825,878175,975,3075
27-03-2025 09:18,23473.5,160500,104325,525,600,49.95,54013425,588750,3075,1200,79.9,38590875,857475,1800,6750
27-03-2025 09:18,23480.25,163575,101325,375,225,56.1,54229275,594300,1125,2700,74.6,38560575,883350,6150,1350
27-03-2025 09:18,23481,162900,102750,75,300,53.8,54291675,578175,1500,750,74.2,38529000,864150,3225,675
27-03-2025 09:19,23489,164400,102225,75,975,56.45,54479175,575175,1200,525,71.4,38569950,902100,600,825
