last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
27-03-2025 09:15,23516.05,129600,0,75,26625,48975,N,-21900,N,3.22,23460.4,23516.05,79.25,17848425,525,225,36600,5677425,N,-16500,N,-0.03,60.2,11520375,-525,-225,35775,4098900,N,489900,N,-6.53,51337,40350,0,0,10620,9330,N,-15090,N,-17.5
27-03-2025 09:20,23523.25,87375,1575,0,28500,19650,N,16575,YES,16.08,23521,23523.25,80.75,20140650,300,-375,38925,-57525,YES,320100,YES,15.9,61.8,17130150,0,300,42750,1985400,N,383850,N,-9.41,51422.2,45900,30,0,12510,2580,YES,22860,YES,107.64
27-03-2025 09:25,23561.25,162525,75,-300,30600,34725,N,-7425,Y,19.98,23523.25,23561.25,100.5,17106150,750,-1050,42450,402600,Y,24900,N,6.46,41.9,20800200,1050,150,50250,1125900,N,695550,Y,-7.66,51420,55320,150,0,10380,-3990,YES,-6180,Y,62.04
27-03-2025 09:30,23535.05,129450,-600,0,30000,225,YES,228825,YES,10.3,23561.25,23535.05,81.4,11864550,-525,-375,40350,-42375,YES,156600,YES,3.28,45.65,17417325,75,-2400,56025,282825,N,311325,N,-4.71,51433,24360,0,-150,12870,-3780,N,5160,N,15.98
27-03-2025 09:35,23524.05,114975,-225,-150,29400,-3075,YES,29475,N,1.94,23538.45,23524.05,70.4,12801300,-450,-300,43650,-2559000,YES,295275,YES,-0.67,49.1,18870375,-300,525,54675,-1280850,Y,303075,N,-2.28,51405.45,37290,0,-180,11040,-930,N,4680,N,22.5
27-03-2025 09:40,23572.9,108150,-75,0,26625,-11100,YES,6900,N,3.42,23524.05,23572.9,102.25,11809650,225,-300,43725,418050,Y,-412725,Y,0.86,32.95,16555125,-300,1350,54525,-464325,YES,712200,Y,-2.3,51540.2,17520,0,150,10620,-2280,YES,-16380,Y,8.1
27-03-2025 09:45,23546.2,88650,-150,675,25725,-2325,N,-900,Y,3.78,23572.9,23546.2,81.45,11886150,600,600,43125,-116325,YES,277350,YES,1.67,38.05,15584100,1725,-1800,64350,2167500,YES,18300,N,-2.16,51527.85,26040,0,60,10710,8550,N,3750,YES,17.3
27-03-2025 09:50,23584.35,90000,150,0,25800,-22950,YES,-21600,Y,2.66,23545.85,23584.35,106.6,11389350,-750,450,40725,276375,Y,-204750,Y,0.94,26.85,14334000,-375,6900,55650,7200,N,258750,Y,-1.74,51587.75,24480,150,60,11160,-6900,YES,-1200,Y,16.48
27-03-2025 09:55,23605,106800,75,-525,29400,13500,Y,6225,YES,5.43,23583.85,23605,127.8,9651450,-150,-375,38850,31125,N,-326325,Y,2.15,23.15,12979800,1275,-1125,65250,15075,N,320625,Y,-1.93,51634.85,19080,0,240,11700,10650,N,-7560,Y,13.03
27-03-2025 10:00,23610.65,173925,0,75,28650,22050,N,-62625,Y,8.73,23607.8,23610.65,132.8,6606600,300,75,41625,-233100,YES,-7500,YES,1.84,21.15,9861150,225,6675,70200,59850,YES,161625,N,-1.42,51621,18450,720,0,12990,-5160,YES,12300,N,11.1
