last_traded_time,ltp,vol_traded_today,bid_size,ask_size,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
28-03-2025 09:15,23761.85,415950,861450,120675,740775,-0.85,40800,41625,N,36375,N,-16.19,23770.1,23761.85,96.4,2573175,172800,251175,2250,-0.1,38100,286200,N,131925,N,-11.61,243.2,452250,128625,103350,25275,0.1,32925,13800,N,40650,N,11.56
28-03-2025 09:20,23715,168600,138225,192075,-53850,-1.4,35325,-17850,YES,44625,N,-4.25,23760,23715,79.85,2464875,321300,266025,9675,-0.05,42750,-87075,YES,100350,N,-3.62,270.6,547200,207375,123525,83850,-0.05,35025,59625,YES,-8250,YES,5.59
28-03-2025 09:25,23705.75,137475,126075,138975,-12900,-0.05,34200,-35625,YES,129300,YES,-6.94,23715,23705.75,71.95,2556225,333450,403275,2475,-0.15,46125,43500,Y,73800,N,-5.37,273.05,457800,113475,126375,-12900,0.05,35400,-27000,Y,26400,Y,6.73
28-03-2025 09:30,23669,294075,320025,156900,163125,0.25,41775,75,Y,26625,N,-14.06,23703.2,23669,58.95,2889900,365550,365550,5025,-0.05,44250,38400,N,60975,N,-5.82,299.7,577350,108675,121200,-12525,-0.1,38775,-6825,YES,-19425,YES,7.88
28-03-2025 09:35,23647.9,242625,157950,126000,31950,-1,34725,35100,Y,6600,N,-13.97,23668.95,23647.9,54.8,2703900,471600,442200,10650,-0.05,50625,116775,Y,92625,YES,-5.51,321,366750,87825,78525,9300,0.05,38625,5550,N,150,N,7.28
28-03-2025 09:40,23659.5,140925,126300,102675,23625,1.65,36375,3900,N,16200,N,-5.87,23645,23659.5,55.1,1787850,418575,469125,3000,0,47325,16425,N,42675,N,-2.63,309.1,213600,75825,68100,7725,-0.1,41100,-59175,Y,7350,N,3.29
28-03-2025 09:45,23679.95,117150,115800,109650,6150,-0.4,32775,26775,Y,-20850,Y,-3.29,23661.15,23679.95,62.15,1836375,383025,389775,3225,-0.1,45075,67800,Y,-35475,Y,-1.86,288.75,252900,92700,78975,13725,-0.3,42450,517200,YES,9900,N,2.39
28-03-2025 09:50,23693.5,88275,120900,76200,44700,1.05,36075,4725,N,5700,YES,-1.24,23679.9,23693.5,64.65,2023200,414825,408450,3150,-7.11E-15,46200,55050,N,-7575,YES,-1.09,281.7,218925,91125,67350,23775,0.05,35025,4200,N,6525,N,0.6
28-03-2025 09:55,23707.15,97275,121500,101925,19575,1.2,27675,-2400,YES,-8400,Y,-0.74,23690,23707.15,68.9,1992225,432975,383625,5025,-0.05,42000,5250,N,-5475,N,-0.58,265.85,316050,107550,96525,11025,-0.1,38700,4050,N,750,YES,0.06
28-03-2025 10:00,23713.45,65775,87375,57975,29400,0,33825,16050,N,600,N,-0.33,23707.15,23713.45,70.2,1800300,487800,415725,2850,-7.11E-15,46350,21450,N,26400,YES,-0.37,264.25,268725,99225,133200,-33975,-0.1,42750,-5925,Y,3900,N,-0.32
28-03-2025 10:05,23670.95,61650,142650,85875,56775,-0.1,27075,20025,N,17175,N,-0.61,23711,23670.95,58.95,1608150,428550,377550,14850,0.05,44025,-3975,YES,39150,N,-0.5,293.95,191475,98400,100425,-2025,-0.2,32250,12525,N,-16800,YES,0.24
28-03-2025 10:10,23674.8,52575,105225,73500,31725,-1.6,32625,15750,N,4575,N,-1,23672,23674.8,60.2,1332075,528525,501525,12150,0.05,49125,24825,Y,27825,N,-0.61,290,185775,90600,81600,9000,-5.68E-14,32025,-5850,Y,5700,Y,0.74
28-03-2025 10:15,23690.95,67425,159450,58500,100950,-0.3,33375,20700,N,-150,Y,-1,23673.3,23690.95,64.25,1016400,487650,556575,3600,-7.11E-15,52725,59025,Y,-32400,Y,-0.34,273.65,178200,85125,99000,-13875,0,33750,-3225,N,7725,N,0.3
