last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_buy_diff,n_sell_diff,ce_buy_diff,ce_sell_diff,pe_buy_diff,pe_sell_diff,n_bid_diff,n_ask_diff,ce_bid_diff,ce_ask_diff,pe_bid_diff,pe_ask_diff,n_bid_price,n_ask_price,ce_bid_price,ce_ask_price,pe_bid_price,pe_ask_price,percentage,bid_ask_diff,bid_ask_diff,bid_ask_diff
28-03-2025 09:15,-0.204412789,-0.307909704,0.217485009,0.12343393,-0.243999554,0.803655164,-0.126862934,0.381112138,-0.219522749,41625,52875,285825,103800,-4725,33375,-6975,750,600,750,-150,-75,-6.76667,-5.81667,-7.13818683,-7.19972523,8.772619,8.6857143,29.20437745,-5.05,-0.35,-0.7
28-03-2025 09:20,0.934217951,-0.927774819,-0.779009221,0.934924493,-0.830336455,-0.696133221,0.799231462,-0.803968337,-0.645777029,-15150,47175,-75825,86325,60075,-8250,900,6225,7800,675,-75,-75,-43.09659,-44.1394,-14.56458333,-14.56145833,25.0160256,25.0685898,81.68192209,-5.35,-0.25,-0.65
28-03-2025 09:25,-0.119226365,0.052872861,-0.138132602,-0.257740339,-0.851247886,0.571741773,0.521602625,-0.311351275,0.003935316,-46275,114750,42825,68325,-26025,21900,-525,-4800,-2325,-675,0,-300,-4.39263,-4.53718,-6.81952381,-6.81595238,2.1405595,2.0506993,31.42056712,-6.25,-0.25,-0.7
28-03-2025 09:30,0.473197615,-0.699139524,0.122714059,0.035156821,-0.852224145,0.363500746,0.08891548,-0.436458914,-0.675016861,2850,26025,38400,58800,-6525,2775,1500,-225,225,675,525,0,-31.44167,-32.00833,-10.80416667,-10.80833333,21.6362179,21.6967948,41.62582407,-5.7,-0.25,-0.8
28-03-2025 09:35,-0.219642323,0.195275907,-0.848919371,0.036896533,-0.222081089,0.326587017,-0.237205043,-0.019685013,0.518584718,34650,-3975,113850,79800,825,300,450,-225,5025,225,-300,150,-18.0381,-17.51904,-4.03356644,-4.03881119,19.2334615,19.2742308,29.16530015,-5.45,-0.2,-0.85
28-03-2025 09:40,0.841952045,0.698653267,0.787353339,0.427971329,0.186310834,0.522646639,0.753871944,-0.861013301,-0.910500651,19125,13125,36825,24675,-60675,8925,0,-225,-75,-1275,75,150,18.37308,18.5876,1.20416667,1.21547619,-16.9613096,-17.0434524,66.55859277,-6.55,-0.2,-1
28-03-2025 09:45,0.923240596,-0.579823313,-0.470687893,0.885974031,-0.77400911,-0.704410136,-0.142450369,-0.814818099,0.155866413,20175,300,59325,-18375,224700,9300,225,1425,-150,-150,-225,-75,16.40591,15.55818,5.87252748,5.91730769,-16.1765385,-16.2634615,60.56977733,-5.9,-0.2,-0.8
28-03-2025 09:50,0.748060207,-0.223320398,0.187303561,0.702929792,-0.688816594,-0.661015734,-0.140426601,-0.74901907,0.356879207,11400,2775,66825,-4200,1650,4725,525,-75,150,0,0,150,16.23547,17.96966,4.80595238,4.79642857,-11.7869047,-11.7970238,49.53079073,-6.6,-0.2,-0.8
28-03-2025 09:55,0.303343005,-0.928484338,-0.358147877,0.399297578,-0.848517191,-0.30137691,0.702788253,0.101603467,0.175413578,13425,-8400,5250,-11400,1950,3975,-600,-675,1125,-75,-75,375,18.67273,17.56819,4.29294871,4.30192308,-16.8772728,-16.9318182,45.76635775,-6.5,-0.2,-0.8
28-03-2025 10:00,0.157208453,-0.791324494,-0.099171445,0.66133448,-0.546816209,-0.250189424,0.724582695,-0.613118145,-0.611052618,14625,525,15375,28650,-7200,3075,225,225,-675,-1950,300,-825,2.09583,2.96326,1.60833334,1.59166667,-1.3272727,-1.2636363,49.49775517,-6.35,-0.2,-0.7
28-03-2025 10:05,0.79090495,-0.854312494,-0.600275597,0.638371359,-0.860770883,-0.708484697,0.812080233,-0.674974257,-0.713211498,-10050,11175,-27750,49350,15000,-13350,225,300,975,900,750,-225,-38.31016,-38.45535,-10.32005494,-10.33049451,25.5447802,25.643956,73.92651075,-6.4,-0.2,-1.05
28-03-2025 10:10,0.765584883,-0.12321994,0.219686008,0.807418261,-0.533484297,-0.448728581,0.794274004,-0.857538953,-0.737489622,15975,2925,9525,20400,-4875,4650,-450,-450,1350,900,75,-375,2.44464,0.96518,1.01676136,1.01363636,-1.5712122,-1.5333333,58.74916167,-6.4,-0.2,-0.9
28-03-2025 10:15,0.866660832,-0.027527334,0.102413149,0.893529747,-0.855500445,-0.788931295,0.58044687,-0.835145395,-0.456582906,11850,-1575,47025,-27825,-1275,7050,-825,1050,450,-1125,-375,525,16.72389,16.03667,3.24512821,3.25948718,-15.9207143,-15.937619,60.07486637,-6.4,-0.2,-0.8
28-03-2025 10:20,0.93378919,-0.700920016,-0.753796686,0.816582712,-0.860848285,-0.865438629,0.687226774,-0.776327629,-0.685124,-7350,6975,-29850,43350,4650,-4950,600,-900,-975,2925,300,75,-9.16032,-8.13651,-3.35027472,-3.33104395,9.0253968,9.0015873,78.66726579,-5.65,-0.2,-0.75
28-03-2025 10:25,0.392290332,-0.828676546,-0.497460576,0.829216265,-0.936812959,-0.75360779,0.852851501,-0.810561863,-0.637523069,-6825,-4125,55275,-75675,-7200,12825,0,1875,375,150,-375,525,24.04682,23.46429,8.23376623,8.21948052,-23.2638889,-23.2652778,72.65556559,-6.45,-0.2,-0.8
28-03-2025 10:30,0.284523386,-0.937043555,-0.315875824,0.702101887,-0.869809805,-0.532867851,0.620951881,-0.801790425,-0.502787736,12000,-56100,53100,-183750,-17250,21675,375,-1500,-825,-975,-75,-375,71.12756,72.9109,25.52083334,25.575,-47.4753846,-47.51,61.86391501,-5.95,-0.25,-0.75
28-03-2025 10:35,0.632144462,-0.551590417,0.070949287,0.750404886,0.085142021,0.235847843,0.121516396,-0.382692381,0.188315102,3975,12375,-4575,93450,17550,10125,-4275,525,600,975,225,1875,0.32235,-0.87008,0.43666666,0.43666667,1.2541025,1.1933333,33.54003107,-6.05,-0.25,-0.55
28-03-2025 10:40,-0.321888085,-0.732910589,0.63240497,0.646078537,-0.816215813,-0.32060962,0.836610925,-0.244698789,0.107570193,20175,9000,-17850,84675,150,9825,600,-225,600,-1575,-75,150,-15.34102,-14.7734,-5.03974359,-5.01057692,6.4192308,6.4961538,51.76652801,-6.35,-0.25,-0.55
28-03-2025 10:45,0.465922355,-0.772547858,-0.413698344,0.815503589,-0.819377103,-0.726031836,0.804920975,-0.871826801,-0.659463099,3825,-6075,47625,-26625,-9000,20325,-375,150,-225,375,675,525,24.79935,26.8552,7.60952381,7.63214286,-15.553125,-15.5526786,70.54768845,-6.65,-0.25,-0.6
28-03-2025 10:50,0.479080827,-0.691440431,-0.133613217,0.372310623,-0.200991473,-0.575179547,0.368892882,-0.241990272,0.560767238,-675,20250,-525,900,12900,6075,675,150,675,600,-150,-150,-14.92083,-14.68542,-5.24532967,-5.26538462,7.6685714,7.5928571,40.26962789,-6.7,-0.25,-0.55
28-03-2025 10:55,0.419101108,-0.645178275,-0.670248688,0.693351914,-0.826301289,-0.375910026,-0.210994577,-0.65595598,0.251602863,-9450,6300,33225,57825,0,9600,-900,300,1275,-750,-525,0,-1.45417,-1.33333,-0.44545455,-0.44962122,0.353125,0.3622159,52.7627191,-6.6,-0.25,-0.55
28-03-2025 11:00,0.082638236,-0.436043946,0.60635818,0.828632353,-0.734540552,-0.474549714,0.741080107,-0.233398253,0.009427385,-3600,6300,-68100,26475,11700,-7275,-225,75,2325,450,375,1275,-7.78958,-9.67292,-5.91858975,-5.92692308,5.9402098,5.9520979,46.07409695,-7.05,-0.25,-0.55
28-03-2025 11:05,0.782318108,-0.248300077,-0.292504385,0.195755446,-0.415249453,0.125848209,-0.587086906,-0.644383665,0.73945117,-13875,675,15075,21825,-16050,-12000,75,-75,-600,1725,75,150,-12.67,-12.425,-5.33461538,-5.35,5.335606,5.3712122,44.78774911,-6.75,-0.25,-0.55
28-03-2025 11:10,0.915347961,-0.920669922,-0.816683465,0.911386877,-0.922324302,-0.811210875,0.937262179,-0.933862715,-0.931007809,-9900,4125,-81900,29250,22725,-27150,-225,-600,-300,0,-600,-150,-28.22083,-30.92222,-9.61383929,-9.64642857,17.185065,17.1194805,89.99729006,-5.95,-0.25,-0.65
28-03-2025 11:15,0.455304094,-0.343466059,-0.604959194,-0.100512766,-0.248927822,0.706118796,0.132555263,0.024844846,0.398598085,10875,-2850,85425,39150,-22050,-1875,-1500,-150,300,-750,75,-300,0.74375,1.4625,-1.17820513,-1.20307692,-1.0133333,-1.0483333,33.50318804,-6.6,-0.2,-0.6
28-03-2025 11:20,0.73800122,-0.43124275,-0.49606166,0.800276973,-0.574102677,-0.784251386,0.484962623,-0.697939213,-0.500732717,-11250,10350,-58725,17475,-8625,75,1500,225,150,-375,225,-450,-3.91091,-5.51273,-1.34285715,-1.35714286,5.5426282,5.4625,61.19523577,-6.75,-0.2,-0.6
28-03-2025 11:25,0.745269322,-0.562003279,-0.671165089,0.544362261,-0.25340917,0.192048676,0.220794417,-0.726966449,0.129529733,-13200,3975,51825,35775,0,5625,-300,-300,-1725,-675,150,0,-2.24875,-4.74,-2.85769231,-2.88076923,1.6079671,1.6236263,44.95053774,-6.75,-0.2,-0.65
