last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
05-05-2025 09:16,24500.5,246450,294300,150.6,4960425,497775,132.4,5406300,184575
05-05-2025 09:16,24497.6,267525,283500,153.05,4936875,507300,131.05,5406600,185625
05-05-2025 09:16,24489.1,265050,325650,148.2,4955025,536550,133.55,5403225,201750
05-05-2025 09:16,24490.6,268200,322350,144.7,4948650,546900,135.5,5412975,195600
05-05-2025 09:16,24490.7,281325,288300,151.1,4988850,545850,135.1,5425125,203400
05-05-2025 09:16,24495.9,290850,312375,149.65,5026125,551100,132.35,5427300,219075
05-05-2025 09:17,24499.3,291300,304650,152.7,5059575,576450,137.9,5404575,226575
05-05-2025 09:17,24493.4,295425,314625,154.25,5081250,593550,135.9,5423550,194250
05-05-2025 09:17,24505,302025,314850,157.7,5112975,606975,130.55,5426100,219075
05-05-2025 09:17,24505,300525,308100,155.65,5128950,620775,128.45,5409150,219975
05-05-2025 09:17,24508.3,298200,302700,159.5,5135700,637200,125.75,5408250,238350
05-05-2025 09:17,24513,299250,305700,158.55,5147325,643350,126.8,5415300,231450
05-05-2025 09:18,24506.1,280875,295875,153.6,5133750,673650,132.85,5452050,238950
05-05-2025 09:18,24498.7,284400,305325,152.05,5105550,707625,133.15,5469900,244950
05-05-2025 09:18,24493.9,245100,310275,150.25,5505525,718500,133.8,5813025,249675
05-05-2025 09:18,24501.4,306450,315600,153.9,5541075,727575,128.85,5793750,257925
05-05-2025 09:18,24504.1,310125,327525,154.1,5554275,733800,128.55,5790450,279150
05-05-2025 09:18,24511,313950,321525,157.55,5593800,749475,123,5800950,287625
05-05-2025 09:19,24511.8,297300,314775,157.6,5628300,750450,125.1,5770725,296400
05-05-2025 09:19,24514.5,313200,314325,159.8,5640300,763500,121.7,5784900,314325
05-05-2025 09:19,24515,320925,310875,159.25,5668725,758925,123.9,5784300,323550
05-05-2025 09:19,24504,312150,328350,153.35,5644650,796650,128.75,5822475,322650
05-05-2025 09:19,24507.7,321675,332250,156.75,5635125,808950,125.2,5840625,329850
05-05-2025 09:19,24503.5,327000,332400,153.85,5638125,827175,126.95,5855250,345150
05-05-2025 09:20,24505.9,325350,335700,154.75,4688625,836250,125.2,3918300,378825
05-05-2025 09:20,24504.8,322050,331200,153.05,2625975,858750,127.5,3937050,392025
05-05-2025 09:20,24507,329700,335325,155.3,2624175,875475,124.15,3948225,403800
05-05-2025 09:20,24510.1,328425,329550,157.95,2639625,877725,121.35,3942675,417075
05-05-2025 09:20,24510.5,328800,330675,157.75,2647875,890775,124.35,3962100,419325
05-05-2025 09:20,24513,324300,328500,157.45,2646975,904650,122.25,3971175,435975
05-05-2025 09:21,24511.3,327000,326925,155.75,2722200,906525,122.8,3958350,445575
05-05-2025 09:21,24514,337350,331725,157.8,2758275,915675,121.45,3997725,467775
05-05-2025 09:21,24503.1,327750,342975,150.25,2766900,930000,126.95,3997650,465525
05-05-2025 09:21,24492.8,319725,338700,148.1,2648325,941850,132.25,4019325,432300
05-05-2025 09:21,24487.2,310875,355575,144.8,2591475,962550,138.45,4050000,354300
05-05-2025 09:21,24480,314250,355125,144.8,2551575,953625,136.65,4065450,295800
05-05-2025 09:22,24490.8,326625,352500,146.9,2571150,955275,134.45,4071525,334200
05-05-2025 09:22,24498.1,327900,337125,149.5,2603625,926325,129,4025700,364500
05-05-2025 09:22,24508.9,330000,332100,152.35,2628000,959025,123.2,3990150,380925
05-05-2025 09:22,24506.3,327600,339375,153.85,2631750,977700,123.4,4009200,391575
05-05-2025 09:22,24510,329775,332175,151.9,2641050,973275,123.8,4006650,414900
05-05-2025 09:22,24509,337350,341850,154.35,2674500,986100,119.45,4026525,425550
05-05-2025 09:23,24507,326625,337500,150.7,2683125,971775,124.05,3899700,435375
05-05-2025 09:23,24495,317550,338625,147.6,2663250,996225,129.95,3942600,438825
05-05-2025 09:23,24496.7,333675,334650,147.4,2654625,1008600,128.5,3954825,458400
05-05-2025 09:23,24497.4,333300,344775,146.9,2683125,1019775,128.35,3963150,491400
05-05-2025 09:23,24493,346950,341025,146.85,2689800,1024725,129.65,3984225,495825
05-05-2025 09:23,24495.6,331800,344550,146.05,2707725,1043475,129.7,4192800,515475
05-05-2025 09:24,24497.4,353250,343050,146.75,2694675,1043475,126.9,4199325,526425
05-05-2025 09:24,24490,330450,342675,142.8,2695950,1048875,130.55,4231575,543075
05-05-2025 09:24,24500.9,346650,333450,149.4,2679675,1049925,124.05,4246125,552375
05-05-2025 09:24,24507.1,346950,341100,151.65,2700675,1030800,120.3,3988800,562050
05-05-2025 09:24,24513.5,342975,335400,157,2718600,1023600,117.3,3950400,567225
05-05-2025 09:24,24509.2,339900,329775,154.2,2727750,984525,121,3938025,582975
05-05-2025 09:25,24515,346425,331950,155.5,2737125,1002300,120,3973650,605475
05-05-2025 09:25,24509.2,345075,333000,153.15,2747925,1003200,121.4,3983625,627450
05-05-2025 09:25,24508.5,339150,333750,150.9,2744550,1027500,124.35,4017900,627600
05-05-2025 09:25,24501,340650,332025,147.1,2708400,1035300,127.85,4026675,623850
05-05-2025 09:25,24500,339975,335625,147.6,2725200,1047150,127.6,4033275,638625
05-05-2025 09:25,24500.1,349650,343275,151,2740650,1086450,124.5,4049625,637275
05-05-2025 09:26,24511.1,350175,328800,153.25,2766825,1082250,119.8,4093200,652500
05-05-2025 09:26,24511.2,346800,335700,153.55,2780925,1070850,121.65,4122900,661725
05-05-2025 09:26,24510,348450,333450,155,2792625,1087500,120.25,4147050,680025
05-05-2025 09:26,24532.5,353775,330000,162.8,2832975,1055550,113.4,4061325,684975
05-05-2025 09:26,24529.6,349275,318825,163.8,2850900,848325,114.7,3928500,688575
05-05-2025 09:26,24534,346500,318675,164.35,2875125,885450,112.3,3947100,704775
05-05-2025 09:27,24548.7,364500,301725,174.3,2883075,899700,105.1,3932550,722400
05-05-2025 09:27,24549.6,358425,298575,175.3,2919750,722775,107.95,3820875,748950
05-05-2025 09:27,24551.8,359025,281325,178.75,2933775,759525,106.85,3848325,750075
05-05-2025 09:27,24540,354000,284100,170,2938950,741900,111.3,3888750,750900
05-05-2025 09:27,24541.2,360600,282675,173.25,2822625,765375,111.15,3919350,734400
05-05-2025 09:27,24545.7,355650,287850,173.1,2847450,809250,109.75,3917400,758250
05-05-2025 09:28,24535.1,352950,290550,167.75,2848275,852825,115,3963900,762750
05-05-2025 09:28,24522.8,359175,293475,162.05,2766675,878700,118.6,3996150,719700
05-05-2025 09:28,24521,358200,297900,163.65,2742075,887325,120.2,4017375,711900
05-05-2025 09:28,24515,350550,300825,155.9,2738100,895500,123.2,4018050,692325
05-05-2025 09:28,24520.6,361875,305250,159.2,2708100,878250,121.35,3999300,720525
05-05-2025 09:28,24512.1,362325,308025,156.65,2716800,901950,122.7,3988275,740175
05-05-2025 09:29,24525,360525,295950,161.8,2738700,900225,118.7,3988575,761550
05-05-2025 09:29,24520,362025,299400,158.1,2761350,914700,121.1,3990900,773325
05-05-2025 09:29,24520.3,362025,291300,157.1,2750400,935775,121.75,4002900,766950
05-05-2025 09:29,24522.7,369450,309000,158.85,2789475,929625,121.35,3994500,782325
05-05-2025 09:29,24521.8,371475,309750,160.75,2801025,929325,120.95,3996375,793200
05-05-2025 09:29,24515.1,356625,315000,155.75,2811975,957150,125.35,4011525,792900
05-05-2025 09:30,24502.2,360300,334125,147,2740125,974025,131.4,4022550,724425
05-05-2025 09:30,24514.7,363300,319650,155.75,2673975,974775,125.9,4019025,590175
05-05-2025 09:30,24510.2,364875,381000,154.8,2702250,963075,126.75,4007100,621675
05-05-2025 09:30,24508.4,361275,415950,154.45,2730300,984900,129.6,4049550,628650
05-05-2025 09:30,24525,369675,415950,164.35,2764725,987975,119.9,4048125,653250
