last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
07-05-2025 09:15,5.5,4.3,4,138975,-1349.1,49200,35850,N,95700,N,38.47,24438.1,24439.1,10,9.1,8.9,13425,-129,42825,396975,N,200775,N,20.17,0.5,0.9,0.85,-35175,-80.3,43575,1064475,N,192075,N,-9.8,155.4,127.6,144,-39420,-3674.2,15450,-1410,N,32730,N,211.89
07-05-2025 09:20,-3.5,-0.9,-5.5,-21600,-1862.8,61650,170625,Y,240000,YES,7.2,24435.2,24431.7,-5.5,-5.8,-5.8,65550,-164.2,55650,168450,N,149850,N,2.42,-3.05,-2.85,-2.8,582450,-102.3,58725,207825,N,500100,Y,-1.46,0,-2,-10,-7110,-5579.8,21960,10530,N,17520,N,50.56
07-05-2025 09:25,70.3,66.2,67.4,-123225,-1824.5,65400,37725,N,-121650,Y,15.33,24431.7,24503.9,39.8,38.9,39,-72000,-191.15,56100,-43875,YES,-207675,Y,9.48,-16.75,-16.7,-16.75,602100,-87.2,67650,-251175,Y,401925,N,-5.22,117.4,115.8,129.2,-12540,-4379,18510,6930,N,7890,N,45.78
07-05-2025 09:30,29.8,26.1,30,-48150,-1737.8,58950,-62175,YES,-39600,YES,13.97,24505.6,24535.4,26.5,26.6,26.85,-2475,-226.15,58875,-63525,YES,-63375,YES,7.05,-3.7,-3.65,-3.65,51675,-81.25,68325,-7725,YES,179025,N,-2.94,68.6,48.8,55,2460,-4398.6,19050,4320,N,22140,N,30.77
07-05-2025 09:35,-37.2,-39.6,-36.9,15975,-1684.1,56175,70275,Y,-65550,Y,6.97,24535.1,24492.3,-29.6,-29.35,-29.25,-26175,-223.35,55425,-160050,YES,85500,YES,3.76,8.9,8.85,8.8,-104100,-80.1,74250,95250,YES,-207675,YES,-1.59,-146,-143,-129.2,21720,-4484.4,16020,7020,N,8460,N,13.82
07-05-2025 09:40,-2.3,-0.6,-5.3,41475,-1534.6,49200,61500,N,33900,YES,1.74,24492.3,24490,-4.35,-3.75,-3.95,19350,-203.5,64500,61425,Y,80625,N,1.4,-2.2,-2.4,-2.4,9525,-86.45,75900,105075,N,269475,Y,-1.02,23.4,42,35.8,-13620,-4129.4,13860,-8820,YES,6150,N,4.67
07-05-2025 09:45,-38.1,-41.1,-44.7,123600,-1443.1,48300,8175,N,-39450,Y,-1.25,24486.1,24446.9,-34.7,-34.5,-34.55,-34425,-163.7,53775,53625,N,7125,N,-1.85,4.8,4.75,4.7,-160125,-94,66300,-83250,Y,-198975,YES,0.05,-110.4,-119.6,-116,2130,-4669.6,19890,-2070,N,-420,Y,-0.04
07-05-2025 09:50,-23.3,-26.4,-23.6,888750,-1419.5,50100,11775,N,3525,YES,-2.66,24447.2,24425.1,-20.25,-20.3,-20.2,-28425,-134.9,55875,109500,Y,210150,YES,-2.96,8,8.2,8.15,-3000,-97.1,66525,606375,YES,37050,Y,0.43,-50,-59,-54,-8130,-4749.6,20520,-480,N,16110,N,-1.28
07-05-2025 09:55,26.4,23.4,28.4,24450,-1815.2,46050,12525,N,38325,YES,-0.3,24425.1,24451.5,11,10.95,10.95,-46050,-135.15,57450,68700,N,28725,N,-2.38,-12.35,-12.95,-12.95,-66750,-84.55,67950,-463125,Y,316050,Y,-0.75,82.4,92,85.2,-10680,-5991.4,18060,3870,N,-3060,Y,1.63
07-05-2025 10:00,-4.7,-4.9,-4,74025,-1600.6,48450,-54600,YES,21600,N,-0.41,24443.3,24440.2,-2.5,-1.55,-1.45,7725,-135.7,58650,180525,Y,63675,YES,-1.82,-0.35,-0.4,-0.4,-48375,-83.5,66375,195150,YES,264075,N,-0.53,-67.2,-71,-81,-8760,-5578.2,17910,-1470,YES,24120,YES,-1.04
