ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
157.0,7543650,2025-05-12 09:16:15,1747021575,225,300,157.05,157.45,75,3883875,247125,138.7,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,113.1,257.631
155.7,7550625,2025-05-12 09:16:15,1747021576,75,75,155.3,155.5,75,3879300,249825,138.72,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,111.8,254.6697
155.6,7636425,2025-05-12 09:16:17,1747021577,150,75,154.25,154.55,75,3880950,258825,138.91,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,111.7,254.4419
159.65,7730475,2025-05-12 09:16:19,1747021579,525,225,159.2,159.7,75,4017150,249525,139.14,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,115.75,263.6674
159.95,7730475,2025-05-12 09:16:19,1747021579,525,225,159.2,159.7,75,4017150,249525,139.14,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,116.05,264.3508
160.3,7730475,2025-05-12 09:16:19,1747021579,525,225,159.2,159.7,150,4017150,249525,139.14,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,116.4,265.1481
162.0,7825425,2025-05-12 09:16:20,1747021581,75,150,161.35,161.75,300,4024725,250425,139.4,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,118.1,269.0205
160.55,7918500,2025-05-12 09:16:22,1747021582,75,225,160.1,160.5,150,4029075,265875,139.66,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,116.65,265.7175
160.8,7926225,2025-05-12 09:16:22,1747021583,225,150,159.3,159.55,75,4019775,271200,139.68,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,116.9,266.287
160.9,8040525,2025-05-12 09:16:24,1747021584,300,75,160.5,161.0,75,4004250,272550,139.96,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,117.0,266.5148
161.4,8040525,2025-05-12 09:16:24,1747021584,300,75,160.5,161.0,75,4004250,272550,139.96,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,117.5,267.6538
160.25,8143800,2025-05-12 09:16:25,1747021585,150,375,160.05,160.45,375,3991575,282375,140.23,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,116.35,265.0342
160.3,8143800,2025-05-12 09:16:25,1747021586,150,375,160.05,160.45,225,3991575,282375,140.23,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,116.4,265.1481
160.65,8209650,2025-05-12 09:16:27,1747021587,450,150,160.15,160.5,75,3988425,307500,140.39,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,116.75,265.9453
161.95,8209650,2025-05-12 09:16:27,1747021587,450,150,160.15,160.5,75,3988425,307500,140.39,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,118.05,268.9066
160.3,8209650,2025-05-12 09:16:27,1747021588,450,150,160.15,160.5,150,3988425,307500,140.39,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,116.4,265.1481
160.05,8327100,2025-05-12 09:16:29,1747021589,150,150,160.1,160.4,75,3980400,291900,140.68,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,116.15,264.5786
160.35,8327100,2025-05-12 09:16:29,1747021590,150,150,160.1,160.4,75,3980400,291900,140.68,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,116.45,265.262
160.2,8419050,2025-05-12 09:16:30,1747021590,150,75,160.75,160.95,150,3982575,296100,140.89,108.0,170.0,0,0,128.0,43.9,sf,NSE:NIFTY2551524500CE,116.3,264.9203
