last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
15-05-2025 09:15,-22,-21.2,-22.3,43425,-1024.8,25875,73800,N,3000,N,-15.63,24716,24700.6,-1.3,-1.5,-1.4,-36150,-55.45,32475,5840400,N,278550,N,-10.14,15.7,13.65,13.65,25425,-56.9,30525,2332050,N,238800,N,10.28
15-05-2025 09:20,2.4,4,1,240750,-1608.8,43200,78000,N,25350,YES,-10.58,24697.6,24698.8,-2.65,-0.9,-1,-123450,-89.95,59925,4218525,N,544950,YES,-6.08,-0.55,-0.45,-0.5,-20475,-97.05,49800,-53100,Y,437775,Y,7.03
15-05-2025 09:25,-11.1,-5.8,-1.8,198150,-1740.7,47100,29475,N,-3675,Y,-0.36,24698.8,24687.1,-10.3,-10.5,-10.55,10725,-88.25,53925,-10275,YES,733050,YES,-2.76,-6.5,-5.65,-5.75,11925,-86.05,47850,608550,YES,492000,Y,-1.14
15-05-2025 09:30,-10.9,-6.3,-8.8,277800,-1705.8,48300,10275,N,37425,YES,-1.66,24693,24677.6,-12.4,-11.4,-11.4,-15375,-76.15,56475,590550,Y,579900,N,-4.28,4.5,2.4,2.35,12075,-80.55,48825,362025,N,220275,N,-1.37
15-05-2025 09:35,-21.3,-23,-21.7,440025,-1249.6,43500,72450,Y,19425,N,-8.49,24676.8,24655.4,-6.15,-6.2,-6.25,69300,-72.15,76425,151500,N,548850,N,-4.79,18.35,18.35,18.35,2625,-124.2,57075,-469725,Y,-466350,YES,4.6
15-05-2025 09:40,-14.2,-12.7,-11.1,643350,-1731,45075,-39150,YES,57075,YES,-6.74,24655.4,24640,-2.35,-2,-2.05,-6900,-64.45,85200,-408750,YES,199200,N,-3.8,16.2,16.3,16.3,-37650,-136.8,54450,-369525,YES,-504225,YES,3.75
15-05-2025 09:45,11.6,5.7,7.4,427050,-1403.6,43500,-80550,YES,97125,YES,-12.76,24635.8,24641,8.8,8.85,8.9,-68100,-64.5,76050,299700,Y,-446700,Y,-3.54,3.9,3.9,3.9,19650,-167.3,54975,-604650,Y,-6600,Y,6.21
15-05-2025 09:50,11,7,8.6,89625,-1369.6,39075,975,Y,27300,N,-0.72,24641,24648.2,7.95,8,8,138375,-77.15,69225,-57600,YES,-714300,Y,0.09,-1.75,-2.55,-2.5,-15825,-153.3,57000,-87675,YES,74925,Y,1.72
15-05-2025 09:55,3.2,4.1,4,17475,-1381.9,36450,11325,N,42375,N,-0.48,24648.2,24654.9,5.85,6.15,6.15,-1725,-91.25,69525,539250,Y,14700,YES,0.29,-0.65,0.1,0.1,-5400,-149.95,52200,-34875,YES,-14325,YES,1.45
15-05-2025 10:00,-15.4,-19.4,-17.7,-14100,-1299.1,37200,16425,N,-4350,Y,-0.59,24651.4,24635,-16.15,-16.2,-16.15,64200,-80.25,72450,-334275,YES,515100,YES,-0.34,3.95,4.65,4.6,-53700,-157.15,56700,148500,YES,92250,Y,1.2
