ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
55.7,12125175,2025-05-15 09:17:11,1747280832,1050,375,56.75,56.95,75,39525300,557850,56.55,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-20.14,-26.5559
56.95,12222675,2025-05-15 09:17:12,1747280832,225,300,56.9,57.05,150,39703050,565650,56.55,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-18.89,-24.9077
58.05,12222675,2025-05-15 09:17:12,1747280833,225,300,56.9,57.05,75,39703050,565650,56.55,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-17.79,-23.4573
57.4,12316050,2025-05-15 09:17:14,1747280834,1200,1650,57.55,57.8,150,39791025,563625,56.56,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-18.44,-24.3143
59.35,12316050,2025-05-15 09:17:14,1747280835,1200,1650,57.55,57.8,75,39791025,563625,56.56,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-16.49,-21.7431
58.6,12423150,2025-05-15 09:17:16,1747280836,150,1350,58.4,58.6,150,39801750,574275,56.58,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-17.24,-22.7321
58.6,12428625,2025-05-15 09:17:16,1747280836,1800,225,58.0,58.1,75,39802350,574425,56.58,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-17.24,-22.7321
59.35,12428625,2025-05-15 09:17:16,1747280836,1800,225,58.0,58.1,75,39802350,574425,56.58,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-16.49,-21.7431
57.8,12520200,2025-05-15 09:17:17,1747280837,1425,525,57.6,57.8,75,39818925,586125,56.59,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-18.04,-23.7869
57.7,12520200,2025-05-15 09:17:17,1747280838,1425,525,57.6,57.8,75,39818925,586125,56.59,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-18.14,-23.9188
57.3,12520200,2025-05-15 09:17:17,1747280838,1425,525,57.6,57.8,75,39818925,586125,56.59,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-18.54,-24.4462
59.35,12596775,2025-05-15 09:17:19,1747280839,1650,375,59.2,59.45,75,39856875,590025,56.6,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-16.49,-21.7431
58.75,12597975,2025-05-15 09:17:19,1747280839,1200,1125,59.25,59.5,75,39859800,590250,56.6,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-17.09,-22.5343
59.5,12597975,2025-05-15 09:17:19,1747280840,1200,1125,59.25,59.5,75,39859800,590250,56.6,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-16.34,-21.5454
62.3,12721200,2025-05-15 09:17:21,1747280841,825,1275,61.05,61.3,75,39918600,577800,56.63,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-13.54,-17.8534
61.9,12721200,2025-05-15 09:17:21,1747280841,825,1275,61.05,61.3,75,39918600,577800,56.63,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-13.94,-18.3808
63.95,12842025,2025-05-15 09:17:22,1747280842,1425,1050,63.6,63.9,75,39950475,565575,56.69,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-11.89,-15.6777
64.0,12852300,2025-05-15 09:17:22,1747280842,600,225,63.85,64.0,300,39956400,561150,56.7,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-11.84,-15.6118
64.1,12852300,2025-05-15 09:17:22,1747280843,600,225,63.85,64.0,75,39956400,561150,56.7,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-11.74,-15.48
63.9,13083000,2025-05-15 09:17:24,1747280844,225,1500,64.0,64.2,75,39963825,510225,56.83,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-11.94,-15.7437
63.2,13083000,2025-05-15 09:17:24,1747280844,225,1500,64.0,64.2,75,39963825,510225,56.83,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-12.64,-16.6667
62.8,13083000,2025-05-15 09:17:24,1747280845,225,1500,64.0,64.2,375,39963825,510225,56.83,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-13.04,-17.1941
65.3,13253625,2025-05-15 09:17:26,1747280846,600,300,65.0,65.15,300,40002675,499575,56.92,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-10.54,-13.8977
64.6,13253625,2025-05-15 09:17:26,1747280846,600,300,65.0,65.15,75,40002675,499575,56.92,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-11.24,-14.8207
64.05,13253625,2025-05-15 09:17:26,1747280847,600,300,65.0,65.15,75,40002675,499575,56.92,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-11.79,-15.5459
63.8,13413150,2025-05-15 09:17:27,1747280847,225,75,63.7,63.85,75,40006875,520500,57.01,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-12.04,-15.8755
62.9,13413150,2025-05-15 09:17:27,1747280848,225,75,63.7,63.85,75,40006875,520500,57.01,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-12.94,-17.0622
63.35,13413150,2025-05-15 09:17:27,1747280848,225,75,63.7,63.85,150,40006875,520500,57.01,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-12.49,-16.4689
61.4,13540875,2025-05-15 09:17:29,1747280849,75,1050,61.5,61.65,75,40009350,539925,57.06,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-14.44,-19.0401
61.2,13540875,2025-05-15 09:17:29,1747280849,75,1050,61.5,61.65,75,40009350,539925,57.06,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-14.64,-19.3038
61.2,13540875,2025-05-15 09:17:29,1747280850,75,1050,61.5,61.65,75,40009350,539925,57.06,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-14.64,-19.3038
62.3,13540875,2025-05-15 09:17:29,1747280850,75,1050,61.5,61.65,75,40009350,539925,57.06,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-13.54,-17.8534
62.6,13652625,2025-05-15 09:17:31,1747280851,150,225,62.55,62.7,75,40038900,540975,57.1,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-13.24,-17.4578
64.65,13771575,2025-05-15 09:17:32,1747280852,675,150,64.45,64.65,75,40056675,532575,57.15,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-11.19,-14.7547
66.5,13771575,2025-05-15 09:17:32,1747280853,675,150,64.45,64.65,75,40056675,532575,57.15,36.6,67.55,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-9.34,-12.3154
67.05,13969125,2025-05-15 09:17:34,1747280854,225,600,67.0,67.2,150,40073175,482100,57.28,36.6,68.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-8.79,-11.5902
66.5,13984500,2025-05-15 09:17:34,1747280854,1125,225,66.85,67.05,75,40079475,483450,57.29,36.6,68.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-9.34,-12.3154
66.25,13984500,2025-05-15 09:17:34,1747280855,1125,225,66.85,67.05,75,40079475,483450,57.29,36.6,68.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-9.59,-12.645
66.65,14185425,2025-05-15 09:17:36,1747280856,450,675,66.45,66.65,225,40096050,498600,57.42,36.6,68.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-9.19,-12.1176
67.6,14185425,2025-05-15 09:17:36,1747280856,450,675,66.45,66.65,75,40096050,498600,57.42,36.6,68.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-8.24,-10.865
67.25,14352300,2025-05-15 09:17:37,1747280857,975,150,67.35,67.5,75,40118475,490350,57.53,36.6,68.25,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-8.59,-11.3265
67.1,14361600,2025-05-15 09:17:37,1747280857,375,1125,67.2,67.4,150,40115025,496350,57.53,36.6,68.25,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-8.74,-11.5243
69.65,14361600,2025-05-15 09:17:37,1747280858,375,1125,67.2,67.4,375,40115025,496350,57.53,36.6,68.25,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-6.19,-8.1619
65.5,14698800,2025-05-15 09:17:39,1747280859,75,1050,66.25,66.45,75,40132800,455925,57.79,36.6,72.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-10.34,-13.634
66.1,14698800,2025-05-15 09:17:39,1747280860,75,1050,66.25,66.45,75,40132800,455925,57.79,36.6,72.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-9.74,-12.8428
67.25,14933400,2025-05-15 09:17:41,1747280861,225,75,67.3,67.45,75,40219575,444225,57.93,36.6,72.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-8.59,-11.3265
68.4,14933400,2025-05-15 09:17:41,1747280861,225,75,67.3,67.45,150,40219575,444225,57.93,36.6,72.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-7.44,-9.8101
67.3,14933400,2025-05-15 09:17:41,1747280862,225,75,67.3,67.45,375,40219575,444225,57.93,36.6,72.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-8.54,-11.2605
67.85,15078975,2025-05-15 09:17:42,1747280862,1425,525,67.7,67.95,75,40263150,444825,58.02,36.6,72.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-7.99,-10.5353
70.65,15078975,2025-05-15 09:17:42,1747280863,1425,525,67.7,67.95,75,40263150,444825,58.02,36.6,72.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-5.19,-6.8434
72.4,15334425,2025-05-15 09:17:44,1747280864,75,75,72.25,72.45,75,40313325,417300,58.23,36.6,74.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-3.44,-4.5359
72.25,15334425,2025-05-15 09:17:44,1747280864,75,75,72.25,72.45,75,40313325,417300,58.23,36.6,74.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-3.59,-4.7336
71.4,15334425,2025-05-15 09:17:44,1747280865,75,75,72.25,72.45,75,40313325,417300,58.23,36.6,74.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-4.44,-5.8544
70.85,15334425,2025-05-15 09:17:44,1747280865,75,75,72.25,72.45,75,40313325,417300,58.23,36.6,74.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-4.99,-6.5796
71.65,15624525,2025-05-15 09:17:46,1747280866,75,675,71.6,71.8,75,40342875,428850,58.48,36.6,74.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-4.19,-5.5248
73.0,15624525,2025-05-15 09:17:46,1747280866,75,675,71.6,71.8,75,40342875,428850,58.48,36.6,74.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-2.84,-3.7447
71.6,15624525,2025-05-15 09:17:46,1747280867,75,675,71.6,71.8,75,40342875,428850,58.48,36.6,74.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-4.24,-5.5907
76.0,15947700,2025-05-15 09:17:47,1747280867,225,4875,75.75,76.0,75,40403925,363825,58.77,36.6,76.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,0.16,0.211
75.45,15947700,2025-05-15 09:17:47,1747280868,225,4875,75.75,76.0,150,40403925,363825,58.77,36.6,76.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.39,-0.5142
76.25,16274100,2025-05-15 09:17:49,1747280869,1050,150,75.6,75.85,75,40455900,374850,59.1,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,0.41,0.5406
74.45,16274100,2025-05-15 09:17:49,1747280870,1050,150,75.6,75.85,75,40455900,374850,59.1,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.39,-1.8328
75.4,16549275,2025-05-15 09:17:51,1747280871,225,600,75.4,75.6,75,40533225,391275,59.38,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.44,-0.5802
74.05,16549275,2025-05-15 09:17:51,1747280871,225,600,75.4,75.6,75,40533225,391275,59.38,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.79,-2.3602
73.6,16549275,2025-05-15 09:17:51,1747280871,225,600,75.4,75.6,75,40533225,391275,59.38,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-2.24,-2.9536
75.35,16755900,2025-05-15 09:17:52,1747280872,225,525,75.35,75.6,150,40594350,400950,59.56,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.49,-0.6461
75.15,16763700,2025-05-15 09:17:52,1747280872,525,225,74.9,75.15,75,40592325,404100,59.57,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.69,-0.9098
75.6,16763700,2025-05-15 09:17:52,1747280873,525,225,74.9,75.15,75,40592325,404100,59.57,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.24,-0.3165
74.9,16763700,2025-05-15 09:17:52,1747280873,525,225,74.9,75.15,75,40592325,404100,59.57,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.94,-1.2395
73.2,16966725,2025-05-15 09:17:54,1747280874,150,1125,72.85,73.05,150,40590375,420150,59.74,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-2.64,-3.481
74.1,16982025,2025-05-15 09:17:54,1747280874,1050,750,72.8,73.05,150,40594050,417825,59.76,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.74,-2.2943
73.2,16982025,2025-05-15 09:17:54,1747280875,1050,750,72.8,73.05,75,40594050,417825,59.76,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-2.64,-3.481
74.75,17180700,2025-05-15 09:17:56,1747280876,2025,75,75.0,75.1,75,40597725,417000,59.93,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.09,-1.4372
75.05,17180700,2025-05-15 09:17:56,1747280876,2025,75,75.0,75.1,75,40597725,417000,59.93,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.79,-1.0417
75.8,17342250,2025-05-15 09:17:57,1747280877,1125,75,75.6,75.8,75,40627575,416925,60.08,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.04,-0.0527
75.9,17352075,2025-05-15 09:17:57,1747280877,225,375,75.75,75.95,75,40627800,421575,60.09,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,0.06,0.0791
74.65,17352075,2025-05-15 09:17:57,1747280878,225,375,75.75,75.95,75,40627800,421575,60.09,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.19,-1.5691
73.45,17559300,2025-05-15 09:17:59,1747280879,225,975,73.0,73.3,75,40611375,437550,60.26,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-2.39,-3.1514
73.45,17559300,2025-05-15 09:17:59,1747280880,225,975,73.0,73.3,75,40611375,437550,60.26,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-2.39,-3.1514
74.4,17559300,2025-05-15 09:17:59,1747280880,225,975,73.0,73.3,75,40611375,437550,60.26,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.44,-1.8987
75.3,17559300,2025-05-15 09:17:59,1747280880,225,975,73.0,73.3,75,40611375,437550,60.26,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.54,-0.712
73.95,17827725,2025-05-15 09:18:01,1747280881,300,300,73.8,74.0,75,40609275,445275,60.45,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.89,-2.4921
74.45,17827725,2025-05-15 09:18:01,1747280881,300,300,73.8,74.0,75,40609275,445275,60.45,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.39,-1.8328
73.2,17827725,2025-05-15 09:18:01,1747280881,300,300,73.8,74.0,75,40609275,445275,60.45,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-2.64,-3.481
70.4,17827725,2025-05-15 09:18:01,1747280882,300,300,73.8,74.0,75,40609275,445275,60.45,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-5.44,-7.173
70.1,18048075,2025-05-15 09:18:02,1747280882,75,975,70.15,70.2,75,40551375,470400,60.6,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-5.74,-7.5686
70.9,18048075,2025-05-15 09:18:02,1747280883,75,975,70.15,70.2,75,40551375,470400,60.6,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-4.94,-6.5137
71.5,18048075,2025-05-15 09:18:02,1747280883,75,975,70.15,70.2,75,40551375,470400,60.6,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-4.34,-5.7226
71.35,18348225,2025-05-15 09:18:04,1747280884,375,825,71.3,71.55,75,40524000,485250,60.77,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-4.49,-5.9204
72.7,18348225,2025-05-15 09:18:04,1747280885,375,825,71.3,71.55,75,40524000,485250,60.77,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-3.14,-4.1403
74.1,18508800,2025-05-15 09:18:06,1747280886,1050,150,74.2,74.35,75,40547325,466650,60.86,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.74,-2.2943
74.55,18508800,2025-05-15 09:18:06,1747280886,1050,150,74.2,74.35,75,40547325,466650,60.86,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.29,-1.7009
74.2,18660675,2025-05-15 09:18:07,1747280887,1125,300,74.2,74.4,75,40553175,480375,60.97,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.64,-2.1624
75.65,18660675,2025-05-15 09:18:07,1747280888,1125,300,74.2,74.4,75,40553175,480375,60.97,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.19,-0.2505
75.8,18843450,2025-05-15 09:18:09,1747280889,525,900,75.9,76.15,150,40573200,467100,61.11,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.04,-0.0527
75.65,18854625,2025-05-15 09:18:09,1747280889,150,750,75.65,75.8,225,40572750,465375,61.12,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.19,-0.2505
76.4,18854625,2025-05-15 09:18:09,1747280890,150,750,75.65,75.8,75,40572750,465375,61.12,36.6,78.0,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,0.56,0.7384
78.05,19062000,2025-05-15 09:18:11,1747280891,75,300,78.0,78.2,75,40617225,447375,61.29,36.6,78.65,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,2.21,2.914
77.8,19062000,2025-05-15 09:18:11,1747280891,75,300,78.0,78.2,225,40617225,447375,61.29,36.6,78.65,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,1.96,2.5844
76.8,19296450,2025-05-15 09:18:12,1747280892,75,75,76.65,76.8,75,40516950,466200,61.5,36.6,79.7,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,0.96,1.2658
76.5,19307700,2025-05-15 09:18:12,1747280892,150,1425,76.25,76.5,225,40517175,466050,61.5,36.6,79.7,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,0.66,0.8703
74.45,19307700,2025-05-15 09:18:12,1747280893,150,1425,76.25,76.5,75,40517175,466050,61.5,36.6,79.7,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.39,-1.8328
74.3,19529100,2025-05-15 09:18:14,1747280894,450,150,74.25,74.5,75,40494525,473400,61.65,36.6,79.7,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-1.54,-2.0306
74.85,19548900,2025-05-15 09:18:14,1747280894,600,75,74.9,75.1,150,40495200,471675,61.67,36.6,79.7,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,-0.99,-1.3054
77.05,19548900,2025-05-15 09:18:14,1747280895,600,75,74.9,75.1,75,40495200,471675,61.67,36.6,79.7,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,1.21,1.5955
77.45,19693875,2025-05-15 09:18:16,1747280896,675,300,77.25,77.45,75,40509900,466875,61.78,36.6,79.7,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,1.61,2.1229
78.55,19693875,2025-05-15 09:18:16,1747280896,675,300,77.25,77.45,150,40509900,466875,61.78,36.6,79.7,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,2.71,3.5733
78.3,19693875,2025-05-15 09:18:16,1747280897,675,300,77.25,77.45,75,40509900,466875,61.78,36.6,79.7,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,2.46,3.2437
78.5,19863525,2025-05-15 09:18:17,1747280897,600,300,78.3,78.55,150,40540350,477900,61.92,36.6,79.7,0,0,0.0,75.84,sf,NSE:NIFTY2551524600PE,2.66,3.5074
