ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
24716.0,111675,2025-05-15 09:16:48,1747280810,2250,300,24715.0,24721.3,150,214875,373125,24722.48,24702.0,0.0,0,0,0.0,24715.9,sf,NSE:NIFTY25MAYFUT,0.1,0.0004
24715.2,112050,2025-05-15 09:16:50,1747280810,2250,375,24715.0,24719.3,75,211050,385350,24722.46,24702.0,0.0,0,0,0.0,24715.9,sf,NSE:NIFTY25MAYFUT,-0.7,-0.0028
24718.9,112050,2025-05-15 09:16:50,1747280811,2250,375,24715.0,24719.3,150,211050,385350,24722.46,24702.0,0.0,0,0,0.0,24715.9,sf,NSE:NIFTY25MAYFUT,3.0,0.0121
24715.0,112050,2025-05-15 09:16:50,1747280812,2250,375,24715.0,24719.3,75,211050,385350,24722.46,24702.0,0.0,0,0,0.0,24715.9,sf,NSE:NIFTY25MAYFUT,-0.9,-0.0036
24717.4,112050,2025-05-15 09:16:50,1747280812,2250,375,24715.0,24719.3,75,211050,385350,24722.46,24702.0,0.0,0,0,0.0,24715.9,sf,NSE:NIFTY25MAYFUT,1.5,0.0061
24717.4,114450,2025-05-15 09:16:52,1747280812,150,150,24715.0,24717.4,75,259275,359250,24722.31,24702.0,0.0,0,0,0.0,24715.9,sf,NSE:NIFTY25MAYFUT,1.5,0.0061
24715.0,114450,2025-05-15 09:16:52,1747280813,150,150,24715.0,24717.4,75,259275,359250,24722.31,24702.0,0.0,0,0,0.0,24715.9,sf,NSE:NIFTY25MAYFUT,-0.9,-0.0036
24712.3,115425,2025-05-15 09:16:54,1747280814,75,300,24711.0,24713.4,75,197925,377925,24722.24,24702.0,0.0,0,0,0.0,24715.9,sf,NSE:NIFTY25MAYFUT,-3.6,-0.0146
24708.0,115425,2025-05-15 09:16:54,1747280815,75,300,24711.0,24713.4,75,197925,377925,24722.24,24702.0,0.0,0,0,0.0,24715.9,sf,NSE:NIFTY25MAYFUT,-7.9,-0.032
24709.0,117000,2025-05-15 09:16:55,1747280815,600,300,24706.8,24710.9,150,248625,373200,24722.07,24702.0,0.0,0,0,0.0,24715.9,sf,NSE:NIFTY25MAYFUT,-6.9,-0.0279
24705.3,117600,2025-05-15 09:16:55,1747280816,1125,750,24705.0,24709.0,75,254550,383925,24722.01,24702.0,0.0,0,0,0.0,24715.9,sf,NSE:NIFTY25MAYFUT,-10.6,-0.0429
24705.0,118125,2025-05-15 09:16:57,1747280817,75,300,24706.8,24708.8,75,249900,383550,24721.95,24702.0,0.0,0,0,0.0,24715.9,sf,NSE:NIFTY25MAYFUT,-10.9,-0.0441
