ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
236.1,17495775,2025-05-26 09:23:08,1748231588,750,225,235.6,236.2,75,2752350,637350,223.06,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,90.05,61.657
238.65,17515800,2025-05-26 09:23:08,1748231590,225,375,238.35,238.55,75,2768775,628125,223.06,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,92.6,63.4029
239.55,17515800,2025-05-26 09:23:08,1748231590,225,375,238.35,238.55,75,2768775,628125,223.06,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.5,64.0192
238.85,17515800,2025-05-26 09:23:08,1748231591,225,375,238.35,238.55,75,2768775,628125,223.06,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,92.8,63.5399
238.25,17531175,2025-05-26 09:23:11,1748231592,750,1125,237.4,237.9,75,2762700,638475,223.09,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,92.2,63.1291
237.95,17532000,2025-05-26 09:23:12,1748231592,675,225,237.6,238.0,75,2767800,634050,223.09,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,91.9,62.9237
238.1,17532000,2025-05-26 09:23:12,1748231592,675,225,237.6,238.0,75,2767800,634050,223.09,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,92.05,63.0264
237.5,17551950,2025-05-26 09:23:12,1748231593,675,450,237.3,237.75,75,2777400,646200,223.09,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,91.45,62.6155
238.2,17551950,2025-05-26 09:23:12,1748231594,675,450,237.3,237.75,75,2777400,646200,223.09,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,92.15,63.0948
237.75,17551950,2025-05-26 09:23:12,1748231594,675,450,237.3,237.75,75,2777400,646200,223.09,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,91.7,62.7867
237.55,17564550,2025-05-26 09:23:15,1748231595,300,1425,237.0,237.5,75,2788500,641625,223.12,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,91.5,62.6498
237.9,17564550,2025-05-26 09:23:15,1748231595,300,1425,237.0,237.5,75,2788500,641625,223.12,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,91.85,62.8894
237.9,17582025,2025-05-26 09:23:15,1748231597,300,825,238.1,237.5,75,2793600,643425,223.12,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,91.85,62.8894
239.4,17582025,2025-05-26 09:23:15,1748231597,300,825,238.1,237.5,75,2793600,643425,223.12,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.35,63.9165
241.05,17604600,2025-05-26 09:23:18,1748231598,1050,600,240.6,241.1,75,2798625,633075,223.15,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,95.0,65.0462
239.6,17604600,2025-05-26 09:23:18,1748231599,1050,600,240.6,241.1,75,2798625,633075,223.15,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.55,64.0534
238.6,17627400,2025-05-26 09:23:20,1748231600,150,75,238.15,238.6,75,2798100,650850,223.18,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,92.55,63.3687
237.9,17627400,2025-05-26 09:23:20,1748231600,150,75,238.15,238.6,75,2798100,650850,223.18,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,91.85,62.8894
239.35,17627400,2025-05-26 09:23:20,1748231601,150,75,238.15,238.6,75,2798100,650850,223.18,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.3,63.8822
239.75,17648850,2025-05-26 09:23:22,1748231602,375,750,239.3,239.8,75,2774400,648750,223.19,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.7,64.1561
239.3,17662500,2025-05-26 09:23:23,1748231603,75,225,239.25,239.75,75,2770200,653400,223.21,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.25,63.848
239.15,17662500,2025-05-26 09:23:23,1748231603,75,225,239.25,239.75,150,2770200,653400,223.21,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.1,63.7453
239.75,17662500,2025-05-26 09:23:23,1748231604,75,225,239.25,239.75,75,2770200,653400,223.21,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.7,64.1561
240.3,17662500,2025-05-26 09:23:23,1748231604,75,225,239.25,239.75,75,2770200,653400,223.21,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,94.25,64.5327
241.0,17688000,2025-05-26 09:23:25,1748231605,450,300,240.55,241.1,75,2781075,654150,223.23,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,94.95,65.012
240.35,17688000,2025-05-26 09:23:25,1748231605,450,300,240.55,241.1,150,2781075,654150,223.23,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,94.3,64.5669
240.1,17705475,2025-05-26 09:23:27,1748231607,525,300,240.1,240.6,75,2787525,656175,223.25,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,94.05,64.3958
238.7,17722350,2025-05-26 09:23:28,1748231609,375,300,239.3,239.65,75,2779875,656775,223.26,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,92.65,63.4372
239.95,17744025,2025-05-26 09:23:30,1748231610,75,600,240.05,240.35,450,2788575,654300,223.28,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.9,64.2931
239.6,17746575,2025-05-26 09:23:30,1748231610,75,675,239.3,239.7,150,2779200,661125,223.29,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.55,64.0534
240.0,17746575,2025-05-26 09:23:30,1748231611,75,675,239.3,239.7,225,2779200,661125,223.29,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.95,64.3273
239.65,17760375,2025-05-26 09:23:30,1748231612,75,975,239.3,239.65,225,2786025,672450,223.29,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.6,64.0876
239.5,17760375,2025-05-26 09:23:30,1748231612,75,975,239.3,239.65,225,2786025,672450,223.29,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.45,63.9849
239.8,17760375,2025-05-26 09:23:30,1748231612,75,975,239.3,239.65,150,2786025,672450,223.29,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.75,64.1903
239.4,17769375,2025-05-26 09:23:33,1748231613,450,225,239.15,239.6,150,2785050,671325,223.31,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.35,63.9165
239.65,17769375,2025-05-26 09:23:33,1748231613,450,225,239.15,239.6,150,2785050,671325,223.31,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.6,64.0876
238.95,17769375,2025-05-26 09:23:33,1748231614,450,225,239.15,239.6,150,2785050,671325,223.31,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,92.9,63.6084
240.15,17782275,2025-05-26 09:23:35,1748231615,450,75,240.25,240.5,150,2800650,664050,223.32,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,94.1,64.43
240.25,17782275,2025-05-26 09:23:35,1748231615,450,75,240.25,240.5,150,2800650,664050,223.32,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,94.2,64.4985
239.9,17782275,2025-05-26 09:23:35,1748231616,450,75,240.25,240.5,150,2800650,664050,223.32,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.85,64.2588
240.35,17782275,2025-05-26 09:23:35,1748231617,450,75,240.25,240.5,75,2800650,664050,223.32,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,94.3,64.5669
239.8,17805900,2025-05-26 09:23:38,1748231618,375,450,239.8,240.25,75,2798325,677625,223.34,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.75,64.1903
240.0,17805900,2025-05-26 09:23:38,1748231618,375,450,239.8,240.25,75,2798325,677625,223.34,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.95,64.3273
239.9,17805900,2025-05-26 09:23:38,1748231619,375,450,239.8,240.25,75,2798325,677625,223.34,140.0,248.2,0,0,144.9,146.05,sf,NSE:NIFTY25MAY25000CE,93.85,64.2588
