last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
29-05-2025 09:15,-9.8,-9.9,-17.4,32850,-886.3,45900,-8625,N,76800,N,22.3,24864.8,24855,-44.1,-41.75,-42.2,32025,-80.25,51000,17651400,N,1016850,N,-12.91,-34.55,-33.5,-33.8,27000,-82.1,48675,16498650,N,301500,N,-35,-53.8,-51.2,-63.2,6720,-2587.6,18660,5280,N,27840,N,51.36,55683.8,55630
29-05-2025 09:20,-39.9,-39.9,-43.7,-34500,-1116,48150,-14250,YES,52650,N,-13.36,24850,24810.1,-17.45,-17,-17,-3450,-50.85,53250,958650,N,731625,N,-12.96,34.45,36.3,36.35,-13125,-117.95,54525,454200,N,-90150,YES,5.44,-147.2,-142.6,-136.4,-19470,-2960.8,20520,540,YES,-1050,Y,-55.22,55628,55480.8
29-05-2025 09:25,2.8,1.2,2.7,5475,-994.7,37125,46425,Y,-18900,Y,-8.91,24812.2,24815,-3.1,-3.5,-3.45,59925,-37.35,71550,255825,N,545700,N,-6.19,-13.1,-11.75,-11.7,16800,-125.1,41025,216150,N,185925,Y,3.24,38.8,27.2,22.4,1260,-2943.6,19170,3720,N,4110,N,-21.38,55473.8,55512.6
29-05-2025 09:30,-9.4,-11,-10.4,-25575,-946.1,33975,10125,N,28125,YES,-3.44,24817,24805,-6.6,-6.95,-6.95,208650,-32.2,69075,38700,N,485925,N,-4.07,6.1,4.05,4,49350,-94.35,44325,44625,N,24675,N,0.86,-41.8,-53.8,-60.8,22050,-2879.6,19740,-600,YES,12840,N,-17.59,55512.6,55470.8
29-05-2025 09:35,16.7,10.3,13.9,60825,-1013.5,36150,-20850,YES,1650,Y,-5.08,24805,24820,5.7,5.7,5.65,-49125,-30.4,76425,392925,Y,129075,N,-2.87,-7.25,-6.5,-6.55,23325,-98.7,40500,-126450,Y,-1050,YES,3.11,-88.6,-81.2,-87.8,-10380,-3018,15840,2850,N,-2070,Y,-36.64,55476.8,55388.2
29-05-2025 09:40,1.2,5.9,3.2,151125,-1234.8,38325,28725,Y,525,Y,-1.99,24820,24821.2,3.4,3.3,3.3,142650,-35.35,71925,90825,N,-36900,Y,-1.56,-1.45,-1.15,-1.15,-4575,-101.45,43875,-30675,YES,88050,Y,0.57,39.6,45,32.6,-23310,-3199,18060,870,YES,-1710,N,-11.01,55388.2,55427.8
29-05-2025 09:45,-11,-13.6,-10.2,154800,-1144.7,36450,600,YES,15750,N,-2.52,24821.1,24810.1,-6.1,-6.1,-6.1,111225,-35.15,58725,-152025,YES,314025,YES,-1.12,12.3,11.95,11.95,-1200,-112.6,48225,179700,YES,-59775,YES,0.93,-48.2,-40.4,-39.2,-14580,-2759.4,17520,6840,N,3660,N,-9.94,55427.8,55379.6
29-05-2025 09:50,0.4,4,-2.6,69225,-812.3,31500,12675,N,-29775,Y,-1.73,24805.5,24808.3,3.35,3.85,3.6,-34875,-29.05,64500,521475,Y,202350,N,-0.81,1.8,1.95,1.95,3750,-114.1,46500,-1350,Y,9675,Y,1.03,24.4,5.4,6.2,-6510,-3603.4,19530,2730,YES,-1470,Y,-6.94,55379.6,55404
29-05-2025 09:55,12.8,12.6,11.4,-72600,-1104.7,33825,13125,N,-12300,N,-1.09,24802.2,24814.8,4.5,4.35,4.55,-265800,-38.85,69975,-46575,YES,-462300,Y,-0.64,-8.5,-8.35,-8.45,-675,-114.7,50550,-50700,Y,39000,Y,0.52,53.8,63.4,53.8,85530,-3528,20310,4050,N,-9570,Y,-5.69,55404,55457.8
29-05-2025 10:00,19.5,16.9,14.8,-105000,-1350.2,41925,-14475,YES,5325,N,-0.62,24814.8,24834.3,5.3,5,4.95,-25875,-42.7,67350,199050,Y,-403350,YES,-0.29,-11.15,-11.1,-11.2,36675,-106.1,45825,-23550,YES,61725,Y,0.03,18.2,11,13.2,26760,-3412.4,19800,5610,N,-9390,N,-2.22,55457.8,55476
