ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
55879.8,22050,2025-05-30 09:15:44,1748576745,120,240,55880.0,55890.0,30,54030,76830,55891.0,55800.0,55974.4,0,0,55950.0,55869.8,sf,NSE:BANKNIFTY25JUNFUT,10.0,0.0179
55904.4,22050,2025-05-30 09:15:44,1748576745,120,240,55880.0,55890.0,30,54030,76830,55891.0,55800.0,55974.4,0,0,55950.0,55869.8,sf,NSE:BANKNIFTY25JUNFUT,34.6,0.0619
55911.8,23400,2025-05-30 09:15:44,1748576746,90,60,55880.0,55911.8,30,53760,77820,55891.59,55800.0,55974.4,0,0,55950.0,55869.8,sf,NSE:BANKNIFTY25JUNFUT,42.0,0.0752
55894.4,23460,2025-05-30 09:15:46,1748576746,120,30,55890.4,55907.6,30,54150,76680,55891.62,55800.0,55974.4,0,0,55950.0,55869.8,sf,NSE:BANKNIFTY25JUNFUT,24.6,0.044
55887.8,23490,2025-05-30 09:15:46,1748576746,30,60,55887.6,55902.0,30,53730,77820,55891.62,55800.0,55974.4,0,0,55950.0,55869.8,sf,NSE:BANKNIFTY25JUNFUT,18.0,0.0322
55886.4,23550,2025-05-30 09:15:47,1748576747,120,60,55886.4,55901.4,30,54720,77760,55891.61,55800.0,55974.4,0,0,55950.0,55869.8,sf,NSE:BANKNIFTY25JUNFUT,16.6,0.0297
55902.0,24150,2025-05-30 09:15:48,1748576748,120,180,55886.6,55901.6,90,55200,75480,55891.79,55800.0,55974.4,0,0,55950.0,55869.8,sf,NSE:BANKNIFTY25JUNFUT,32.2,0.0576
55888.2,24480,2025-05-30 09:15:48,1748576749,60,90,55900.0,55903.6,120,54690,77130,55891.91,55800.0,55974.4,0,0,55950.0,55869.8,sf,NSE:BANKNIFTY25JUNFUT,18.4,0.0329
55888.2,24480,2025-05-30 09:15:48,1748576749,60,90,55900.0,55903.6,120,54600,77190,55891.91,55800.0,55974.4,0,0,55950.0,55869.8,sf,NSE:BANKNIFTY25JUNFUT,18.4,0.0329
55888.2,24480,2025-05-30 09:15:48,1748576751,30,150,55890.0,55896.8,120,55050,76950,55891.91,55800.0,55974.4,0,0,55950.0,55869.8,sf,NSE:BANKNIFTY25JUNFUT,18.4,0.0329
