last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,timestamp,cur_open,prev_open,prev_close,pre_prev_close,nifty_cur_open,nifty_prev_open,nifty_prev_close,nifty_pre_prev_close,ce_symbol,ce_cur_open,ce_prev_open,ce_prev_close,ce_pre_prev_close,pe_symbol,pe_cur_open,pe_prev_open,pe_prev_close,pe_pre_prev_close
01-08-2025 09:15,-2.1,258450,189,121200,119475,1.6,-0.3,1725,-846.6,41100,103275,N,147000,N,24784.21,24791.1,24789,24795,24771.1,01-08-2025 09:15,3.1,5243175,261,213150,227925,3,3.3,-14775,-112.15,41175,284775,N,168450,N,162,165.1,167,152.8,159.11,01-08-2025 09:15,-4.6,7668300,271,331425,310500,-5.15,-5.15,20925,-110.85,43200,-79575,N,393300,N,143.35,138.75,149.75,136.4,143.55,,,,,,,,,,,,,,,,,,,
01-08-2025 09:20,1,181125,207,98475,180075,-0.4,-6.7,-81600,-817,53400,60825,N,7200,N,24786.93,24784,24785,24805,24782,01-08-2025 09:20,-4.05,5100300,293,256650,285975,-6,-6.05,-29325,-141.1,48300,-1425,YES,123225,N,163.75,159.7,175.35,157.7,162.71,01-08-2025 09:20,2.1,6420000,300,456450,411450,4,4.05,45000,-117.25,50250,196875,YES,174300,N,139.45,141.55,143.65,132.85,141.49,01-08-2025 09:20,24712.6,24725.9,24712.7,24726,24783,24789,24782,24792.1,NIFTY2580724700CE,160,165.05,157.7,165.95,NIFTY2580724700PE,142,138.75,143.05,137.9
01-08-2025 09:25,-25.1,211725,219,343575,238875,-24.2,-25.9,104700,-769.7,52200,-10425,YES,18075,N,24780.71,24782.1,24757,24782.1,24750,01-08-2025 09:25,-8.6,5548575,258,344625,343800,-7.6,-7.55,825,-123.1,53325,159450,Y,170550,YES,158.8,150.2,158.8,143.9,158.65,01-08-2025 09:25,12.7,11072325,255,427500,531525,12.75,12.8,-104025,-132.3,56100,28650,N,-21300,YES,142.6,155.3,161.55,142.6,146.42,01-08-2025 09:25,24685.5,24712.6,24686.9,24712.7,24757,24783,24758.4,24782,NIFTY2580724700CE,148.9,160,150.2,157.7,NIFTY2580724700PE,155.5,142,155.3,143.05
01-08-2025 09:30,33.5,195450,194,382950,238500,34,34.1,144450,-1199.6,55800,3900,N,-6375,Y,24779.09,24756.5,24790,24816.7,24743.3,01-08-2025 09:30,17.6,9307950,256,322725,330525,17.4,17.55,-7800,-133.4,47025,-53550,YES,-77700,Y,148.9,166.5,182.3,144.75,160.3,01-08-2025 09:30,-17.15,10063425,248,328725,354825,-16.85,-16.75,-26100,-127.35,52575,-54600,Y,50850,Y,155.85,138.7,163.05,125.9,146.68,01-08-2025 09:30,24713.35,24685.5,24713.95,24686.9,24790,24757,24793,24758.4,NIFTY2580724700CE,167.3,148.9,166.5,150.2,NIFTY2580724700PE,138.6,155.5,138.7,155.3
01-08-2025 09:35,-20.9,100800,174,134925,288975,-19.9,-20.9,-154050,-1131.5,43950,-5550,YES,18825,YES,24779.91,24792.6,24771.7,24805,24770,01-08-2025 09:35,-9.3,5651925,317,356100,314325,-8.8,-8.75,41775,-143.5,49050,79950,Y,240075,YES,167.3,158,176.1,157.05,161.39,01-08-2025 09:35,8.1,6043125,324,342600,492750,7.75,7.75,-150150,-124.3,49650,89025,YES,153375,Y,138.6,146.7,147.5,132.6,145.87,01-08-2025 09:35,24699.25,24713.35,24697.8,24713.95,24771.7,24790,24771.7,24793,NIFTY2580724700CE,158.3,167.3,158,166.5,NIFTY2580724700PE,146.5,138.6,146.7,138.7
01-08-2025 09:40,13.2,79200,161,104400,100875,10,10.7,3525,-928.8,39525,54150,Y,14700,N,24780.41,24771.7,24784.9,24800,24770,01-08-2025 09:40,5.1,4654950,333,348075,382800,5.2,5.2,-34725,-146.3,51750,69150,N,104775,N,158.35,163.45,171.5,156.4,161.94,01-08-2025 09:40,-5.65,5029800,337,488250,427650,-6.05,-6.1,60600,-123.55,49800,72975,N,153525,N,146.1,140.45,148.6,133.4,145.23,01-08-2025 09:40,24708.35,24699.25,24709,24697.8,24784.9,24771.7,24784.9,24771.7,NIFTY2580724700CE,163.3,158.3,163.2,158,NIFTY2580724700PE,140.3,146.5,140.65,146.7
01-08-2025 09:45,2.4,105900,151,114825,169875,-3.8,-0.2,-55050,-917,45450,9000,N,63600,YES,24780.47,24784.9,24787.3,24798.4,24770,01-08-2025 09:45,-0.25,4153800,323,342300,378300,-0.35,-0.6,-36000,-142.35,48750,-33300,YES,159750,YES,163.05,162.8,169.8,154.05,161.99,01-08-2025 09:45,0,4496850,320,449100,456300,0.3,0.3,-7200,-128.9,51000,12975,N,55200,N,140.45,140.45,147.7,135.25,144.91,01-08-2025 09:45,24710.8,24708.35,24711.55,24709,24787.1,24784.9,24787.3,24784.9,NIFTY2580724700CE,162.05,163.3,162.8,163.2,NIFTY2580724700PE,140.5,140.3,140.45,140.65
01-08-2025 09:50,-14.3,65550,149,125700,141750,-8.5,-10.4,-16050,-1278.9,44625,1875,YES,12375,N,24780.67,24786.8,24772.5,24798,24770.8,01-08-2025 09:50,-5.2,3182175,313,391500,632850,-4.9,-4.95,-241350,-148.65,50775,41250,Y,-7875,Y,162.05,156.85,170.95,154.75,162.05,01-08-2025 09:50,4.95,3441675,306,437175,395325,4.7,4.8,41850,-122.15,51075,65175,YES,-6900,YES,140.9,145.85,147.95,134.7,144.73,01-08-2025 09:50,24697.45,24710.8,24697.25,24711.55,24778.6,24787.1,24772.5,24787.3,NIFTY2580724700CE,156.85,162.05,156.85,162.8,NIFTY2580724700PE,145.85,140.5,145.85,140.45
01-08-2025 09:55,-1.3,75525,168,128475,111600,-5.8,-7.9,16875,-1377.5,52725,-70425,YES,23850,N,24780.04,24771.8,24770.5,24779.9,24758,01-08-2025 09:55,-2.95,3481800,309,321600,362250,-3.15,-3.1,-40650,-128.55,50625,21375,N,44925,YES,156.85,153.9,160.05,150.1,161.49,01-08-2025 09:55,1.8,5482350,313,425775,447300,2.1,2.05,-21525,-128.9,51525,-86025,Y,-20850,YES,145.85,147.65,152.8,143.7,145.1,01-08-2025 09:55,24696.55,24697.45,24696.9,24697.25,24770.5,24778.6,24767,24772.5,NIFTY2580724700CE,153.9,156.85,153.75,156.85,NIFTY2580724700PE,147.5,145.85,147.75,145.85
01-08-2025 10:00,24.5,83925,183,228675,180750,26.5,25.8,47925,-1054.5,61275,81450,Y,1875,Y,24779.82,24770.5,24795,24799,24758,01-08-2025 10:00,16.15,5927175,339,357750,414975,16.65,16.75,-57225,-138.25,54600,8400,N,-57975,Y,152.85,169,171.6,148.25,161.51,01-08-2025 10:00,-14.65,5947875,338,388425,452475,-14.5,-14.45,-64050,-124.2,51975,-122550,Y,102300,Y,148.4,133.75,153.35,130.2,144.78,01-08-2025 10:00,24726.9,24696.55,24727,24696.9,24795,24770.5,24795,24767,NIFTY2580724700CE,168.85,153.9,169,153.75,NIFTY2580724700PE,134.25,147.5,133.75,147.75
