ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
56040.0,37415,2025-08-01 09:16:53,1754020014,315,35,56040.0,56045.0,70,42700,33285,56062.48,56000.0,56200.0,0,0,56200.0,56194.0,sf,NSE:BANKNIFTY25AUGFUT,-154.0,-0.2741
56040.0,37415,2025-08-01 09:16:53,1754020014,315,35,56040.0,56045.0,35,42700,33285,56062.48,56000.0,56200.0,0,0,56200.0,56194.0,sf,NSE:BANKNIFTY25AUGFUT,-154.0,-0.2741
56040.0,37450,2025-08-01 09:16:54,1754020015,280,35,56040.0,56045.0,35,44555,33215,56062.46,56000.0,56200.0,0,0,56200.0,56194.0,sf,NSE:BANKNIFTY25AUGFUT,-154.0,-0.2741
56040.0,37450,2025-08-01 09:16:54,1754020016,280,35,56040.0,56045.0,70,45710,33460,56062.46,56000.0,56200.0,0,0,56200.0,56194.0,sf,NSE:BANKNIFTY25AUGFUT,-154.0,-0.2741
56040.0,37520,2025-08-01 09:16:56,1754020016,210,35,56040.0,56045.0,70,45185,33320,56062.42,56000.0,56200.0,0,0,56200.0,56194.0,sf,NSE:BANKNIFTY25AUGFUT,-154.0,-0.2741
56046.8,37625,2025-08-01 09:16:57,1754020017,175,70,56040.0,56047.2,35,45570,32970,56062.37,56000.0,56200.0,0,0,56200.0,56194.0,sf,NSE:BANKNIFTY25AUGFUT,-147.2,-0.2619
56046.8,37730,2025-08-01 09:16:57,1754020017,210,140,56040.0,56048.2,70,42245,30065,56062.33,56000.0,56200.0,0,0,56200.0,56194.0,sf,NSE:BANKNIFTY25AUGFUT,-147.2,-0.2619
56040.0,37765,2025-08-01 09:16:58,1754020018,175,70,56040.0,56046.6,35,47005,33810,56062.31,56000.0,56200.0,0,0,56200.0,56194.0,sf,NSE:BANKNIFTY25AUGFUT,-154.0,-0.2741
56040.0,37765,2025-08-01 09:16:58,1754020018,175,70,56040.0,56045.0,35,48510,34195,56062.31,56000.0,56200.0,0,0,56200.0,56194.0,sf,NSE:BANKNIFTY25AUGFUT,-154.0,-0.2741
56044.4,37835,2025-08-01 09:16:59,1754020019,140,105,56040.0,56045.4,35,48265,33390,56062.27,56000.0,56200.0,0,0,56200.0,56194.0,sf,NSE:BANKNIFTY25AUGFUT,-149.6,-0.2662
