last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
02-05-2025 10:40,-5.5,-7.4,-5.1,6225,-1129.3,34725,53175,Y,-7950,Y,0.31,24634,24619.5,-6,-6.95,-6.8,18525,-143.6,33225,-45375,N,76725,N,-0.32,0.1,-0.05,-0.15,-20775,-106.4,32850,54525,N,38025,N,-0.04
02-05-2025 10:45,-18.3,-14.1,-15.2,13425,-958.9,31725,27750,N,31950,YES,-0.14,24619.5,24601.2,-9.6,-9.55,-9.6,37425,-147,38175,49350,Y,92775,N,-0.68,3.4,3.05,3.1,-375,-136.15,37575,65400,N,62175,Y,0.35
02-05-2025 10:50,-63.7,-66.1,-68.4,40125,-840.7,38250,-85275,YES,39975,N,-2.93,24601.2,24537.5,-35.2,-35.45,-35.55,-22200,-134.55,37725,-179100,YES,45150,N,-2.05,33.35,34.4,34.55,-102225,-139.6,40575,94800,YES,-412950,YES,1.65
02-05-2025 10:55,-1.2,-1.5,0,110925,-950.5,50175,-50625,Y,-23775,Y,-4.92,24539.5,24538.3,0.6,0.8,0.9,-9975,-137.7,45075,96975,Y,275700,YES,-3.36,1,1.4,1.5,-98850,-176.65,42450,-205650,Y,45525,Y,3.02
02-05-2025 11:00,-17.4,-18.2,-18.9,-3675,-1007.4,37500,-53550,YES,24525,YES,-1.75,24540.4,24523,-7.55,-8.15,-8.2,-9750,-124.9,38400,29700,N,127200,N,-1.6,12.6,12.8,12.8,22125,-148.3,35100,50550,YES,-3600,YES,0.96
02-05-2025 11:05,13.4,13.4,15.8,-51450,-809,32850,20325,Y,7950,N,-1.2,24521.6,24534,5.7,5.25,5.5,-39675,-122.35,39525,111225,Y,-108075,Y,-1.2,-9.95,-8.8,-8.85,27300,-152,36975,-24375,Y,15300,N,0.82
02-05-2025 11:10,-2.6,-1.4,-2.9,2700,-1076.9,43200,6225,N,-5925,Y,-2.71,24534,24531.5,-4.35,-4.55,-4.6,-58800,-114.75,40725,-96525,YES,286050,YES,-1.8,-2.6,-2.55,-2.55,-2550,-162.2,40950,-42450,Y,-58350,YES,1.08
02-05-2025 11:15,-15.2,-16.7,-15.7,-12825,-1125.1,33150,-26775,YES,43725,YES,-1.33,24535.4,24520.2,-4.15,-5.4,-5.5,-30975,-117.85,44550,-12900,Y,-238575,Y,-1.68,12.15,13.7,13.9,-67425,-155,39150,-15000,YES,-17775,Y,0.81
02-05-2025 11:20,-40.3,-38.7,-40.7,102300,-1225.5,36000,-59700,YES,5100,N,-3.73,24520.2,24479.9,-15.6,-15.65,-15.65,-68850,-105.65,43575,-141225,YES,87450,YES,-2.02,23.7,23.1,23.15,-33750,-164.65,38400,17625,YES,-147150,YES,1.76
02-05-2025 11:25,8.1,9.6,7.7,111675,-994.5,32775,19500,Y,43875,YES,-2.4,24479.9,24480.3,1.5,2.2,2.15,-20925,-98.55,39750,115425,Y,81375,N,-1.37,-1.8,-3.4,-3.65,-18975,-166.15,35850,-17925,Y,41775,Y,1.25
02-05-2025 11:30,-61.1,-65.2,-67.8,96900,-1035.6,49875,49125,Y,7575,N,-7.85,24480.3,24419.2,-21.3,-21.85,-21.8,-62925,-95,44700,-92925,YES,-10050,Y,-2.9,39.05,44.5,44.45,-6525,-199.85,40125,-60600,Y,-123900,YES,2.43
02-05-2025 11:35,16.8,16.7,16.8,66975,-1071.3,37800,51150,N,31350,YES,-5.91,24424,24440.8,4.6,4.65,4.7,-40575,-89.45,40950,96150,Y,136200,YES,-1.79,-11.75,-11.4,-11.2,27750,-193.95,35775,-28350,YES,43650,Y,1.07
02-05-2025 11:40,-15.1,-8.9,-10.1,19275,-995.7,41925,37200,N,22575,N,-3.21,24440.6,24425.5,-2.5,-1.7,-1.9,-25650,-96.35,47325,22725,N,-63075,Y,-2.16,4.05,3.5,3.45,7275,-210.65,41475,-12750,N,-7650,YES,1.18
02-05-2025 11:45,0.7,-0.8,1.8,-22200,-943.4,32775,-6150,YES,76725,YES,-2.02,24426.3,24431.8,1.5,1.3,1.35,44925,-91.85,41925,82875,Y,62775,YES,-0.91,2.05,2.95,3,-19275,-203.1,41700,-17475,Y,4950,N,0.7
02-05-2025 11:50,12.6,7,8,17325,-879.8,30900,4500,N,-18525,Y,-1.46,24431.8,24444.4,5.3,4.15,4.15,6225,-86.4,43275,31650,N,-134700,Y,-0.99,-12.1,-9.55,-9.75,-55725,-213,38850,-29175,Y,21075,N,0.64
02-05-2025 11:55,5.1,6.4,5.1,-7425,-990.8,37200,64650,Y,9225,YES,-1.72,24444.9,24449.9,0.35,0.9,0.95,101100,-96.4,40725,16425,N,92475,YES,-1.18,-6.05,-6.45,-6.55,-5250,-208.65,37200,6150,YES,5925,N,0.55
02-05-2025 12:00,-22.5,-22.8,-26.2,56025,-954.6,32850,-4275,YES,15750,N,-0.97,24446.3,24422,-8.55,-8.65,-8.65,19575,-90.9,41400,-75675,YES,89775,N,-1,17.55,18.7,18.45,-6675,-208.3,40650,29250,YES,-30750,YES,0.57
02-05-2025 12:05,-15.7,-20,-18.2,91800,-986.7,42150,-3300,N,13575,N,-6.84,24420.1,24404.4,-6.85,-7.05,-7.35,-975,-81.45,39825,-41700,Y,39150,N,-1.87,9.95,11.55,11.7,3375,-202.4,37350,-19350,Y,-45375,YES,1.1
02-05-2025 12:10,-4.4,0,-2.7,54675,-1032.4,35025,-7200,YES,8850,N,-1.82,24404.4,24400.5,-2.7,-1.6,-1.65,-42600,-80.8,40125,38475,Y,40575,N,-1.01,1.6,2.15,1.95,1050,-220.2,36900,-10275,N,1725,Y,0.66
02-05-2025 12:15,-25,-21.2,-21.8,7275,-1055.2,35775,43800,Y,-10050,Y,-5.07,24400,24378,-6.85,-6.45,-6.55,11850,-76.55,40950,-16725,YES,-5625,Y,-1.89,14.7,15.9,15.6,-7725,-223.95,37425,-375,N,-16500,YES,1.09
02-05-2025 12:20,11.9,13.1,12,26250,-908.6,25725,13800,N,21600,YES,-1.04,24378,24389.9,4.8,4.65,4.65,-86250,-78.1,45750,63675,Y,37800,YES,-0.83,-8.2,-6.85,-7.05,3675,-214.4,38700,-10875,Y,16725,Y,0.43
02-05-2025 12:25,-67.9,-67.9,-66,-70275,-1137.9,34950,-79500,YES,25125,N,-8.96,24387.9,24320,-16,-16.15,-16.2,55275,-74.15,43575,-165300,YES,24300,N,-1.92,48.7,50.5,50.75,-35250,-256.25,38025,825,N,-76725,YES,1.45
