ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
24684.4,281250,2025-06-02 09:16:06,1748835966,150,525,24676.4,24681.7,75,125625,391275,24721.14,24676.5,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-186.8,-0.7511
24675.0,281250,2025-06-02 09:16:06,1748835966,150,525,24676.4,24681.7,75,125625,391275,24721.14,24676.5,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-196.2,-0.7889
24679.3,284700,2025-06-02 09:16:07,1748835967,600,75,24679.7,24682.8,75,182100,380250,24720.63,24675.0,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-191.9,-0.7716
24683.3,285600,2025-06-02 09:16:08,1748835968,600,225,24675.1,24683.3,75,156525,382650,24720.5,24675.0,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-187.9,-0.7555
24675.0,285600,2025-06-02 09:16:08,1748835968,600,225,24675.1,24683.3,75,156525,382650,24720.5,24675.0,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-196.2,-0.7889
24680.0,288675,2025-06-02 09:16:09,1748835969,75,75,24675.0,24681.8,75,180600,383400,24720.04,24675.0,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-191.2,-0.7688
24684.3,296250,2025-06-02 09:16:11,1748835971,75,525,24680.0,24684.3,75,175500,363075,24718.91,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-186.9,-0.7515
24682.4,297000,2025-06-02 09:16:11,1748835971,150,150,24680.0,24682.5,300,164250,388425,24718.82,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-188.8,-0.7591
24682.0,297000,2025-06-02 09:16:11,1748835972,150,150,24680.0,24682.5,75,164250,388425,24718.82,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-189.2,-0.7607
24682.9,298125,2025-06-02 09:16:12,1748835972,225,375,24680.0,24682.9,75,185325,378000,24718.68,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-188.3,-0.7571
24680.4,298500,2025-06-02 09:16:13,1748835973,75,375,24680.0,24680.4,75,183600,351975,24718.63,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-190.8,-0.7672
24680.4,298500,2025-06-02 09:16:13,1748835973,75,375,24680.0,24680.4,375,183600,351975,24718.63,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-190.8,-0.7672
24679.5,302775,2025-06-02 09:16:14,1748835974,2400,450,24675.0,24679.9,75,162375,388125,24718.08,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-191.7,-0.7708
24679.0,302775,2025-06-02 09:16:14,1748835975,2400,450,24675.0,24679.9,150,162375,388125,24718.08,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-192.2,-0.7728
24679.0,302775,2025-06-02 09:16:14,1748835975,2400,450,24675.0,24679.9,75,162375,388125,24718.08,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-192.2,-0.7728
24675.0,306450,2025-06-02 09:16:16,1748835976,1875,75,24675.0,24679.3,300,186075,378825,24717.61,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-196.2,-0.7889
24680.3,306900,2025-06-02 09:16:16,1748835976,1425,225,24676.0,24680.3,150,183900,386175,24717.55,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-190.9,-0.7676
24679.9,308475,2025-06-02 09:16:17,1748835978,600,450,24676.0,24680.4,75,183975,376500,24717.35,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-191.3,-0.7692
24680.6,309975,2025-06-02 09:16:18,1748835978,525,75,24676.0,24680.0,75,191325,374700,24717.17,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-190.6,-0.7663
24678.7,309975,2025-06-02 09:16:18,1748835978,525,75,24676.0,24680.0,75,191325,374700,24717.17,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-192.5,-0.774
24680.6,312975,2025-06-02 09:16:19,1748835979,75,300,24678.5,24680.6,75,190800,360525,24716.79,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-190.6,-0.7663
24680.6,312975,2025-06-02 09:16:19,1748835979,75,300,24678.5,24680.6,75,192075,366600,24716.79,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-190.6,-0.7663
24679.8,318225,2025-06-02 09:16:21,1748835981,975,75,24678.0,24679.8,75,184125,386850,24716.16,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-191.4,-0.7696
24679.7,319425,2025-06-02 09:16:21,1748835981,975,300,24678.0,24679.7,75,171150,396300,24716.03,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-191.5,-0.77
24677.9,319425,2025-06-02 09:16:21,1748835981,975,300,24678.0,24679.7,75,171150,396300,24716.03,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-193.3,-0.7772
24677.9,321150,2025-06-02 09:16:22,1748835982,2100,75,24675.0,24677.9,75,188700,364275,24715.82,24672.1,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-193.3,-0.7772
24671.0,326025,2025-06-02 09:16:23,1748835983,150,75,24671.0,24672.9,300,147450,390225,24715.19,24671.0,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-200.2,-0.8049
24670.5,326025,2025-06-02 09:16:23,1748835983,150,75,24671.0,24672.9,300,147450,390225,24715.19,24671.0,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-200.7,-0.807
24675.8,331725,2025-06-02 09:16:24,1748835985,1500,825,24673.2,24677.8,75,181200,355575,24714.49,24670.0,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-195.4,-0.7856
24675.8,331725,2025-06-02 09:16:24,1748835985,1500,825,24673.2,24677.8,225,181200,355575,24714.49,24670.0,24810.0,0,0,24799.0,24871.2,sf,NSE:NIFTY25JUNFUT,-195.4,-0.7856
