last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume
02-07-2025 09:15,12,167625,195,246375,219375,11.8,16.5,27000,-1277.2,45150,64050,N,144375,N,25675.85,25670,25682,25690,25651.4,02-07-2025 09:15,1.9,19530675,192,575475,578250,1.45,1.3,-2775,-104.75,64950,-3342450,N,1275825,N,77.35,79.25,84.45,68.05,77.22,02-07-2025 09:15,-6.65,11986800,188,517500,529050,-6.65,-6.75,-11550,-108.9,69150,1065450,N,528225,N,90,83.35,101,78.65,86.87,02-07-2025 09:15,1751427900,12.53,12.56,12.39,12.44,0
02-07-2025 09:20,-4,131250,184,129600,238500,2.9,-1.8,-108900,-951.6,40500,-14175,YES,55725,N,25679.82,25685,25681,25695.1,25676.6,02-07-2025 09:20,-3.05,14078025,312,796875,697275,-3.4,-3.35,99600,-112.5,70125,-146175,Y,439125,N,80.05,77,84.8,76.45,78.68,02-07-2025 09:20,-4.7,10291800,308,784050,846750,-4.4,-4.4,-62700,-105.8,69375,195150,N,354675,N,82.8,78.1,85.6,72.85,83.27,02-07-2025 09:20,1751428200,12.43,12.44,12.37,12.39,0
02-07-2025 09:25,-14.9,88500,234,70200,108375,-17.3,-16.9,-38175,-1784.6,41775,62700,Y,20925,N,25677.21,25681,25666.1,25682.8,25656.5,02-07-2025 09:25,-8.85,13900800,334,881250,764700,-8.9,-8.9,116550,-94.2,73200,-45375,Y,669975,YES,76.6,67.75,76.9,65.1,76.18,02-07-2025 09:25,10.55,16823550,334,760575,804150,10.45,10.45,-43575,-123.15,76350,108450,N,70200,N,78.4,88.95,92.7,77.6,84.51,02-07-2025 09:25,1751428500,12.4,12.45,12.39,12.44,0
02-07-2025 09:30,-14.4,73800,203,77850,103050,-15.5,-12.5,-25200,-1267.6,41925,13500,N,-41925,Y,25674.35,25666.1,25651.7,25671.9,25646.4,02-07-2025 09:30,-7.25,10273875,337,1145850,1076100,-7.3,-7.35,69750,-83.45,89625,-179175,YES,417000,N,68.25,61,70.1,60.05,74.14,02-07-2025 09:30,6,12492675,328,677100,841050,6.15,6.1,-163950,-124.35,72150,18600,N,9075,N,88.1,94.1,97.7,85.55,86.36,02-07-2025 09:30,1751428800,12.43,12.46,12.41,12.44,0
02-07-2025 09:35,5.5,56250,191,78825,113925,4.8,2.1,-35100,-1064.8,41700,8325,N,525,YES,25672.5,25649.5,25655,25662.9,25648.9,02-07-2025 09:35,1.7,5842800,352,1329825,1148475,1.8,1.85,181350,-80.4,84450,343875,Y,197325,N,61.1,62.8,64.65,61.1,73.14,02-07-2025 09:35,-0.7,5791575,347,833400,822075,-0.9,-0.9,11325,-117.25,79125,130875,YES,86625,Y,93.95,93.25,96.4,89.25,86.93,02-07-2025 09:35,1751429100,12.43,12.46,12.42,12.44,0
02-07-2025 09:40,-17.4,72375,208,99675,240525,-15,-12.1,-140850,-1632.1,39525,114750,Y,5625,N,25669.41,25655,25637.6,25657.2,25634,02-07-2025 09:40,-6.15,8310975,360,1251900,1108500,-6.5,-6.5,143400,-81.65,87000,-105900,YES,54450,N,63.15,57,63.15,55.4,71.5,02-07-2025 09:40,8.25,10914825,360,681450,902250,8.8,8.8,-220800,-133.9,70950,-40725,Y,-114600,YES,92.45,100.7,103.95,92.45,88.82,02-07-2025 09:40,1751429400,12.45,12.48,12.42,12.43,0
02-07-2025 09:45,12.4,74100,204,208350,213975,6.9,5.8,-5625,-1440,39825,7500,N,7725,N,25666.48,25637.6,25650,25650,25635,02-07-2025 09:45,2.1,5304750,357,1498275,1376550,1.95,2,121725,-78.4,77850,236850,Y,-50325,Y,57.1,59.2,59.6,55.3,70.55,02-07-2025 09:45,-2.35,8217300,356,640950,751200,-1.75,-1.75,-110250,-130.8,72600,-194850,Y,-35700,Y,100.95,98.6,107.5,98.25,90.32,02-07-2025 09:45,1751429700,12.43,12.5,12.43,12.43,0
02-07-2025 09:50,-6,62475,206,172575,107400,-6,-3.6,65175,-1712.5,42450,9750,N,-40425,Y,25665.51,25647,25641,25660.2,25640,02-07-2025 09:50,-1.75,8292525,359,1279950,1474800,-1.75,-1.75,-194850,-87.55,79350,-214425,YES,239250,YES,59.45,57.7,62.8,57.3,69.62,02-07-2025 09:50,5.7,7003650,359,805425,833925,5.25,5.25,-28500,-131.6,79125,262275,YES,-60375,YES,98.1,103.8,104.75,92.75,90.92,02-07-2025 09:50,1751430000,12.44,12.46,12.39,12.42,0
02-07-2025 09:55,-6.4,58500,188,153150,103125,-0.9,-4.1,50025,-1764,40425,-3300,YES,-19650,YES,25664.31,25647.3,25640.9,25658,25637,02-07-2025 09:55,-2.2,5201550,320,1575750,1411500,-1.8,-1.8,164250,-81.25,88875,64350,Y,303150,YES,58,55.8,61.7,55.8,69.03,02-07-2025 09:55,1.55,5908575,323,757725,747675,1.75,1.75,10050,-128.75,79575,1950,Y,39750,Y,103.4,104.95,106.05,94.6,91.55,02-07-2025 09:55,1751430300,12.43,12.46,12.41,12.44,0
02-07-2025 10:00,-6.7,83325,208,123000,70575,-9,-7,52425,-1806.2,37575,59100,Y,-16425,N,25661.27,25641.7,25635,25644.3,25620,02-07-2025 10:00,-2.7,9390300,310,1676925,1612875,-2.65,-2.65,64050,-72.95,92550,-251550,YES,154800,N,56.1,53.4,57.95,50,67.54,02-07-2025 10:00,5.4,10798500,314,705225,809400,5.15,5.15,-104175,-141.2,74700,-73200,Y,-232125,YES,104.4,109.8,120.15,103.1,93.59,02-07-2025 10:00,1751430600,12.43,12.52,12.43,12.46,0
