last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
12-02-2024 09:15,-15.55,-14.8,-15.5,47075,-1413.55,23425,78525,N,124850,N,-19.07,24215.5,24199.95,-4.3,-4.25,-4.25,-39975,-32.1,14850,27150,N,63800,N,-2.74,10.75,12,12.05,16175,-138.1,13900,33525,N,14575,N,6.19
12-02-2024 09:20,-22.2,-16.2,-23.3,82200,-1200.75,21225,107800,Y,135225,N,-8.57,24212.75,24190.55,-7.35,-7.2,-7.2,-127475,-55.95,25200,8225,N,106650,YES,-2.72,10.95,12.75,12.45,2175,-272.75,25250,-21225,Y,30625,N,3.05
12-02-2024 09:25,0.85,-0.85,-2.85,33950,-761.6,16750,12250,N,57850,N,-3.37,24188.15,24189,-2.5,-1.45,-1.5,-6075,-49.15,31400,104400,Y,104125,N,-2.71,0.85,-2.45,-2.5,12525,-251.65,25825,900,YES,14175,N,4.66
12-02-2024 09:30,51.45,55.5,57.9,-59925,-934.3,18325,35450,Y,31025,N,2.66,24191.2,24242.65,15.25,15.05,15.15,1050,-67,29100,85450,N,-90225,Y,0.57,-38.15,-36.2,-36.25,475,-263,24975,1225,N,-5175,YES,-4.22
12-02-2024 09:35,27.9,28.35,28.95,-19075,-1034.4,16050,11125,N,-92675,Y,11.21,24245,24272.9,13.05,13.3,13.35,14050,-75.5,30400,22225,N,30025,YES,3.49,-17.8,-18.55,-18.75,8525,-210.6,26950,15300,N,8750,N,-7.15
12-02-2024 09:40,8.25,5.45,5.25,10325,-1134.8,18675,6000,N,62100,YES,4.41,24271,24279.25,4.5,4.65,4.65,-32050,-83.95,32050,7875,N,-925,Y,3.14,-3.25,-2.7,-2.7,-850,-209,31675,7300,N,30925,Y,-5.89
12-02-2024 09:45,7.55,10.5,10,-9400,-893.65,18625,30350,Y,14025,N,7.22,24279.95,24287.5,6.25,6.55,6.55,18450,-85.15,27250,43375,Y,42750,YES,3.41,-1.4,-1.15,-1.25,-19875,-202.2,31575,27150,N,10150,N,-4.67
12-02-2024 09:50,-20.8,-19.6,-20,8350,-959.15,14625,24675,N,30700,N,1.59,24287.5,24266.7,-6.9,-6.85,-6.9,-22425,-84.65,26075,-42250,YES,258125,YES,1.22,10.65,10.45,10.5,6525,-217.55,31550,-8175,Y,11950,N,-2.74
12-02-2024 09:55,27.2,29.65,28.85,-99125,-818.5,15275,23325,N,-17500,Y,2.3,24266.8,24294,10.65,11.5,11.55,19950,-87.65,30100,45400,Y,9025,N,1.4,-16.35,-17.6,-17.7,61400,-213.5,25725,175,N,13225,N,-2.7
12-02-2024 10:00,-7.7,-3.1,-4,-47500,-906.75,16625,14725,N,6550,YES,2.55,24299,24291.3,-0.5,-0.45,-0.4,16825,-84.7,34850,28350,N,71475,YES,1.16,-0.9,0.35,0,-17775,-193.25,30625,14525,N,-800,YES,-2.23
12-02-2024 10:05,-13.3,-12.95,-12.3,-58600,-793.5,15575,-4925,YES,11350,N,1.43,24291.3,24278,-5.6,-5.2,-5.15,56150,-84.6,29375,-21050,YES,48975,N,1.3,9.1,8.35,8.1,-41350,-178.65,29425,-800,Y,-2825,YES,-1.62
12-02-2024 10:10,3,3.25,3,-19825,-944.35,14750,-925,N,-46600,Y,0.85,24278,24281,-1.2,-0.1,-0.05,-10175,-77.85,30350,-20925,N,-51675,Y,0.26,-5.5,-7.25,-7.35,-1125,-207.85,25600,-16425,Y,-12400,YES,-0.97
12-02-2024 10:15,55.05,57.45,57.8,-17250,-1018.35,19575,114975,Y,-24275,YES,9.26,24285,24340.05,23.35,24.05,24.05,-10975,-97.6,24975,135225,Y,-268525,Y,4.35,-28.95,-28.85,-28.95,-7600,-188.55,31150,32700,YES,8600,Y,-6.96
