last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close
03-04-2025 09:15,23,437475,151,29.7,24.05,52425,-701.05,35700,-34050,N,8325,N,23299.28,23298.25,23321.25,23325,23280.75,03-04-2025 09:15,-2.8,28709325,161,-2.6,-2.7,-42375,-57.7,40875,7069725,N,545175,N,62.95,60.15,66.25,42.6,56.67,03-04-2025 09:15,-10.35,18340125,127,-10.7,-10.7,154575,-45.4,32400,5001450,N,1022100,N,64.5,54.15,65.8,51.45,62.89,03-04-2025 09:15,23150.3,23226.4,23145.8,23219.65
03-04-2025 09:20,19.85,373800,179,15.6,18.7,81750,-608.5,40200,-129900,YES,8550,N,23312.09,23319,23338.85,23353.9,23314.15,03-04-2025 09:20,11.9,29090175,180,12.55,12.55,6600,-72.5,41400,18654750,Y,99450,N,59.45,71.35,86.6,56.75,64.77,03-04-2025 09:20,-10.5,31882350,180,-10,-10,163800,-54.8,47400,12968850,YES,738225,N,54.4,43.9,58.85,41.65,55.68,03-04-2025 09:20,23218.65,23254.65,23214.55,23240.9
03-04-2025 09:25,8.25,146625,174,8.65,11.05,4125,-929,38775,12150,Y,300,Y,23316.09,23335.55,23343.8,23357.85,23335,03-04-2025 09:25,2.45,15136950,178,3.45,3.45,-36825,-71.4,41475,263925,N,213225,YES,73,75.45,85.7,70.15,67.36,03-04-2025 09:25,-9.5,24423375,178,-9.5,-9.5,295950,-47.1,54225,1929150,N,1095075,Y,43.4,33.9,43.75,33,50.82,03-04-2025 09:25,23240.05,23263.45,23239.85,23251.2
03-04-2025 09:30,19.35,160275,174,17.05,14.65,-8025,-1110,38100,-36675,YES,-20025,Y,23319.05,23341.95,23361.3,23368,23315.15,03-04-2025 09:30,9.65,19576800,179,9.5,9.55,14100,-72.15,43125,-18750,YES,-274200,Y,75.05,84.7,88.6,56.5,68.39,03-04-2025 09:30,-9.75,34194075,179,-9.55,-9.55,407625,-48,54975,986100,N,696000,N,33.95,24.2,43.3,23.35,46.34,03-04-2025 09:30,23251.65,23270.05,23213.4,23266.9
03-04-2025 09:35,-11.85,167325,179,-6.8,-11.7,45225,-961,35925,15975,Y,6375,YES,23322.98,23366,23354.15,23375,23336,03-04-2025 09:35,-8.2,14981925,180,-7.45,-7.4,22725,-73.2,43050,327525,Y,341550,YES,82.15,73.95,92.55,66.55,69.97,03-04-2025 09:35,-0.3,24575475,180,0.1,0.1,197025,-37.3,71175,974700,N,745350,Y,25.2,24.9,30.6,21.35,42.88,03-04-2025 09:35,23266.55,23280.8,23239.55,23251.45
03-04-2025 09:40,-18.8,155775,160,-21.05,-18.95,43425,-710.25,32250,-18450,YES,62700,YES,23325.35,23354.15,23335.35,23358,23328.05,03-04-2025 09:40,-14.9,10849950,180,-13.2,-13.35,27375,-69.3,40875,-141150,YES,330075,N,74.15,59.25,79.8,56.55,69.75,03-04-2025 09:40,2.7,20568525,179,3.5,3.5,159675,-35.35,83700,718050,N,203700,N,24.6,27.3,32.85,21.9,40.9,03-04-2025 09:40,23252.25,23265.5,23235.45,23244.8
03-04-2025 09:45,-6.5,115350,160,-5.8,-0.4,24450,-953.05,30450,7725,Y,12600,N,23325.21,23335.35,23328.85,23343.95,23310.35,03-04-2025 09:45,-4.6,16338825,180,-4.05,-4.05,80775,-58.95,49275,285375,Y,190200,N,59.4,54.8,61.8,46.3,67.96,03-04-2025 09:45,-1.75,31185750,176,-2,-1.95,514425,-38.45,80700,160425,N,156600,N,28.6,26.85,39.2,22.8,39.27,03-04-2025 09:45,23243.4,23245.35,23214.9,23229.95
03-04-2025 09:50,17.1,56925,150,15.5,8.85,-21150,-805.8,30525,25350,N,1425,Y,23325.5,23327.8,23344.9,23348.95,23325,03-04-2025 09:50,11.35,12396075,180,10.55,10.6,43500,-64.65,51375,255300,N,-23475,Y,54,65.35,68.8,51.5,67.41,03-04-2025 09:50,-6.5,22773975,180,-6.3,-6.35,796800,-33.65,86925,-154800,Y,817800,Y,26.85,20.35,29.7,20.15,37.65,03-04-2025 09:50,23230.4,23248.45,23226.8,23245.2
03-04-2025 09:55,-12.55,48300,138,-11.7,-8.65,8100,-751.45,27450,13800,N,1725,N,23325.78,23342.65,23330.1,23345.95,23325.6,03-04-2025 09:55,-7.2,9040275,180,-7.5,-7.55,46200,-62.45,48900,87000,N,148200,YES,65.45,58.25,67.6,54.35,67.08,03-04-2025 09:55,2.2,15548025,180,2.55,2.5,375600,-33.2,80475,522750,YES,165900,N,20.45,22.65,26.85,20.2,36.69,03-04-2025 09:55,23245.5,23252.3,23229.55,23234.6
03-04-2025 10:00,11.65,60075,141,11.3,11,86925,-696.25,28950,34875,Y,11325,N,23325.92,23334,23345.65,23345.65,23320,03-04-2025 10:00,7.7,12865050,180,7.5,7.45,18600,-58.05,50850,-157875,YES,-187125,Y,58.5,66.2,67.7,49.65,66.4,03-04-2025 10:00,-4.2,24588300,180,-3.95,-4,-68475,-34.45,87375,-607575,Y,677700,Y,22.55,18.35,27.05,17.3,35.29,03-04-2025 10:00,23234.95,23251,23223.75,23250.1
