last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
03-07-2025 09:15,43.8,41.5,38.6,-115800,-961.5,36000,59625,N,35325,N,10.75,25563.6,25607.4,03-07-2025 09:15,19.7,18.9,18.9,69150,-82.45,59700,6799950,N,330225,N,44.9,64.6,64.75,42.1,2.75,-21.1,-19.95,-20,106725,-72.55,57525,5195100,N,1079400,N,60.85,39.75,70.75,39.55,-6.87
03-07-2025 09:20,-62.4,-63.8,-57.5,-86700,-1571.7,39075,3975,N,44250,N,-1.14,25605,25542.6,03-07-2025 09:20,-28.6,-29.85,-29.9,169500,-88.85,72000,477450,N,1141800,YES,64.7,36.1,77.2,34.55,0.87,35.45,39.15,39.2,178950,-91.55,80175,1514400,N,-550275,YES,39.7,75.15,85.85,35.7,3.39
03-07-2025 09:25,-37,-29.5,-32.4,13275,-1052.7,37575,19275,N,46650,N,-11.14,25553.8,25516.8,03-07-2025 09:25,-11.7,-12,-12.05,401625,-58.05,95850,348750,N,1315875,YES,35.7,24,39.9,22.9,-6.34,19.25,20.95,20.95,-375,-124.8,67500,202725,N,-175125,Y,76.95,96.2,103,67.5,7.55
03-07-2025 09:30,31.5,29.4,26.4,300,-1389.1,43425,26625,N,17175,N,-6.55,25518.3,25549.8,03-07-2025 09:30,2.3,3.1,3.1,257025,-51.1,117150,1177425,Y,649575,N,24.2,26.5,27.9,21.05,-4.79,-19,-19.9,-19.95,-53775,-124.95,70050,-327225,Y,527250,Y,95.85,76.85,98.25,70.3,2.7
03-07-2025 09:35,-2.1,1.2,2.2,11400,-1677.3,42825,4050,N,3825,N,-0.23,25547.8,25545.7,03-07-2025 09:35,-0.95,-1.05,-1.1,14175,-61.95,121050,-431925,YES,56100,N,26.35,25.4,38.45,24.25,-2.46,-4.4,-4.25,-4.25,32475,-100.75,82800,698400,YES,36375,N,76.65,72.25,82.4,51.4,-0.47
03-07-2025 09:40,36.2,36.1,33.3,80775,-1401,39900,28425,Y,-78675,Y,-0.14,25545.4,25581.6,03-07-2025 09:40,13.6,13.3,13.35,49650,-56.85,122475,1145400,Y,-66900,Y,24.8,38.4,38.4,21.55,-1.85,-26.15,-26.45,-26.6,-7200,-98.35,79800,-251025,Y,542850,Y,71.95,45.8,79.7,45.8,-0.53
03-07-2025 09:45,19.3,19.1,19.3,-64875,-1437.7,38025,11250,N,68925,YES,2.38,25585,25604.3,03-07-2025 09:45,6.1,6.25,6.3,-225675,-73.05,97425,-218250,YES,-483900,Y,39.45,45.55,49.75,33.75,0.66,-6.1,-6.4,-6.4,-213825,-74.55,93000,510750,YES,573600,Y,44.9,38.8,48.8,36.2,-3.17
03-07-2025 09:50,21.4,25,24.6,-33825,-1152.4,40050,-22575,YES,-49575,Y,4.67,25604,25625.4,03-07-2025 09:50,26.1,24.95,24.9,-87750,-86.1,85875,108375,Y,-1654650,Y,45.1,71.2,73.8,38.45,1.97,-4.55,-4.7,-4.65,-5100,-69.15,91500,-147750,Y,368025,N,38.4,33.85,47.05,32.7,-2.4
03-07-2025 09:55,13.5,13.7,11,-42975,-1252.2,42225,4125,Y,116625,YES,4.63,25625.4,25638.9,03-07-2025 09:55,8.35,7.3,7.35,28650,-103.75,78750,-30600,YES,-710250,YES,71.65,80,81.45,61.4,2.29,-3.95,-3.55,-3.65,-300,-57.3,86850,-70200,YES,656400,Y,33.5,29.55,38.35,29.55,-2.22
03-07-2025 10:00,-8.4,-9.4,-9,143475,-1240.3,45675,18150,N,131475,N,5.4,25640.4,25632,03-07-2025 10:00,-16.4,-15.9,-15.95,-15225,-108.05,71175,-415275,YES,824325,YES,81.15,64.75,84.1,62.15,1.76,1.15,1.15,1.2,201900,-52.55,98850,747300,YES,448425,N,28.6,29.75,32.6,26.4,-2.18
03-07-2025 10:05,3.6,4.3,4.4,-287025,-1266.9,37350,18450,N,-29475,Y,1.95,25632,25635.6,03-07-2025 10:05,6.2,6.9,6.9,-106200,-107.1,70800,224925,Y,187350,N,65.05,71.25,76.45,58.45,0.88,-2.65,-3,-3,322425,-53.5,91875,268500,N,109575,N,29.95,27.3,35.75,27.3,-1.33
03-07-2025 10:10,-8.3,-10.3,-10,-13350,-1241.5,36900,18750,N,32925,YES,1.06,25636.3,25628,03-07-2025 10:10,-9.15,-8.85,-8.9,-50850,-100.8,75300,-428025,YES,382575,YES,71.35,62.2,74.75,56.75,0.64,1.95,1.85,1.85,144225,-55.65,101400,487800,YES,146625,Y,27.35,29.3,32.45,26.4,-1.17
03-07-2025 10:15,-4.9,0,-3.9,1080075,-1006.4,46275,6525,N,6825,N,1.82,25630,25625.1,03-07-2025 10:15,-2.25,-2.9,-2.85,-149925,-93.9,73275,-89100,Y,-131850,Y,61.95,59.7,71.15,54.85,0.59,-1.45,-1.25,-1.2,77700,-52.5,113700,-65550,Y,295575,Y,29.5,28.05,32,24.05,-1.52
03-07-2025 10:20,16.9,12.3,13.9,-27900,-1626.8,33750,10275,N,-6375,Y,0.74,25628.1,25645,03-07-2025 10:20,14,10.95,11,-35025,-94.2,73050,660075,Y,-207150,Y,61.9,75.9,75.9,57.65,0.49,-5.95,-5.5,-5.55,129450,-50.2,108600,-349200,Y,611850,Y,27.2,21.25,28.55,21.25,-1.3
03-07-2025 10:25,-7.4,-5.8,-6,-16275,-994,35475,33600,Y,-7575,Y,3.79,25645,25637.6,03-07-2025 10:25,-7,-7.5,-7.5,107775,-108.2,69450,-434850,YES,354825,YES,75.1,68.1,80.95,65.9,0.92,0.65,0.8,0.8,-95850,-44.3,135375,-146325,YES,120450,N,21.45,22.1,22.8,19.75,-1.28
03-07-2025 10:30,4.5,5.1,5.7,-69750,-1264.7,35475,6900,N,3750,N,1.07,25637.6,25642.1,03-07-2025 10:30,4.3,5,5,17700,-106.8,75600,141525,Y,-122475,Y,67.9,72.2,82.35,66.75,0.62,-1.2,-1.2,-1.2,-137025,-46.65,125775,-207825,Y,235050,Y,22.1,20.9,22.6,17.7,-1.06
03-07-2025 10:35,-5,-3.4,-5,12750,-1001.1,33600,5550,N,10200,N,0.66,25644.7,25639.7,03-07-2025 10:35,-0.55,-0.8,-0.85,-44475,-111,77025,31650,N,144750,YES,72.2,71.65,81.9,64.15,0.52,-0.3,-0.3,-0.35,250950,-48.2,126900,559800,YES,222825,N,20.95,20.65,22.4,18.2,-0.91
03-07-2025 10:40,-8.7,-4.4,-1.7,-158925,-949.6,40350,-16575,YES,5250,N,0.7,25639.7,25631,03-07-2025 10:40,-4.1,-4.6,-4.6,54300,-102.8,75825,129600,Y,113550,N,71.35,67.25,74.3,62.9,0.31,2.2,2.35,2.4,138375,-46.45,134325,34725,N,-239025,YES,20.7,22.9,23.85,19.5,-0.86
03-07-2025 10:45,-2.3,-2.3,1.5,32700,-624.1,25650,-7875,N,1725,Y,0.53,25630.3,25628,03-07-2025 10:45,-6.95,-6.65,-6.65,24975,-93.7,77250,-312150,YES,216750,YES,67.4,60.45,67.6,57.55,0.24,0.2,0.3,0.35,-271500,-49.6,138675,387825,YES,48150,Y,23.05,23.25,26.05,21.35,-1.02
03-07-2025 10:50,-5.3,-5.2,-10.7,-77400,-945.6,30300,-75,N,-19875,Y,0.7,25628,25622.7,03-07-2025 10:50,-11.3,-11.9,-11.95,73725,-83.8,84375,-309000,N,375150,YES,60.2,48.9,64.9,46.2,0.05,-1.85,-1.7,-1.7,-69375,-50.1,133650,-288075,Y,107175,Y,23.2,21.35,27.7,20.65,-1.18
03-07-2025 10:55,-2.2,-6.6,-3.1,-160575,-1325.8,33450,5850,N,4875,YES,0.22,25622,25619.8,03-07-2025 10:55,-4.55,-4.75,-4.7,319425,-76.25,105600,277800,Y,93000,N,48.6,44.05,50,39.6,-0.19,0.5,0.9,0.85,92175,-52.5,145200,387300,YES,515025,Y,21.45,21.95,25.75,21.35,-0.81
