last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
04-06-2025 09:15,-14.4,-9.3,-10.7,-194100,-1302.4,57675,114975,N,51675,N,-2.35,24687.7,24670.3,-30.4,-27.65,-27.65,-41175,-135.95,59700,-1322925,N,648600,N,-14.18,-10.65,-7.9,-7.75,111075,-156.35,56475,-1483575,N,263025,N,-15.69,-47.6,-54,-54,-3660,-3728,17490,21660,N,34470,N,-26.15
04-06-2025 09:20,17.3,24.4,20.1,-153750,-1375.4,38175,94950,N,41550,N,0.12,24672.9,24690.1,2.9,3.2,3.25,84450,-135.2,62625,495150,Y,435750,N,-4.93,-12.55,-12.55,-12.6,24075,-157.45,59850,143700,YES,335325,Y,-3.5,29.8,30,27.8,92610,-2681.4,16740,270,YES,24150,N,-0.04
04-06-2025 09:25,-5.2,-5.2,-8.3,44175,-1273.7,45975,90300,N,16275,N,3.74,24690,24681,-11.7,-11.95,-11.95,-85425,-137,62625,-314700,YES,196350,N,-3.6,-6.25,-5.6,-5.55,8925,-134.8,66150,15900,N,143475,N,-6.35,-31,-31,-33.8,13920,-3198.6,17820,-7170,YES,10080,N,-1.17
04-06-2025 09:30,-21.6,-19.9,-16.5,117525,-1176.5,37275,10275,N,10275,N,-3.3,24682.7,24664.1,-7.7,-7.7,-7.7,9750,-114.9,67650,210600,Y,314175,YES,-4.23,7.5,8,8.05,-41475,-156.6,64875,94650,YES,192825,Y,0.32,-54.2,-59,-57.2,51780,-3270.6,17880,5220,N,5370,N,-15.78
04-06-2025 09:35,-3.9,-3.9,-2.2,37275,-1286.9,38625,1950,YES,21150,N,-5.5,24664.1,24665,-1.25,-1.7,-1.6,47325,-101.95,66525,35325,N,106275,N,-4.21,-0.45,0.1,0.05,900,-155.8,64575,-16650,Y,-134250,YES,1.27,-35.8,-31.2,-35.8,90000,-3054.2,17400,18240,N,5310,N,-23.42
04-06-2025 09:40,-1.8,1.4,-2.3,88500,-1375.7,40650,-47100,YES,89925,YES,-1.3,24663,24661.6,-4.15,-3.65,-3.6,43125,-99.6,71700,228450,Y,212475,YES,-2.15,1.55,-0.35,-0.35,-15525,-144.4,64275,83400,YES,262575,Y,0.2,-24,-27.6,-22.6,-25020,-2398.4,15330,-3060,YES,1110,Y,-21.2
04-06-2025 09:45,-9.8,-10.9,-7.5,18075,-1376,35400,-1725,Y,78225,N,-1.6,24661.6,24650.2,-4.2,-4.05,-4.05,29475,-100.65,76275,-57150,YES,198300,N,-2.81,2.3,0.85,0.85,121725,-143.7,68175,872925,YES,-15150,YES,0.27,-35.8,-43.4,-38.8,82920,-1546.8,13620,15570,N,-8730,Y,-13.76
04-06-2025 09:50,14.8,10.4,13.2,96150,-1097.3,40500,11025,N,-4875,Y,-2.14,24650.2,24665.5,4.6,4.8,4.8,-3750,-94.45,76350,211725,Y,7050,N,-2.24,-8.15,-8.1,-8.15,-75,-143.05,65400,-134025,Y,133275,Y,0.22,55,55,55,5580,-2241.2,17520,19080,N,-12060,Y,-9.81
04-06-2025 09:55,18,22.9,18.4,91500,-1201.4,39825,8775,N,-1500,N,-0.24,24665.5,24681.5,4.4,5.15,5,-106500,-106.95,69600,12150,N,46050,YES,-1.66,-8.4,-9.15,-9.15,450,-133.45,77025,-105300,YES,13125,N,-0.87,17,14.8,21.8,3960,-2604.6,17460,570,YES,17100,YES,-2.57
04-06-2025 10:00,3.5,4.7,6.6,22875,-977.2,41250,-7875,YES,12525,N,0.5,24681.5,24689,2.85,2.35,2.35,-178650,-107.6,74475,164700,Y,3075,N,-0.94,-6.2,-6,-6,-125175,-125.5,74250,87225,YES,116175,Y,-1.22,15,23,15,-28620,-2247.2,17820,-19770,YES,5520,N,-1.59
04-06-2025 10:05,-2.1,-4.5,-7.7,19800,-960.7,35175,8400,N,-24375,Y,0.88,24689,24681,-2.65,-2.7,-2.7,-44625,-115.4,76500,-186450,YES,4425,N,-0.62,3.5,3.55,3.45,19425,-129.85,68850,26700,N,49275,N,-1.06,-6.8,-5.2,4.4,-12000,-2996.8,16590,5670,Y,6330,N,-0.73
04-06-2025 10:10,9,8.7,7.9,133425,-808.8,37050,94275,Y,1950,YES,0.3,24681,24689.7,0.6,0.4,0.4,-92175,-106.25,76575,96600,Y,100500,YES,-0.62,-2.3,-2.25,-2.1,50475,-131.45,78450,61275,YES,61200,N,-0.71,9.4,3.2,-3,-14580,-2203.8,14250,-3000,YES,24120,N,-0.72
04-06-2025 10:15,0.4,2,0.8,-7800,-1069.1,26700,3000,N,12900,N,0.14,24689.6,24690,1.65,1.8,1.8,-167025,-109.75,73200,179325,Y,101625,N,-0.43,-2.55,-2.65,-2.8,-180375,-131,74325,-43125,Y,44850,N,-0.58,-8.8,-6,-9.4,-29130,-2412.8,17850,4500,N,4740,N,-1.05
04-06-2025 10:20,17,18,18.1,45675,-1075.9,29025,9075,N,5625,N,0.76,24690,24705,8,8.05,8.05,-17625,-113.4,75600,96975,N,-164850,Y,-0.15,-7.35,-7.65,-7.6,-91050,-111.35,69450,142950,YES,150225,Y,-1.18,30,37,29.8,-22200,-1477,14160,-1290,YES,-3300,Y,-0.41
04-06-2025 10:25,-14.2,-14.2,-9.4,313575,-1272.1,46500,-900,YES,-2400,Y,0.92,24705,24691.4,-8.8,-8.55,-8.5,-37800,-106.35,69300,-53700,YES,204150,YES,-0.3,3.3,3.55,3.5,70725,-111.4,71250,-55275,Y,-14250,YES,-0.7,45,45,43.4,150600,-1018,19050,5370,N,-4320,Y,0.65
04-06-2025 10:30,25.6,25.7,21,72225,-1188.9,31650,26850,Y,-9450,Y,0.9,24691.4,24717,12.4,12.65,12.75,73425,-115.7,77550,142875,Y,-377775,Y,-0.04,-10.45,-10.25,-10.45,77925,-108.65,79050,-236100,Y,162825,Y,-1.22,25.2,25,29.4,83220,-2159.6,16890,-4050,YES,540,N,2.41
04-06-2025 10:35,-6,-7.6,-10,-18075,-1195,32100,5925,N,10725,YES,0.67,24715,24706,-4.05,-4.15,-4.1,-101325,-107.95,72225,115350,N,178575,YES,-0.05,2.55,2.85,2.9,-195975,-105.25,83700,260775,YES,65850,N,-0.84,-25.4,-37,-36,14700,-3084,15270,7710,N,22860,YES,1.19
04-06-2025 10:40,4,4.1,5.9,-9375,-1124.6,29925,-975,YES,21900,N,0.89,24706,24714.5,2.45,2.15,2.15,-107700,-106.05,76125,-192825,YES,-196575,Y,0.26,-0.3,-0.2,-0.2,-23550,-99.9,69825,-6225,Y,-39075,YES,-0.85,11.2,22.2,22.4,-19980,-1815.8,11280,-210,YES,1680,Y,0.92
04-06-2025 10:45,-12.1,-13,-14.9,22725,-1397.2,31950,9225,N,14700,N,0.42,24710.1,24700,-7.35,-7.3,-7.5,-109200,-109.5,74400,-90000,Y,322275,YES,-0.04,6.7,6.75,6.75,-162300,-104.55,74475,68475,YES,-171975,YES,-0.71,6.2,16.6,4.2,-3330,-1954.6,15510,0,N,3330,N,1.55
04-06-2025 10:50,-0.6,-1.3,0.7,-34125,-1537.4,35250,11250,N,6750,N,0.29,24700,24695.7,-0.6,-0.55,-0.5,-11025,-107,72225,168675,Y,148800,N,-0.18,0.85,1.05,1.1,-90600,-116.25,71175,-2550,Y,112350,Y,-0.43,-5,-2.8,-1.4,33450,-2597.2,19050,2550,N,4830,N,0.93
04-06-2025 10:55,9.8,8.6,5.5,33300,-1205.4,30075,-2850,YES,3225,N,0.12,24695.7,24705.2,2.5,2.7,2.75,-35475,-110.35,76125,-134250,YES,-26325,Y,-0.17,-3.95,-3.65,-3.75,87825,-111.75,73875,-94500,Y,-27150,YES,-0.45,20,5,12.4,15030,-2973.8,11580,-1980,YES,-1650,Y,0.54
04-06-2025 11:00,-5.2,-7.5,-7.3,5925,-1524.7,36975,1050,N,1725,Y,0.23,24705.2,24700,-1.55,-1.55,-1.55,-21300,-101,76950,-42825,Y,-1425,YES,-0.05,2.7,2.5,2.55,-56175,-95.6,78000,99450,YES,6600,Y,-0.38,8.8,20,9.4,-15540,-2101.8,14190,-1620,N,-7020,Y,2.16
04-06-2025 11:05,5,3,2.2,-376875,-1283.8,38100,24075,Y,2550,N,0.3,24700,24705,0.25,0.25,0.3,-4650,-101.55,69150,79425,Y,60150,YES,-0.03,-2.2,-2.25,-2.25,148350,-105.2,73350,19950,N,30900,Y,-0.23,5,3.2,2.6,-14370,-1792.8,17040,3450,N,-7080,Y,3.23
04-06-2025 11:10,-4.6,-5.8,-6.3,95625,-891.2,34800,8700,N,-3375,Y,0.29,24703.3,24698.7,-4,-3.85,-3.85,-71325,-102.75,78075,23625,N,42150,N,-0.13,1.4,1.2,1.3,76125,-106.25,85425,-61575,Y,49275,N,-0.53,-9.8,-8.2,-7.4,113190,-1200.6,21690,690,YES,-810,N,1.71
