ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
331.95,112560,2025-06-04 09:28:47,1749009527,240,240,329.8,331.4,120,11640,27120,326.56,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,21.75,7.0116
331.95,112560,2025-06-04 09:28:47,1749009528,480,120,329.65,332.5,120,11880,24960,326.56,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,21.75,7.0116
331.95,112560,2025-06-04 09:28:47,1749009529,120,120,330.3,332.35,120,11880,25440,326.56,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,21.75,7.0116
331.95,112560,2025-06-04 09:28:47,1749009530,120,120,329.7,332.1,120,10320,25680,326.56,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,21.75,7.0116
332.1,112560,2025-06-04 09:28:47,1749009531,120,120,329.7,332.1,240,10320,25680,326.56,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,21.9,7.06
332.1,112920,2025-06-04 09:28:51,1749009531,240,840,330.6,332.9,240,12240,26160,326.58,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,21.9,7.06
332.1,112920,2025-06-04 09:28:51,1749009532,120,120,331.4,334.15,240,11760,25680,326.58,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,21.9,7.06
332.1,112920,2025-06-04 09:28:51,1749009534,120,120,330.15,332.9,240,10440,25800,326.58,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,21.9,7.06
331.05,112920,2025-06-04 09:28:51,1749009534,120,120,330.15,332.9,120,10440,25800,326.58,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,20.85,6.7215
331.05,113040,2025-06-04 09:28:54,1749009535,600,240,330.2,332.4,120,10800,26640,326.58,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,20.85,6.7215
331.05,113040,2025-06-04 09:28:54,1749009535,240,240,330.3,332.1,120,11640,26640,326.58,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,20.85,6.7215
331.05,113040,2025-06-04 09:28:54,1749009536,480,480,330.8,333.55,120,11520,25560,326.58,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,20.85,6.7215
333.4,113040,2025-06-04 09:28:54,1749009537,480,120,330.8,333.65,120,11520,25440,326.58,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,23.2,7.479
333.4,113160,2025-06-04 09:28:56,1749009537,360,480,331.2,334.15,120,11640,25800,326.59,309.35,343.9,0,0,315.0,310.2,sf,NSE:MIDCPNIFTY25JUN12700CE,23.2,7.479
