ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
245.0,122280,2025-06-04 09:28:37,1749009531,840,120,246.1,248.15,120,18480,25680,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009532,120,240,245.8,247.65,120,18600,25920,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009532,120,480,245.8,247.65,120,18480,26160,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009534,600,480,246.6,248.7,120,19440,23400,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009535,720,480,246.8,248.9,120,19320,23760,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009535,720,120,246.8,248.85,120,19320,24600,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009536,120,240,245.95,247.8,120,18120,26040,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009537,120,480,246.2,247.9,120,19200,25920,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009537,120,120,246.2,247.8,120,19200,25920,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009539,720,240,246.4,248.45,120,19920,23280,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009540,240,120,247.0,249.0,120,19920,22800,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009540,240,120,247.0,249.0,120,19920,24720,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009541,120,600,247.0,248.95,120,19920,25320,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
245.0,122280,2025-06-04 09:28:37,1749009542,600,120,247.15,249.0,120,19440,25080,257.1,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-25.8,-9.5273
249.0,122400,2025-06-04 09:29:04,1749009544,720,600,248.45,250.15,120,20880,21840,257.09,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-21.8,-8.0502
249.0,122400,2025-06-04 09:29:04,1749009544,720,600,248.45,250.25,120,21120,22440,257.09,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-21.8,-8.0502
249.0,122400,2025-06-04 09:29:04,1749009545,600,120,249.1,251.3,120,20280,23400,257.09,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-21.8,-8.0502
249.0,122400,2025-06-04 09:29:04,1749009545,600,120,249.1,251.3,120,21000,24360,257.09,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-21.8,-8.0502
249.0,122400,2025-06-04 09:29:04,1749009546,120,480,249.1,251.35,120,19440,24360,257.09,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-21.8,-8.0502
249.0,122400,2025-06-04 09:29:04,1749009546,120,120,249.1,251.15,120,19680,24480,257.09,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-21.8,-8.0502
249.0,122400,2025-06-04 09:29:04,1749009548,240,240,248.4,250.7,120,18360,25320,257.09,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-21.8,-8.0502
249.0,122400,2025-06-04 09:29:04,1749009549,480,120,249.0,251.1,120,20160,23880,257.09,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-21.8,-8.0502
249.0,122400,2025-06-04 09:29:04,1749009549,480,120,249.0,251.1,240,20160,23880,257.09,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-21.8,-8.0502
249.0,122760,2025-06-04 09:29:09,1749009550,240,120,249.05,251.05,240,20640,24360,257.07,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-21.8,-8.0502
249.0,122760,2025-06-04 09:29:09,1749009551,240,480,249.05,250.95,240,19800,24840,257.07,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-21.8,-8.0502
249.0,122760,2025-06-04 09:29:09,1749009553,120,600,249.15,251.2,240,19920,22920,257.07,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-21.8,-8.0502
251.25,122760,2025-06-04 09:29:09,1749009553,120,480,249.15,251.2,120,20040,23520,257.07,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-19.55,-7.2194
251.25,122880,2025-06-04 09:29:13,1749009554,120,600,249.75,251.55,120,19200,25200,257.07,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-19.55,-7.2194
251.25,122880,2025-06-04 09:29:13,1749009555,120,480,249.65,251.2,120,19920,25320,257.07,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-19.55,-7.2194
251.25,122880,2025-06-04 09:29:13,1749009556,120,1080,249.8,251.25,120,19920,26160,257.07,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-19.55,-7.2194
251.25,122880,2025-06-04 09:29:13,1749009558,120,480,249.55,251.2,120,20040,26040,257.07,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-19.55,-7.2194
251.25,122880,2025-06-04 09:29:13,1749009559,120,1200,250.0,251.25,120,19320,25440,257.07,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-19.55,-7.2194
251.25,122880,2025-06-04 09:29:13,1749009560,120,1080,250.05,251.25,120,19320,25320,257.07,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-19.55,-7.2194
251.25,122880,2025-06-04 09:29:13,1749009561,120,480,250.05,251.2,120,18720,25320,257.07,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-19.55,-7.2194
251.25,123000,2025-06-04 09:29:22,1749009563,240,960,250.4,251.25,120,19320,25680,257.06,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-19.55,-7.2194
251.25,123000,2025-06-04 09:29:22,1749009564,120,960,250.4,251.25,120,19560,24960,257.06,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-19.55,-7.2194
248.6,124080,2025-06-04 09:29:25,1749009565,120,360,249.6,250.8,120,16200,24120,256.99,241.85,293.15,0,0,293.15,270.8,sf,NSE:MIDCPNIFTY25JUN12700PE,-22.2,-8.1979
