last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
04-07-2025 09:15,4.3,4.2,4.1,-60975,-1648.3,50925,159450,N,95625,N,9.08,25485.6,25489.9,04-07-2025 09:15,0.35,-0.85,-1.2,238800,-181.8,51600,-574200,N,304875,N,168.4,168.75,187.5,165.2,1.51,04-07-2025 09:15,-9.1,-7.75,-7.9,48150,-136.55,54825,-733575,N,378225,N,153.25,144.15,154.5,129.6,-2.96
04-07-2025 09:20,5.1,5.7,0.8,30300,-1552.8,45600,37950,N,37500,N,-5.78,25489.9,25495,04-07-2025 09:20,-4.8,-4.85,-4.8,-34725,-159.15,55500,214800,Y,182925,N,170.2,165.4,175.7,155.05,-5.2,04-07-2025 09:20,-9.45,-9.1,-9.1,47475,-145.25,55800,520125,YES,276450,N,142.75,133.3,149.3,133.3,0.55
04-07-2025 09:25,10.6,8.6,10.7,-69150,-1210.5,40200,6600,N,39525,N,3.32,25496.7,25507.3,04-07-2025 09:25,2.65,2.95,2.95,-43575,-172.8,55275,1002675,Y,116775,N,165.55,168.2,182.05,164.45,0.44,04-07-2025 09:25,-2.25,-2.25,-2.3,-15375,-126,57375,-257775,Y,165825,N,132.75,130.5,133,120.45,-4.05
04-07-2025 09:30,-15.4,-11.4,-10.9,-20250,-1433.6,37425,25050,N,4200,N,-0.07,25507.7,25492.3,04-07-2025 09:30,-7.35,-6.2,-6.25,-7575,-151.35,49050,46800,N,129150,N,168.35,161,174.05,156.25,-1.4,04-07-2025 09:30,4.3,4.05,3.85,16350,-136.55,55125,69525,YES,100725,N,130.85,135.15,139.8,127.5,-0.79
04-07-2025 09:35,-24.1,-23.6,-24.2,156075,-1598.5,38475,9300,N,9075,N,-2.86,25490.6,25466.5,04-07-2025 09:35,-10.1,-9.75,-9.75,117750,-141.3,48225,-120600,YES,101100,N,160.9,150.8,162.3,149.25,-2.41,04-07-2025 09:35,12.75,12.6,12.6,5925,-138.8,49425,113100,YES,-162000,YES,135.9,148.65,150.85,135.05,1.52
04-07-2025 09:40,10.3,8.9,7.6,9975,-1190,36825,27675,N,-65850,Y,-4.34,25466.5,25476.8,04-07-2025 09:40,3.6,3.15,3.2,54150,-126.5,51450,119850,Y,60450,N,150.35,153.95,157.25,144.35,-2.72,04-07-2025 09:40,-3.5,-2.95,-3.05,-46800,-144.7,46050,-136725,Y,74550,Y,149.05,145.55,161.95,141.95,3.24
04-07-2025 09:45,-1.4,-1.2,-2.2,17550,-1199.4,37125,10800,N,22575,YES,-0.48,25476.8,25475.4,04-07-2025 09:45,-0.55,-0.85,-0.85,29775,-155.05,48300,6075,N,139500,YES,153.95,153.4,159.8,151.45,-1.05,04-07-2025 09:45,1.35,1.85,1.85,47925,-137.45,52725,129525,YES,53700,N,145.75,147.1,148.75,138.45,0.16
04-07-2025 09:50,15.7,15.6,18.4,-263025,-972.1,31650,18900,N,6750,N,-0.08,25475.4,25491.1,04-07-2025 09:50,9.1,9,9,-52275,-156.2,58800,70050,Y,-87525,Y,153.4,162.5,166.75,151.9,-0.44,04-07-2025 09:50,-8.85,-8.65,-8.65,-54975,-142.6,53550,-48150,Y,111150,Y,146.9,138.05,152,133.25,0.03
04-07-2025 09:55,5.3,8.1,5.2,-230625,-1105.3,30825,13650,N,-2700,Y,-0.03,25493.9,25499.2,04-07-2025 09:55,4.8,4.45,4.45,-12900,-154.45,56250,68850,N,-8175,YES,161.35,166.15,166.25,151,-0.54,04-07-2025 09:55,-5.55,-6.05,-6.05,-26475,-136.85,52725,-78225,Y,110250,N,138.7,133.15,147.05,132.8,-0.09
04-07-2025 10:00,-10,-10.5,-10,39975,-803.2,35250,-2700,YES,-16650,Y,0.38,25500,25490,04-07-2025 10:00,-5.5,-5.6,-5.45,34875,-156.75,56625,29700,N,137700,YES,164.9,159.4,169.55,155.7,-0.1,04-07-2025 10:00,5.65,5.45,5.4,92250,-138.3,62250,175575,YES,32100,N,134,139.65,142.15,131.85,-0.26
04-07-2025 10:05,10,7.7,11,-133425,-847.9,32475,-14025,YES,7650,YES,0.05,25490,25500,04-07-2025 10:05,6,5.75,5.9,-99600,-150.65,52650,-12900,YES,-57000,Y,159,165,165.9,154.75,-0.15,04-07-2025 10:05,-5.55,-5.65,-5.65,-36975,-141.15,61350,-25800,Y,46575,N,139.8,134.25,143.8,133.1,-0.13
04-07-2025 10:10,-6.3,-3.9,-1.2,-173925,-1100.4,41475,375,N,5400,N,0.18,25500,25493.7,04-07-2025 10:10,-4.95,-4.9,-5.05,39375,-163,59025,-397500,YES,126975,YES,164.75,159.8,167.8,155.2,-0.13,04-07-2025 10:10,0.95,1.4,1.45,-40800,-133.75,60675,-11100,N,89475,Y,133.95,134.9,140.55,130.75,-0.22
04-07-2025 10:15,-4,-0.3,-2.7,-54375,-1016.1,41550,-1650,YES,-5475,Y,0.26,25497.5,25493.5,04-07-2025 10:15,-0.55,-0.95,-0.9,900,-139.3,52275,-24000,Y,38400,N,159.4,158.85,165.15,152.75,-0.22,04-07-2025 10:15,2.45,2.5,2.55,-23100,-124.15,54825,-19950,Y,-3300,YES,135.2,137.65,141.6,129.55,-0.22
04-07-2025 10:20,9.2,9.9,9.2,-379725,-420.9,27075,150,N,16125,YES,0.2,25494.8,25504,04-07-2025 10:20,5.3,5.6,5.6,42150,-146.5,52200,51375,Y,2175,Y,158.65,163.95,164.95,157.25,-0.03,04-07-2025 10:20,-7.05,-7.1,-7.15,121350,-126.65,55575,59925,YES,141825,Y,138,130.95,138.9,130.4,-0.21
04-07-2025 10:25,-3.5,-6,-4.3,-37800,-744.6,30825,6525,N,49350,YES,0.28,25504,25500.5,04-07-2025 10:25,-4.25,-4.1,-4.1,-18600,-140.05,49200,9150,N,-8100,Y,163.5,159.25,167.3,156.3,-0.04,04-07-2025 10:25,3.1,3.2,3.15,123825,-118.7,54600,-108525,Y,-49425,YES,131.35,134.45,136.75,127.6,-0.32
04-07-2025 10:30,-3,-3,-2.3,-51600,-735.8,31050,-1125,YES,-8400,Y,0.07,25498.1,25495.1,04-07-2025 10:30,-1.3,-0.9,-1,-97200,-128.5,47850,-34050,YES,54150,YES,159.2,157.9,161.45,154,-0.19,04-07-2025 10:30,-0.3,-0.45,-0.7,-12450,-120.15,53475,-4800,YES,77775,Y,134.45,134.15,137.9,132,-0.14
04-07-2025 10:35,14.9,14.9,13.9,514725,-862.5,27150,3525,N,-12375,Y,0.54,25495.1,25510,04-07-2025 10:35,6.35,5.85,6.15,-59700,-131.15,48900,39900,Y,-37575,Y,157.65,164,164.2,156.2,-0.06,04-07-2025 10:35,-8.8,-8.85,-8.6,-56475,-111.85,48825,-86325,Y,164700,Y,134.4,125.6,134.95,125.4,-0.35
