last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
05-05-2025 09:15,3.4,3.5,4.8,-149925,-830.1,34875,24225,N,38100,N,-5.23,24500.1,24503.5,-14.25,-13.8,-14.05,13275,-117.9,30600,1795875,N,376050,N,-7.41,8.35,7.3,7.2,-20175,-91.8,33900,2620425,N,169050,N,3.96,-100.2,-100.4,-117.6,10200,-2055.8,8910,6660,N,18270,N,-19.16
05-05-2025 09:20,1.8,-0.8,1.8,-119925,-1008.3,40800,16500,N,-4200,Y,-1.76,24503.1,24509.2,0.85,2.3,2.4,-65025,-131.55,41100,-1967775,YES,153750,N,-2.81,-4.6,-5.95,-6,-5175,-109.8,38400,19725,N,242100,Y,-0.6,-80.8,-54,-54.2,49650,-3164.8,15780,11670,N,4800,N,-51.39
05-05-2025 09:25,5.9,7.4,3.6,-10425,-1250.8,37875,33975,N,-9225,Y,6.14,24509.2,24515.1,2.3,3.05,3.1,-6450,-135.25,39525,53250,Y,-37200,Y,4,4.5,3.95,3.85,-16800,-95.6,42750,59925,YES,161700,N,-3.56,-35.6,-13,-27.2,29640,-3101.2,15600,26730,N,5220,N,-26.81
05-05-2025 09:30,-30.6,-30.3,-23.9,19725,-1409.5,38325,1725,YES,250575,YES,-2.22,24515.1,24484.5,-8.9,-8.7,-8.7,-7875,-128.1,40125,-1575,YES,204600,YES,-1.58,15.3,15.65,15.65,24150,-112.45,44175,95475,YES,-103575,YES,3.33,-97,-91.6,-84.4,25350,-2744.8,14580,7830,N,-3690,Y,-27.85
05-05-2025 09:35,10.7,11.3,10.1,81150,-1232.6,35025,11925,N,-16950,Y,-0.32,24489,24499.7,-1,-1.55,-1.6,-21750,-116.25,37050,75300,Y,51975,N,-0.81,-11.8,-11.4,-11.6,-16500,-110.5,43125,50475,N,243975,Y,0.33,13.4,17.6,10.8,20400,-2129.4,13770,14010,N,-14130,Y,-11.07
05-05-2025 09:40,24.3,15.7,17.1,-36075,-1151.2,31725,15600,N,825,N,0.11,24500.6,24524.9,6.45,6.6,6.75,13425,-120.1,41400,126225,Y,22575,N,-0.4,-8.7,-8.75,-8.7,-81525,-101.5,40350,-28800,Y,220875,N,-0.68,85.2,92,93.2,13680,-3305.2,14910,360,YES,8400,YES,-2.9
05-05-2025 09:45,4.9,3.3,7.3,11625,-1394.1,33375,-46125,YES,1425,N,0.93,24524.6,24525.8,3.05,3.35,3.4,-17625,-114.6,35400,-42525,YES,-3750,Y,0.34,-8.35,-8.5,-8.4,-7800,-91.25,42000,-31650,Y,145200,N,-1.41,-45,-45,-43.2,-9660,-2476.6,15420,-7500,YES,23010,N,-2.16
05-05-2025 09:50,59.8,55.9,55,-45375,-1301.5,35700,28425,Y,-66450,Y,7.32,24525.2,24585,36.6,37.1,37,-18975,-132.9,39075,55500,Y,-493875,Y,3.43,-18.5,-18.25,-18.3,-13800,-73.7,45675,-118425,Y,165225,Y,-2.94,128.4,125.4,128.6,-19710,-2843.8,15450,-6450,N,-7110,Y,1.29
05-05-2025 09:55,17.9,11.8,9.3,-111900,-739.4,36525,49950,Y,26250,YES,8.06,24580.8,24598.7,6.1,5.4,5.35,-14325,-148.4,37725,-102900,YES,-122400,YES,3.13,-6.75,-6.75,-6.75,-9000,-67.6,47850,104475,YES,173025,N,-2.76,54.6,35.8,48.2,180,-2408.4,14820,-1770,N,-5730,N,5.83
05-05-2025 10:00,-20.2,-19.9,-20.4,14250,-1038.8,35475,26625,N,-6975,Y,4.64,24592.8,24572.6,-14.15,-15.05,-15,-20250,-147.1,35100,-88425,N,53175,YES,1.64,7.75,7.95,8,-57450,-67.8,41475,95400,N,93600,N,-1.83,-52,-51.8,-55.4,71910,-3152.4,13800,11250,N,12660,N,6.98
