last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
07-02-2025 09:15,-20.9,-25.45,-24.85,21450,-928.5,27000,39825,N,257175,N,-9.77,23696,23675.1,-8.5,-8.4,-8.3,-63900,-77.7,34425,193500,N,80925,N,-4.65,20.4,20.25,20.45,16650,-120,29475,154875,N,18075,N,6.36
07-02-2025 09:20,-8.5,-7.6,-10,47550,-1305.45,41850,57000,N,247425,N,-13.02,23668.5,23660,-4.25,-3.9,-3.9,-67575,-99.3,40725,56325,N,58725,N,-3.67,7.5,7.6,7.45,675,-161.1,37575,12225,N,33675,N,7.16
07-02-2025 09:25,11.4,8.4,7.9,-16200,-831.45,29100,8775,N,13200,N,-2.2,23660,23671.4,0.95,0.9,1.05,51900,-97.2,42900,19050,N,70050,N,-1.26,-3.75,-2.85,-2.6,13275,-162.55,40875,-9000,Y,21075,N,2.28
07-02-2025 09:30,-0.4,1,2.45,-31575,-1179.75,38100,24975,N,-182550,Y,-1,23671.4,23671,-0.2,0.8,0.9,-37800,-106.5,42975,18825,N,41175,N,-0.76,-1.65,-3.2,-3,37875,-162.8,38775,-15150,Y,23250,N,0.83
07-02-2025 09:35,12.9,16.9,12.7,-6375,-1191.4,25500,23550,N,-14700,YES,-0.05,23674.3,23687.2,1.85,2,2.1,-73275,-107.95,44325,39975,Y,7125,N,-0.41,-11.1,-11.1,-10.85,-58575,-162.9,40275,-2100,N,18600,N,-0.1
07-02-2025 09:40,0.5,0.9,1,-6075,-917.75,27675,-37425,YES,15825,YES,0.97,23687.2,23687.7,-2.25,-2.4,-2.25,9225,-113.9,44925,25800,N,89475,YES,-0.37,-2.3,-2.65,-2.6,-525,-161.05,42975,45375,YES,10650,N,-1.18
07-02-2025 09:45,-17.6,-15.8,-15.45,-7575,-1135.4,33075,16050,Y,19275,N,-0.72,23687.6,23670,-7.35,-7.5,-7.3,65175,-100.4,38475,-14400,YES,22875,N,-1.78,9.6,9.2,9.3,-975,-174,40050,-14025,Y,16950,N,-0.12
07-02-2025 09:50,13.95,15.4,18.5,-9975,-757,30975,24450,N,12150,N,-0.15,23670,23683.95,6.3,7.15,7.1,-23400,-102.9,39750,29700,Y,16725,N,-0.39,-9.75,-10.1,-10.15,19125,-161.3,37200,-5400,N,25950,N,-0.28
07-02-2025 09:55,8.8,8.7,8.25,-27375,-918.9,31425,1125,YES,31350,N,0.45,23683.95,23692.75,3.1,2.3,2.15,25125,-111.35,39975,10950,N,18900,N,-0.15,-6.8,-7.05,-7.1,14475,-157.25,38625,-26175,Y,10575,N,-0.8
07-02-2025 10:00,-41.9,-42.95,-37.5,-7800,-1066.15,31650,10500,N,21075,N,-1.35,23693.8,23651.9,-16.55,-17.1,-17.05,-9825,-110.8,40050,-61950,YES,61275,YES,-1.26,23.35,24.4,24.45,9825,-157.45,39975,20550,YES,-43650,YES,-0.18
