last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
07-04-2025 09:15,-103.55,1000200,90,175275,115800,-97.05,-99,59475,-702.9,25950,-750,N,26850,N,22083.05,22077.05,21973.5,22080,21968.15,07-04-2025 09:15,-45.05,1253025,102,30450,36600,-42.65,-43,-6150,-128,17175,45525,N,30825,N,216.75,171.7,216.75,171.7,242.16,07-04-2025 09:15,102.45,925050,96,35250,35625,103.2,102.55,-375,-336.45,20850,-471375,N,13950,N,342.95,445.4,468.8,342.95,326.4
07-04-2025 09:20,157.35,1673550,180,533025,243450,154.95,150.5,289575,-1641.7,53700,228075,Y,-214950,Y,22084.43,21970.6,22127.95,22200,21944.05,07-04-2025 09:20,47.25,2339850,180,72300,66750,50.45,50.6,5550,-250.85,36600,46200,N,20775,N,167.25,214.5,244.6,156.9,226.77,07-04-2025 09:20,-120.9,2175675,176,305550,70725,-118.9,-119.6,234825,-475.4,39975,-1710000,Y,33375,N,445.85,324.95,456.75,280.05,338.69
07-04-2025 09:25,30.5,596775,180,387600,132750,35.6,33.2,254850,-949.05,44550,71250,N,28200,YES,22091.02,22124.5,22155,22176.15,22106.3,07-04-2025 09:25,-1.35,1731750,181,80325,93525,1.25,1.2,-13200,-212.05,36225,15825,N,26625,N,214.5,213.15,238.75,202.4,226.01,07-04-2025 09:25,-20.3,1563900,181,53850,73050,-21.4,-21.7,-19200,-256.2,36900,-33825,YES,2700,YES,324.5,304.2,336.7,286.3,332.1
07-04-2025 09:30,75,1068375,180,171975,295800,74.3,80.15,-123825,-1332.95,40350,-7650,YES,-53625,Y,22112.97,22155,22230,22282.95,22150.65,07-04-2025 09:30,53.3,3638925,181,81000,98775,55,55.25,-17775,-259.2,33300,14850,N,3450,N,214.2,267.5,303.45,210.15,240.02,07-04-2025 09:30,-28.4,2155800,177,58575,64275,-28.35,-28.55,-5700,-211.35,32925,-23100,N,25200,Y,303.6,275.2,304.1,232.9,316.6
07-04-2025 09:35,-107.85,554625,181,136200,220575,-99.85,-94.25,-84375,-1617.8,37875,-51150,YES,21450,YES,22117.28,22228.45,22120.6,22240,22120.6,07-04-2025 09:35,-64.75,2040450,180,76425,78750,-54.05,-54.15,-2325,-228.75,34200,-25200,YES,47400,YES,270.9,206.15,273.65,206.15,240.52,07-04-2025 09:35,70.3,2124225,180,74325,87825,49.55,49.9,-13500,-280.75,38475,364800,YES,-15825,YES,273,343.3,343.3,265.7,313.74
07-04-2025 09:40,5.15,445125,180,139125,216600,4.8,9.9,-77475,-1302.25,42450,2775,Y,117675,YES,22116.49,22108,22113.15,22152.95,22071,07-04-2025 09:40,6.15,1661025,180,93000,75000,5.55,5.5,18000,-185.45,37350,62925,Y,33375,N,206.1,212.25,230.4,190.15,236.52,07-04-2025 09:40,-21.05,1442475,180,79500,69525,-19,-19,9975,-318.8,41475,-30300,Y,19275,Y,343.4,322.35,349.95,312.05,316.15
07-04-2025 09:45,-12.2,366375,180,257475,113625,-11.15,-13.05,143850,-1271.35,37500,31200,Y,38700,N,22115.2,22119.15,22106.95,22132.6,22051,07-04-2025 09:45,-9.6,1400550,180,96150,106125,-7.7,-7.5,-9975,-189.2,37425,2175,YES,36000,N,212.35,202.75,212.45,182.1,233.16,07-04-2025 09:45,12.65,983925,180,64650,63000,10.15,10.4,1650,-289.35,34800,85575,YES,4500,N,323.55,336.2,364.15,315.4,317.86
07-04-2025 09:50,5,315075,180,66225,89100,6.85,5.55,-22875,-1737.6,36750,112275,Y,-18900,Y,22115.16,22100,22105,22153,22083.9,07-04-2025 09:50,-5.45,1210425,179,87825,115350,-4.45,-4.6,-27525,-185.55,35925,7125,N,10950,N,202.6,197.15,219.7,193.5,231.16,07-04-2025 09:50,-10.1,785700,180,75975,74025,-11.3,-11.3,1950,-281.4,40275,155925,YES,9600,N,336.2,326.1,344.4,295.85,318.06
07-04-2025 09:55,-57.05,420225,180,890925,88875,-55,-53.25,802050,-1240.05,41475,-90900,YES,-2400,N,22113.46,22107.05,22050,22118,22050,07-04-2025 09:55,-29.55,1339575,180,99000,99075,-28.3,-28.4,-75,-175.2,35400,14175,N,41325,YES,198.5,168.95,203.3,168.8,227.69,07-04-2025 09:55,35.5,729825,178,70500,64800,35.65,35.5,5700,-286.65,37200,51600,N,-11400,YES,326.1,361.6,363.35,320,319.2
07-04-2025 10:00,23.65,228900,178,157800,102900,23.4,23.95,54900,-1324.6,38325,29700,Y,328800,YES,22112.58,22050,22073.65,22100,22050,07-04-2025 10:00,11.55,861000,180,94875,103650,11.75,11.95,-8775,-155.55,35775,23250,N,4500,N,167.9,179.45,192.65,167.9,225.61,07-04-2025 10:00,-12.75,403950,179,54000,66150,-13.95,-14.1,-12150,-256.15,31350,14475,N,7425,N,362.35,349.6,362.35,333.7,319.88
