last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close
07-07-2025 09:15,5.4,49125,80,34200,147225,9.2,10.3,-113025,-571.7,22575,34950,N,-75,N,25496.19,25509.6,25515,25520,25490.4,07-07-2025 09:15,3.55,2167875,95,275925,249825,4,4.05,26100,-55.2,29550,104700,N,89850,N,97.2,100.75,103.25,90.5,94.39,07-07-2025 09:15,-2.5,1492275,97,168150,126000,-2.45,-2.55,42150,-86.6,26100,71400,N,104925,N,154.5,152,166.05,151.7,164.23,07-07-2025 09:15,25450.45,25470.5,25407.25,25447.35
07-07-2025 09:20,7.7,152400,176,125475,192675,12.3,8.2,-67200,-1850.7,46050,94575,Y,42525,YES,25509.71,25517.2,25524.9,25545,25512.7,07-07-2025 09:20,2.2,8430525,216,494400,441900,1.65,1.6,52500,-125.15,60375,25200,N,347400,YES,100.95,103.15,116,99.7,101.75,07-07-2025 09:20,-9.8,3662325,216,311250,293100,-9.25,-9.2,18150,-150.85,54675,75375,N,166875,Y,152.8,143,153.45,138.8,156.04,07-07-2025 09:20,25445.2,25480.9,25443.2,25449.95
07-07-2025 09:25,-13.6,79200,136,145875,141225,-10.7,-9.1,4650,-1818.6,53475,3900,N,12750,N,25511.99,25524.9,25511.3,25535,25508.2,07-07-2025 09:25,-6.45,3940200,256,568050,539400,-6.35,-6.4,28650,-115.75,64575,-3150,YES,156975,N,102.6,96.15,105.15,94.7,101.24,07-07-2025 09:25,6.3,2419350,256,294675,282225,6,5.85,12450,-156.75,57750,63750,N,23325,N,143.55,149.85,154.1,141.35,154.16,07-07-2025 09:25,25450.7,25452.75,25433.7,25439.9
07-07-2025 09:30,49.1,137775,185,104700,200175,49.4,48.8,-95475,-1526,52125,27150,Y,-32475,Y,25518.2,25510.9,25560,25567.6,25509.2,07-07-2025 09:30,25.5,8441550,249,592425,447675,24.3,24.4,144750,-117.45,62775,267300,Y,-224925,Y,96.45,121.95,122.5,92,103.32,07-07-2025 09:30,-22.8,3381975,230,288375,347100,-21.75,-21.95,-58725,-142.95,58650,-117225,Y,116175,Y,149.75,126.95,151.5,126,150.13,07-07-2025 09:30,25441.4,25480.5,25439.8,25478
07-07-2025 09:35,6.4,102225,208,156450,121050,5,4.3,35400,-1435.1,43575,-4875,YES,43800,YES,25524.94,25560,25566.4,25574.8,25554,07-07-2025 09:35,1.5,9459750,250,506025,459975,2.75,2.8,46050,-136.45,61875,72675,N,328425,YES,120.25,121.75,128.8,114.45,108.29,07-07-2025 09:35,-1.7,3438000,252,393450,349875,-1.45,-1.55,43575,-125.9,61650,126600,YES,99375,N,128.5,126.8,131.05,123.25,145.56,07-07-2025 09:35,25478.2,25489.8,25470.45,25479.65
07-07-2025 09:40,-27.8,55950,162,175425,99150,-25,-23.6,76275,-1552.7,42450,20550,Y,2250,Y,25526.52,25567.8,25540,25567.8,25531.9,07-07-2025 09:40,-16.15,5655300,237,474375,525525,-16,-16.05,-51150,-127.85,60825,-102450,YES,223275,N,122.85,106.7,124.3,104.75,108.87,07-07-2025 09:40,10.1,3932100,241,448350,464700,9.6,9.7,-16350,-139.65,61725,57900,N,18975,N,126.45,136.55,138.9,126.2,143.27,07-07-2025 09:40,25479.45,25480.85,25446.7,25451.9
07-07-2025 09:45,-4.8,40350,150,95625,101850,-8,-8,-6225,-1270.4,38850,43350,Y,-2925,Y,25527.01,25540,25535.2,25542.9,25528.3,07-07-2025 09:45,-4.9,3171525,247,515100,627375,-3.7,-3.75,-112275,-114.7,59475,68850,Y,99750,N,106.5,101.6,108.65,101.6,108.6,07-07-2025 09:45,4.1,2746200,239,366600,396375,3.35,3.45,-29775,-142.2,62400,-14100,Y,29625,N,136.85,140.95,141.7,134.55,142.68,07-07-2025 09:45,25451.8,25452.95,25440.95,25446.65
07-07-2025 09:50,18.8,54000,135,114375,133800,20.4,17.3,-19425,-1292.6,43950,-93900,YES,-31875,Y,25527.51,25534.2,25553,25553,25521.2,07-07-2025 09:50,9.8,4890525,213,487425,576000,9.7,9.7,-88575,-117.1,64350,77100,N,-1800,Y,102.4,112.2,114.95,98.35,108.4,07-07-2025 09:50,-8.95,3076050,220,362850,342975,-8.8,-8.85,19875,-144.15,60600,-17550,Y,29400,N,140.4,131.45,145.7,130.05,142.26,07-07-2025 09:50,25446.8,25466.6,25438.9,25465.65
07-07-2025 09:55,-7,34275,149,123525,121950,-9.8,-5,1575,-1016.5,36750,14025,Y,15825,YES,25528.53,25552,25545,25560.9,25541.4,07-07-2025 09:55,-3.95,5903100,214,546300,492750,-2.5,-2.5,53550,-134.25,63450,-62850,YES,91200,YES,112.7,108.75,122,107.75,109.09,07-07-2025 09:55,2.75,2426325,210,418575,522300,1.2,1.15,-103725,-138.55,60750,128400,YES,6450,N,131.2,133.95,135.85,126.45,141.3,07-07-2025 09:55,25465.95,25473.3,25459,25462.1
07-07-2025 10:00,-2.1,24600,102,72525,177900,2.8,-2.2,-105375,-1099.3,41325,31425,N,7500,N,25529.1,25548.1,25546,25555,25540.9,07-07-2025 10:00,-0.25,3802350,217,525900,532575,-0.2,-0.2,-6675,-125.85,63675,64575,Y,98550,N,108.4,108.15,113.45,103.8,109.09,07-07-2025 10:00,-1.75,1899750,216,478350,467850,-1.85,-1.8,10500,-130.95,61125,50100,N,52050,Y,133.7,131.95,135.9,127.7,140.69,07-07-2025 10:00,25461.5,25469.3,25457.2,25457.35
