last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
07-11-2024 09:30,0,2.9,5.25,47500,-758.9,15175,20225,N,13575,N,-7.49,24468,24468,07-11-2024 09:30,-0.45,-0.5,-0.45,-99850,-19.5,36775,116450,N,90550,N,10.75,10.3,11.6,9.05,-0.88,07-11-2024 09:30,-14.55,-13.5,-13.5,11100,-224.4,18550,-725,N,975,N,275.95,261.4,280.2,258.45,4.12
07-11-2024 09:35,-22.2,-17.8,-21,88050,-843.5,14925,-4250,YES,23825,N,-3.58,24472.65,24450.45,07-11-2024 09:35,-1.45,-1.35,-1.35,399950,-24.35,54625,-116575,YES,152300,YES,10.35,8.9,10.75,8.4,-0.9,07-11-2024 09:35,20.2,21.15,21.2,13875,-285.65,27375,5200,N,-7875,YES,261.05,281.25,284.5,259.25,3.45
07-11-2024 09:40,19.7,16,18.65,-23675,-993.4,15650,2225,N,-4900,Y,-4.33,24452.1,24471.8,07-11-2024 09:40,0.3,0.4,0.4,-1123000,-22.3,61175,79000,Y,149200,N,8.95,9.25,10.55,8.45,-0.75,07-11-2024 09:40,-22.35,-19.7,-20,5350,-293.35,26125,-58100,Y,9075,N,280.35,258,292.1,252.65,3.74
07-11-2024 09:45,8.7,2.35,1.9,950,-1217.35,14125,-3875,YES,31700,YES,-1.66,24468.05,24476.75,07-11-2024 09:45,0.95,1.15,1.15,-769075,-23,66900,142600,Y,-25575,Y,9.3,10.25,13.55,8.45,-0.55,07-11-2024 09:45,3.9,2.45,2.35,5375,-282,27025,-311850,Y,-3475,YES,256.1,260,271,241.25,1.66
07-11-2024 09:50,-29.7,-24.5,-26.75,-48875,-1084.85,15100,-1750,N,2175,Y,-2.26,24474.7,24445,07-11-2024 09:50,-2.4,-2.25,-2.25,-1067100,-22.85,70325,-243475,YES,264475,YES,10.15,7.75,10.15,7.75,-0.35,07-11-2024 09:50,17.25,16.95,16.8,-1575,-267.3,26350,15025,YES,725,N,263.75,281,283.55,261.45,2.17
07-11-2024 09:55,-56,-54.65,-56.15,-11425,-1169.2,19050,-33950,YES,7850,N,-11.36,24444,24388,07-11-2024 09:55,-0.9,-0.85,-0.8,328650,-21.75,62000,34775,Y,-145325,Y,7.5,6.6,7.75,6.6,-0.61,07-11-2024 09:55,56,57.2,57.65,4075,-323.75,20875,-9875,Y,-18925,YES,282.8,338.8,341.8,275.35,6.61
07-11-2024 10:00,-58.85,-58.7,-57.75,7975,-1222,20925,-7675,Y,15725,N,-26.1,24385.1,24326.25,07-11-2024 10:00,-2.1,-2.15,-2.15,1505950,-20.7,94475,-652400,YES,335975,YES,6.6,4.5,6.7,4.4,-0.89,07-11-2024 10:00,55.05,56.8,57.1,-12600,-462.35,25600,-708950,Y,-11975,N,343.1,398.15,404.65,338.15,9.51
07-11-2024 10:05,8.9,7.4,8.35,10725,-860.4,18875,49450,Y,11750,N,-10.73,24326.1,24335,07-11-2024 10:05,-0.25,-0.25,-0.2,1131550,-21.1,70525,112200,Y,193550,N,4.5,4.25,4.75,4.2,-0.44,07-11-2024 10:05,-6.95,-6.75,-6.95,0,-412.55,21575,-344675,YES,8550,Y,397.75,390.8,411.5,377.55,3.7
07-11-2024 10:10,-10,-8.9,-5.45,47600,-783.9,17550,-21725,YES,8750,N,-6.29,24335,24325,07-11-2024 10:10,-0.4,-0.35,-0.35,-97525,-19.95,71375,54375,N,-500,Y,4.2,3.8,4.35,3.55,-0.46,07-11-2024 10:10,0.55,0.4,0.2,6900,-358.55,21300,-3600,YES,-7125,YES,393.3,393.85,413.5,389,1.75
07-11-2024 10:15,1.85,0,-1.55,36575,-940.1,15525,25625,Y,9150,N,-3.56,24326.1,24327.95,07-11-2024 10:15,-0.3,-0.3,-0.3,-21250,-20.35,76775,-173325,YES,251675,YES,3.85,3.55,3.95,3.55,-0.29,07-11-2024 10:15,1.35,1.15,1.3,-4075,-333.15,24300,-4200,Y,4600,N,393.85,395.2,400,378.35,1.31
