last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
2025-05-09 09:15:00,-32.50000000000003,3441975.0,180,-32.349999999999994,-32.45000000000002,-5175,-115.85000000000582,21300,16725.0,N,179400.0,N,265.6,233.1,265.6,224.25,254.1
2025-05-09 09:20:00,-3.450000000000017,5362500.0,356,-3.8500000000000227,-3.5999999999999943,-6300,-257.29999999998836,51975,49875.0,YES,148875.0,N,235.9,232.45,250.0,217.9,246.62
2025-05-09 09:25:00,-1.700000000000017,4762350.0,344,-1.8000000000000114,-1.6500000000000057,-122100,-244.09999999997672,47250,72075.0,YES,125925.0,N,233.15,231.45,243.65,208.6,240.76
2025-05-09 09:30:00,20.19999999999999,4597200.0,359,19.099999999999994,19.099999999999994,26700,-268.4499999999971,55425,111525.0,YES,-10275.0,YES,231.65,251.85,257.45,228.15,241.47
2025-05-09 09:35:00,-19.19999999999999,3576825.0,359,-19.099999999999994,-19.30000000000001,-69375,-260.0,53700,-6450.0,Y,118050.0,Y,251.7,232.5,255.6,228.65,241.68
2025-05-09 09:40:00,2.0500000000000114,2695800.0,358,2.0,2.299999999999983,6000,-212.39999999999418,48150,64575.0,YES,37575.0,N,232.0,234.05,239.0,221.15,240.46
2025-05-09 09:45:00,9.75,2655225.0,356,9.949999999999989,9.900000000000006,-83850,-238.8000000000029,52050,26250.0,N,13725.0,N,233.95,243.7,243.7,225.85,240.23
2025-05-09 09:50:00,5.0,3555300.0,351,5.099999999999994,5.049999999999983,-15600,-247.9499999999971,53250,-4425.0,Y,-39450.0,YES,243.05,248.05,250.0,234.0,240.6
2025-05-09 09:55:00,1.9000000000000057,3756975.0,356,2.5,2.4000000000000057,-16350,-252.50000000001455,55650,62175.0,YES,-2175.0,Y,248.7,250.6,253.65,238.2,241.29
2025-05-09 10:00:00,27.49999999999997,6503100.0,359,27.900000000000006,27.950000000000017,38175,-271.30000000004657,51450,-6150.0,Y,-281175.0,YES,251.4,278.9,281.85,247.1,244.95
2025-05-09 10:05:00,2.5,5531850.0,358,2.400000000000034,2.3000000000000114,-64275,-307.54999999998836,57975,-60150.0,Y,-54525.0,Y,277.5,280.0,305.9,267.0,249.58
2025-05-09 10:10:00,-46.849999999999966,4331175.0,356,-44.25,-44.04999999999998,-10050,-256.5,49425,-195825.0,Y,115650.0,Y,280.9,234.05,286.2,234.05,250.08
2025-05-09 10:15:00,5.699999999999989,3801825.0,347,6.150000000000006,6.0,-127275,-241.84999999999127,55575,147675.0,YES,129300.0,N,234.8,240.5,244.0,227.4,249.06
2025-05-09 10:20:00,-10.150000000000006,3504450.0,356,-11.099999999999994,-11.150000000000006,-59850,-249.05000000004657,59550,-59550.0,Y,141300.0,N,241.55,231.4,248.95,225.15,248.41
2025-05-09 10:25:00,5.299999999999983,2154750.0,336,5.0,5.099999999999994,-106650,-248.90000000000873,53175,75525.0,YES,58875.0,N,232.4,237.7,245.65,230.05,248.05
2025-05-09 10:30:00,5.900000000000006,1794525.0,342,6.300000000000011,6.400000000000006,-20025,-231.10000000000582,59475,63600.0,N,-23550.0,YES,239.1,245.0,245.4,230.75,247.78
2025-05-09 10:35:00,4.200000000000017,2616900.0,353,4.400000000000006,4.5,-85125,-255.54999999998836,61650,-21000.0,Y,-42450.0,YES,245.45,249.65,251.6,230.0,247.51
2025-05-09 10:40:00,4.25,2806875.0,354,3.3499999999999943,3.5,46050,-249.65000000002328,55125,45000.0,YES,51825.0,Y,247.4,251.65,254.6,240.65,247.57
2025-05-09 10:45:00,2.0,2409975.0,354,2.5,2.4000000000000057,41100,-255.09999999997672,60975,-25275.0,Y,-27975.0,YES,251.95,253.95,256.6,246.75,247.72
2025-05-09 10:50:00,20.0,3827325.0,355,19.75,19.850000000000023,-53025,-254.75,58350,14325.0,YES,-153300.0,YES,255.0,275.0,276.25,249.35,248.61
2025-05-09 10:55:00,-5.300000000000011,3085425.0,359,-5.2999999999999545,-5.350000000000023,75,-272.9000000000233,59700,-80625.0,Y,49425.0,Y,274.1,268.8,280.95,263.05,249.52
2025-05-09 11:00:00,-11.75,2471175.0,344,-12.800000000000011,-12.5,49125,-249.5,58125,-25125.0,YES,61425.0,N,268.0,256.25,269.85,251.55,249.87
2025-05-09 11:05:00,0.39999999999997726,2094000.0,327,0.5,0.44999999999998863,39150,-235.0,54300,70725.0,YES,4050.0,N,256.25,256.65,257.95,246.5,249.92
2025-05-09 11:10:00,-13.600000000000023,2821650.0,331,-13.849999999999994,-14.149999999999977,-16575,-240.05000000001746,54750,-79500.0,Y,115575.0,Y,256.05,242.45,261.0,239.15,249.94
2025-05-09 11:15:00,0.05000000000001137,1926450.0,360,0.5999999999999943,0.4000000000000057,-100050,-231.85000000000582,58950,38400.0,YES,1350.0,YES,242.45,242.5,247.8,237.95,249.79
2025-05-09 11:20:00,-7.299999999999983,2304600.0,360,-7.199999999999989,-7.049999999999983,-23625,-237.35000000000582,54000,-67875.0,Y,58650.0,Y,241.7,234.4,249.0,230.65,249.51
2025-05-09 11:25:00,-23.099999999999994,3416400.0,360,-23.349999999999994,-23.5,-30975,-228.6999999999971,55575,-189675.0,Y,36675.0,N,234.15,211.05,236.55,208.8,248.46
2025-05-09 11:30:00,2.049999999999983,3584550.0,360,1.950000000000017,1.9000000000000057,-131400,-226.59999999999127,61725,127650.0,YES,137625.0,Y,211.05,213.1,216.65,203.6,247.08
