last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
09-05-2025 09:15,13.2,508500,113,21.6,17.6,253500,-601.4,24825,106950,N,-10650,N,24124.83,24139.3,24152.5,24195.9,24123.8,09-05-2025 09:15,10.45,1511325,184,9.8,10.05,-5700,-167.8,22725,-406950,N,1800,N,319.15,329.6,365.3,319.15,332.56,09-05-2025 09:15,-32.5,3441975,180,-32.35,-32.45,-5175,-115.85,21300,16725,N,179400,N,265.6,233.1,265.6,224.25,254.1
09-05-2025 09:20,-3.8,654525,253,-8.6,-6.6,369225,-1479.1,61125,26775,N,-3750,N,24133.7,24150,24146.2,24203.9,24116,09-05-2025 09:20,-7,1576425,355,-8.35,-8.7,-150,-360.4,48525,-155100,Y,32775,YES,330.8,323.8,364.3,306.75,332.65,09-05-2025 09:20,-3.45,5362500,356,-3.85,-3.6,-6300,-257.3,51975,49875,YES,148875,N,235.9,232.45,250,217.9,246.62
09-05-2025 09:25,-3.6,490350,286,-8,-6,81000,-1752.3,55050,7500,N,95775,YES,24140.28,24145.6,24142,24212.2,24122.2,09-05-2025 09:25,-11.95,1691850,344,-11.35,-11.2,-7200,-363.2,44550,-76350,Y,20475,N,325,313.05,363.1,301.75,333.26,09-05-2025 09:25,-1.7,4762350,344,-1.8,-1.65,-122100,-244.1,47250,72075,YES,125925,N,233.15,231.45,243.65,208.6,240.76
09-05-2025 09:30,-44.8,299325,288,-40.3,-41.7,159825,-1785.9,51000,8400,N,44325,N,24137.99,24144.1,24099.3,24153.2,24090,09-05-2025 09:30,-26.8,1285800,359,-25.25,-25.45,1575,-321.25,47775,30900,Y,81675,YES,314.7,287.9,319.45,280.55,327.77,09-05-2025 09:30,20.19999999999999,4597200,359,19.099999999999994,19.099999999999994,26700,-268.45,55425,111525,YES,-10275,YES,231.65,251.85,257.45,228.15,241.47
09-05-2025 09:35,33.7,242025,209,34.2,33.7,-11025,-1357,51825,78750,Y,202800,YES,24135.79,24099.3,24133,24135.7,24090.1,09-05-2025 09:35,13.45,1370850,359,13.1,13.05,-64875,-313.3,53100,51075,Y,-9075,Y,287.15,300.6,303.1,284.15,322.8,09-05-2025 09:35,-19.2,3576825,359,-19.1,-19.3,-69375,-260,53700,-6450,Y,118050,Y,251.7,232.5,255.6,228.65,241.68
09-05-2025 09:40,15.9,185250,211,10.7,16.7,15225,-1584.7,47850,134550,Y,-86775,Y,24136.74,24130.6,24146.5,24175,24128.6,09-05-2025 09:40,12.65,1501275,359,12.35,12.45,-5250,-322,46725,90450,Y,-32250,Y,300.85,313.5,332.55,298.85,321.96,09-05-2025 09:40,2.0500000000000114,2695800,358,2,2.299999999999983,6000,-212.4,48150,64575,YES,37575,N,232,234.05,239,221.15,240.46
09-05-2025 09:45,-36.5,131100,282,-37.8,-38.3,-32250,-2072.8,55500,-5175,YES,63825,YES,24136.58,24146.5,24110,24167,24106.2,09-05-2025 09:45,-26.7,1004475,355,-26.7,-26.6,-8250,-319.65,48075,-20475,YES,44250,YES,313.55,286.85,331.8,286.85,320.71,09-05-2025 09:45,9.75,2655225,356,9.949999999999989,9.900000000000006,-83850,-238.8,52050,26250,N,13725,N,233.95,243.7,243.7,225.85,240.23
09-05-2025 09:50,-20.8,274575,299,-20.8,-22.9,89625,-1590.7,57300,90825,Y,-14925,Y,24134.23,24106.2,24085.4,24118,24085.4,09-05-2025 09:50,-16.2,1495950,351,-16,-16.4,-4425,-279.25,55125,502275,Y,43200,N,287.2,271,288.15,268.95,316.04,09-05-2025 09:50,5,3555300,351,5.099999999999994,5.049999999999983,-15600,-247.95,53250,-4425,Y,-39450,YES,243.05,248.05,250,234,240.6
09-05-2025 09:55,-17.3,325425,295,-18.5,-18,790125,-1539.1,46575,10575,N,31275,YES,24130.1,24086.2,24068.9,24106.5,24065.1,09-05-2025 09:55,-21.4,1660725,355,-21.6,-21.75,-15750,-266,55800,-15150,YES,64350,YES,270.4,249,280,248.25,310.11,09-05-2025 09:55,1.9000000000000057,3756975,356,2.5,2.4000000000000057,-16350,-252.5,55650,62175,YES,-2175,Y,248.7,250.6,253.65,238.2,241.29
09-05-2025 10:00,-44,352650,337,-41,-42.5,2481300,-1465,60900,-148800,YES,143175,YES,24123.77,24070,24026,24074.5,24025,09-05-2025 10:00,-14.5,2677425,359,-14.2,-14.25,-17175,-241.85,52950,-397275,YES,51375,N,250,235.5,257.1,231.95,299.94,09-05-2025 10:00,27.49999999999997,6503100,359,27.900000000000006,27.950000000000017,38175,-271.3,51450,-6150,Y,-281175,YES,251.4,278.9,281.85,247.1,244.95
09-05-2025 10:05,9,353850,333,8.6,6.7,366975,-1308.9,50400,-36525,Y,27525,N,24116.5,24026,24035,24050,23998.4,09-05-2025 10:05,2.4,2875725,349,2.9,2.75,25050,-241.5,56925,61500,Y,123150,YES,236.4,238.8,246,225.6,291.08,09-05-2025 10:05,2.5,5531850,358,2.400000000000034,2.3000000000000114,-64275,-307.55,57975,-60150,Y,-54525,Y,277.5,280,305.9,267,249.58
09-05-2025 10:10,86.1,315600,288,88.7,88.1,-191700,-1715.9,50475,62175,Y,-108525,Y,24113.99,24035,24121.1,24124.7,24025,09-05-2025 10:10,49.05,4567575,347,49.75,49.9,-34575,-253.4,48225,-18525,YES,-243825,Y,238.65,287.7,292.55,233.85,285.51,09-05-2025 10:10,-46.85,4331175,356,-44.25,-44.05,-10050,-256.5,49425,-195825,Y,115650,Y,280.9,234.05,286.2,234.05,250.08
09-05-2025 10:15,-9.1,201750,299,-9.1,-7.9,36825,-1839.6,48000,58875,N,7125,YES,24114.58,24121.1,24112,24149.9,24106,09-05-2025 10:15,-2.3,3161925,360,-2.8,-2.55,115275,-318.2,50775,-58800,YES,15450,YES,290.3,288,310.8,283,286.83,09-05-2025 10:15,5.699999999999989,3801825,347,6.150000000000006,6,-127275,-241.85,55575,147675,YES,129300,N,234.8,240.5,244,227.4,249.06
