last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume
09-06-2025 10:50,6,41100,155,117075,148800,7.9,5.3,-31725,-793.9,33075,6150,N,2925,N,25183.08,25208,25214,25214.9,25205.1,09-06-2025 10:50,2.8,1135500,315,573300,602700,2.75,2.8,-29400,-118.75,60300,4050,N,13725,N,114.55,117.35,118,113.35,113.96,09-06-2025 10:50,-4.05,459150,297,281475,255375,-3.8,-3.8,26100,-166.7,52650,9975,N,16350,N,183.65,179.6,183.75,178.4,202.86,09-06-2025 10:50,1749446400,14.81,14.84,14.81,14.82,0
09-06-2025 10:55,-14,39900,167,218775,238575,-13,-13.2,-19800,-966.3,35475,-9000,YES,9300,N,25183.65,25214,25200,25214.3,25200,09-06-2025 10:55,-7,1499475,347,488325,609000,-7.1,-7.05,-120675,-109.2,58650,-123150,YES,62025,YES,117.2,110.2,117.4,110.05,113.96,09-06-2025 10:55,4.65,516900,329,312375,272925,4.9,4.95,39450,-169.55,57150,16050,N,5325,N,179.6,184.25,184.45,178.25,202.28,09-06-2025 10:55,1749446700,14.82,14.83,14.77,14.78,0
09-06-2025 11:00,6.4,27375,141,104775,157875,7,6.6,-53100,-1236.8,33675,3525,N,675,Y,25183.98,25200,25206.4,25214.7,25197.5,09-06-2025 11:00,2.5,1741800,339,567600,544575,2.65,2.65,23025,-112.65,63225,53625,Y,59025,N,110.25,112.75,115.7,109.55,113.92,09-06-2025 11:00,-1.9,880125,327,277200,427200,-2.1,-2.35,-150000,-164.45,61800,-14700,Y,20250,N,183.4,181.5,184.8,175.05,201.25,09-06-2025 11:00,1749447000,14.79,14.8,14.76,14.77,0
09-06-2025 11:05,-11.7,24225,145,96075,126075,-12.8,-11.7,-30000,-1051.7,34650,-2850,YES,4500,N,25184.18,25206.6,25194.9,25209.2,25192.3,09-06-2025 11:05,-4.9,1770600,333,704775,539925,-5.1,-5.05,164850,-114.45,65325,-43050,YES,-4950,Y,112.6,107.7,113.7,106.2,113.76,09-06-2025 11:05,6.55,955875,327,330900,329850,6.15,6.2,1050,-175.8,65400,-10275,N,-39675,YES,181.3,187.85,190.75,180.35,200.57,09-06-2025 11:05,1749447300,14.77,14.78,14.74,14.76,0
09-06-2025 11:10,-2.1,19800,131,69750,132225,-2,-0.9,-62475,-873.4,31650,4125,N,-16500,Y,25184.31,25193.6,25191.5,25200,25190,09-06-2025 11:10,-0.7,1034850,305,541050,725700,-0.75,-0.75,-184650,-104.9,60375,-34350,N,-2925,N,107.8,107.1,111.3,106.65,113.68,09-06-2025 11:10,-0.5,637500,292,300525,278700,-0.8,-0.65,21825,-171.15,53475,10650,YES,25725,Y,187.45,186.95,190.25,181.85,200.11,09-06-2025 11:10,1749447600,14.76,14.77,14.74,14.75,0
09-06-2025 11:15,3,21075,108,117975,105150,-3.5,0.5,12825,-1340.6,30750,3675,N,1350,N,25184.37,25191.5,25194.5,25199,25185,09-06-2025 11:15,-2.9,1747875,331,645525,678375,-2.95,-2.9,-32850,-104.9,59625,-10125,Y,1575,N,107.5,104.6,109.25,102.5,113.42,09-06-2025 11:15,-0.85,623625,319,335250,276450,-0.5,-0.5,58800,-181.5,52425,8925,N,12900,N,186.4,185.55,189.5,181.35,199.72,09-06-2025 11:15,1749447900,14.76,14.77,14.73,14.74,0
09-06-2025 11:20,1.9,22725,113,83850,93225,7.1,2.4,-9375,-1471.7,39825,2325,YES,300,Y,25184.46,25194.5,25196.4,25198.3,25185,09-06-2025 11:20,0.6,1324500,333,726450,764625,0.5,0.65,-38175,-113.45,63975,375,N,58125,YES,104.6,105.2,106.2,100.8,113.2,09-06-2025 11:20,-1.05,530775,318,292275,296775,-1,-0.95,-4500,-185.9,54750,-15225,Y,-18750,YES,186,184.95,190.85,182.95,199.4,09-06-2025 11:20,1749448200,14.73,14.75,14.71,14.71,0
09-06-2025 11:25,-6.4,30450,147,58125,109650,-12,-6.8,-51525,-1620,34875,-5175,YES,-2025,Y,25184.53,25196.4,25190,25196.4,25181,09-06-2025 11:25,-1.5,988200,361,640500,417600,-1.85,-2,222900,-92.95,61425,9525,N,7425,N,105.25,103.75,105.5,101.5,113.04,09-06-2025 11:25,5.45,669975,352,276975,351675,4.4,4.55,-74700,-177.7,53700,4950,YES,46275,Y,185.15,190.6,193.8,184.45,199.14,09-06-2025 11:25,1749448500,14.72,14.77,14.71,14.75,0
09-06-2025 11:30,5.2,31725,151,59925,304050,3.2,-1.1,-244125,-1424.8,37350,2775,N,-44400,Y,25184.6,25183.7,25188.9,25193.3,25182.2,09-06-2025 11:30,0.4,928050,337,574725,604800,-0.1,0.05,-30075,-100.4,65025,1800,YES,41175,YES,103.8,104.2,105.95,102.25,112.9,09-06-2025 11:30,0.05,449700,329,310500,246150,0.1,0.05,64350,-189.5,57600,-2325,Y,19125,N,190.55,190.6,193.1,188.1,198.98,09-06-2025 11:30,1749448800,14.76,14.77,14.73,14.75,0
09-06-2025 11:35,6.1,23775,130,48750,205875,3.5,6.1,-157125,-915.7,30975,2475,YES,150,YES,25184.68,25188.9,25195,25198.6,25186.2,09-06-2025 11:35,1.55,1250325,293,652950,658350,1.35,1.4,-5400,-98.75,59400,47775,Y,38775,N,103.85,105.4,107.15,102.85,112.75,09-06-2025 11:35,-3.2,592200,262,301425,362625,-2.8,-2.8,-61200,-168.8,50925,-8100,Y,25725,N,191.1,187.9,191.4,184,198.69,09-06-2025 11:35,1749449100,14.76,14.76,14.73,14.74,0
