ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
110.3,243700,2024-12-09 09:15:20,1733715920,25,150,109.95,110.35,25,1468275,253050,112.46,105.7,128.95,0,0,128.95,134.7,sf,NSE:NIFTY24D1224800CE,-24.4,-18.1143
110.25,243700,2024-12-09 09:15:20,1733715921,25,150,109.95,110.35,25,1468275,253050,112.46,105.7,128.95,0,0,128.95,134.7,sf,NSE:NIFTY24D1224800CE,-24.45,-18.1514
109.9,243700,2024-12-09 09:15:20,1733715922,25,150,109.95,110.35,25,1468275,253050,112.46,105.7,128.95,0,0,128.95,134.7,sf,NSE:NIFTY24D1224800CE,-24.8,-18.4113
107.2,281600,2024-12-09 09:15:23,1733715923,1425,375,107.0,107.2,50,1531775,269400,112.03,105.7,128.95,0,0,128.95,134.7,sf,NSE:NIFTY24D1224800CE,-27.5,-20.4157
106.45,281600,2024-12-09 09:15:23,1733715924,1425,375,107.0,107.2,25,1531775,269400,112.03,105.7,128.95,0,0,128.95,134.7,sf,NSE:NIFTY24D1224800CE,-28.25,-20.9725
106.2,281600,2024-12-09 09:15:23,1733715925,1425,375,107.0,107.2,125,1531775,269400,112.03,105.7,128.95,0,0,128.95,134.7,sf,NSE:NIFTY24D1224800CE,-28.5,-21.1581
107.9,281600,2024-12-09 09:15:23,1733715926,1425,375,107.0,107.2,25,1531775,269400,112.03,105.7,128.95,0,0,128.95,134.7,sf,NSE:NIFTY24D1224800CE,-26.8,-19.8961
107.95,324275,2024-12-09 09:15:26,1733715926,350,1400,107.75,108.0,50,1532225,257450,111.39,105.6,128.95,0,0,128.95,134.7,sf,NSE:NIFTY24D1224800CE,-26.75,-19.8589
107.15,324275,2024-12-09 09:15:26,1733715927,350,1400,107.75,108.0,25,1532225,257450,111.39,105.6,128.95,0,0,128.95,134.7,sf,NSE:NIFTY24D1224800CE,-27.55,-20.4529
107.85,324275,2024-12-09 09:15:26,1733715928,350,1400,107.75,108.0,25,1532225,257450,111.39,105.6,128.95,0,0,128.95,134.7,sf,NSE:NIFTY24D1224800CE,-26.85,-19.9332
109.4,324275,2024-12-09 09:15:26,1733715929,350,1400,107.75,108.0,25,1532225,257450,111.39,105.6,128.95,0,0,128.95,134.7,sf,NSE:NIFTY24D1224800CE,-25.3,-18.7825
