ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
50100.0,21930,2025-02-11 09:15:46,1739245546,30,330,50096.05,50100.0,30,58710,74160,50103.18,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-134.15,-0.267
50100.0,22170,2025-02-11 09:15:47,1739245548,30,240,50094.0,50100.0,30,62430,75570,50103.11,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-134.15,-0.267
50098.85,22170,2025-02-11 09:15:47,1739245549,30,240,50094.0,50100.0,90,62430,75570,50103.11,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-135.3,-0.2693
50099.95,22500,2025-02-11 09:15:49,1739245550,60,240,50098.85,50100.0,30,56430,78330,50103.03,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-134.2,-0.2671
50089.15,22500,2025-02-11 09:15:49,1739245551,60,240,50098.85,50100.0,30,56430,78330,50103.03,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-145.0,-0.2886
50089.15,22710,2025-02-11 09:15:50,1739245551,30,90,50087.45,50099.9,30,64200,58830,50102.97,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-145.0,-0.2886
50088.65,22710,2025-02-11 09:15:50,1739245552,30,90,50087.45,50099.9,30,64200,58830,50102.97,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-145.5,-0.2896
50100.0,22860,2025-02-11 09:15:52,1739245553,30,30,50093.5,50098.75,30,65280,76650,50102.93,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-134.15,-0.267
50098.7,22860,2025-02-11 09:15:52,1739245554,30,30,50093.5,50098.75,30,65280,76650,50102.93,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-135.45,-0.2696
50098.6,24120,2025-02-11 09:15:54,1739245554,30,90,50088.8,50098.6,30,65250,77640,50102.2,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-135.55,-0.2698
50093.5,24120,2025-02-11 09:15:54,1739245556,30,90,50088.8,50098.6,30,65250,77640,50102.2,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-140.65,-0.28
50092.4,25200,2025-02-11 09:15:56,1739245556,90,90,50092.35,50102.2,30,61680,80220,50102.22,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-141.75,-0.2822
50094.95,25200,2025-02-11 09:15:56,1739245557,90,90,50092.35,50102.2,30,61680,80220,50102.22,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-139.2,-0.2771
50093.5,25200,2025-02-11 09:15:56,1739245558,90,90,50092.35,50102.2,30,61680,80220,50102.22,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-140.65,-0.28
50090.25,25500,2025-02-11 09:15:58,1739245558,30,30,50090.0,50090.25,30,46080,81180,50102.11,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-143.9,-0.2865
50088.0,25500,2025-02-11 09:15:58,1739245559,30,30,50090.0,50090.25,30,46080,81180,50102.11,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-146.15,-0.2909
50088.0,25920,2025-02-11 09:15:59,1739245559,90,120,50088.0,50089.85,60,57810,82860,50101.92,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-146.15,-0.2909
50088.0,25920,2025-02-11 09:15:59,1739245560,90,120,50088.0,50089.85,60,57810,82860,50101.92,50084.2,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-146.15,-0.2909
50086.05,26970,2025-02-11 09:16:01,1739245561,30,90,50080.3,50086.05,30,61200,79920,50101.23,50080.0,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-148.1,-0.2948
50085.65,26970,2025-02-11 09:16:01,1739245562,30,90,50080.3,50086.05,30,61200,79920,50101.23,50080.0,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-148.5,-0.2956
50076.8,27960,2025-02-11 09:16:02,1739245562,60,30,50071.0,50076.9,30,61200,81030,50100.42,50075.0,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-157.35,-0.3132
50066.0,27960,2025-02-11 09:16:02,1739245563,60,30,50071.0,50076.9,30,61200,81030,50100.42,50075.0,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-168.15,-0.3347
50061.0,27960,2025-02-11 09:16:02,1739245564,60,30,50071.0,50076.9,30,61200,81030,50100.42,50075.0,50190.0,0,0,50190.0,50234.15,sf,NSE:BANKNIFTY25FEBFUT,-173.15,-0.3447
