last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
11-04-2025 09:15,25.9,29.1,25.7,90675,-646.8,32475,-4875,N,68400,N,-9.52,22824,22849.9,-1,-3.2,-3.5,8100,-200.85,30375,155325,N,72075,N,-19.53,-17.4,-19.1,-19.55,-6600,-129.55,29925,250800,N,128700,N,-3.46,26.45,12.8,18.9,-11010,-2695.2,14190,19650,N,12300,N,-8.36
11-04-2025 09:20,45.3,39.5,45.2,-164025,-794.9,39300,152625,Y,14625,N,0.76,22849.9,22895.2,25.05,24.6,24.45,13200,-235.1,36900,5925,N,-38100,Y,-1.86,-13.9,-14.15,-14,6525,-139.1,39150,-45750,Y,99825,N,-4.06,80,85.8,75,-6930,-2788.6,16080,15300,N,18090,N,7.73
11-04-2025 09:25,-49.05,-45.85,-46,-12975,-1118.45,46275,71550,N,69000,YES,1.91,22895.05,22849.85,-29.75,-29.75,-29.8,-6000,-243.55,36600,86550,Y,89400,YES,-0.13,21.35,21.25,21.25,-12675,-136.05,40275,61875,YES,31275,N,-2.39,-127,-138.95,-138,8400,-3711.9,17490,240,YES,6330,N,4.28
11-04-2025 09:30,33.75,35.75,32.2,-75600,-993.75,38550,7575,N,11325,N,0.45,22849.8,22883.55,15.95,16.4,16.35,-9750,-235.1,39375,38325,N,-4350,Y,-0.57,-16.7,-16.65,-16.55,1875,-140,37800,-24525,Y,98100,Y,-0.85,84.6,73.15,68.9,-38280,-2906.3,15480,14130,N,-2010,Y,-2.91
11-04-2025 09:35,46.75,46.45,47.35,-39975,-1061.9,36900,89400,Y,-1650,Y,9.13,22883.55,22930,40.05,42.9,42.95,-22350,-274.85,36525,-23025,YES,-78450,Y,7.66,-8,-8.75,-8.75,-6600,-127.95,37500,-21225,N,48825,N,-3.06,107.65,107.85,118.55,6450,-3261.4,15630,15450,N,-31530,Y,18.67
11-04-2025 09:40,3.1,5.5,6.15,-57975,-1031.2,38475,-29175,YES,-16200,Y,6.57,22932.4,22935.5,8.85,8.7,8.85,-28425,-272.25,33375,-15525,N,-23100,YES,3.8,0.95,1.3,1.15,36450,-114.4,37425,12225,YES,34875,N,-1.87,-0.5,-3.8,-12.9,-4560,-2724.8,12570,-4170,YES,27690,YES,5.79
11-04-2025 09:45,29.5,25.65,31,-45375,-880.45,35400,106950,Y,-28425,Y,5.47,22935.5,22965,19.05,18.95,19,-5775,-258.15,39600,3825,N,-15075,N,2.61,-6.4,-5.8,-5.7,-9600,-120.85,39000,-32700,Y,14775,N,-1.39,65.1,67.35,66.5,29100,-2333.5,15330,6720,N,2700,Y,15.49
11-04-2025 09:50,-11.55,-11.95,-13.15,59100,-1090.1,34875,40350,N,24750,YES,3.48,22964.45,22952.9,-8.15,-6.85,-7,-5475,-277.9,37650,-36450,YES,15225,YES,1.87,3.25,3.15,3.25,21900,-128.1,39225,-900,YES,14625,N,-0.84,-42.95,-42.45,-40,-14430,-2318.7,11970,8220,N,15120,N,3.45
11-04-2025 09:55,-32.45,-33.45,-32.9,51150,-899.9,38400,2625,YES,21075,N,3.51,22949.45,22920,-20.75,-22.55,-22.45,-10650,-283.05,36900,-22575,N,8925,N,1.94,8.7,8.8,8.85,-13200,-131.8,41175,21600,YES,-16575,YES,-0.89,-78.15,-90.4,-80.1,-330,-2463.4,12210,-3240,YES,-33600,Y,1.56
11-04-2025 10:00,2.55,6.25,5.2,-6675,-747.15,31725,20925,N,8250,N,1.81,22924.75,22927.3,4,3.3,3.3,4650,-275.2,37575,9300,Y,13050,N,1.38,-1.6,-1.5,-1.6,-7950,-132.05,39225,-7950,Y,43125,Y,-0.59,20.05,7.75,19.75,16110,-3634.95,11100,16230,N,33030,YES,1.38
11-04-2025 10:05,-34.75,-34.2,-32.15,26250,-1024.35,35700,-134925,YES,225,Y,1.33,22927.3,22890.95,-24.55,-23,-23.1,5025,-254.05,43725,-23250,YES,12000,N,0.54,7.45,7,6.95,-2175,-133.8,36825,27000,YES,-34275,YES,-0.19,-33.75,-33.75,-43.6,4020,-2787.3,12810,-9150,YES,1320,Y,0.67
11-04-2025 10:10,13.65,11.15,13.65,9900,-1104.75,33975,99675,Y,-14850,Y,0.43,22892,22905.65,1.7,1.55,1.2,-8925,-244.45,37650,-675,Y,23175,N,0.21,-7.15,-6.8,-7,-33225,-125.65,38550,-33225,Y,-3150,Y,-0.26,21.3,13.05,18.3,-4050,-2880.65,11040,-5790,N,20910,N,0.1
11-04-2025 10:15,-15.65,-12.9,-12.15,28125,-926.85,32250,-9900,YES,35850,YES,0.28,22905.65,22890,-9.85,-10.45,-10.45,8700,-245.6,34200,-8700,YES,40950,N,0.09,4.8,4.95,4.95,-13800,-126.55,36825,26475,YES,-6300,YES,-0.18,-37.95,-28.1,-37.95,870,-2881.8,15300,-15480,YES,-2970,Y,0.8
11-04-2025 10:20,-15,-18.2,-22.2,40200,-853.15,31575,-35475,YES,98025,YES,-0.18,22890,22875,-13.5,-14.2,-14.25,-34050,-240.2,39600,47250,Y,16425,N,-0.36,4.2,4.75,4.7,-33750,-132.45,41475,36975,N,-21300,YES,0.03,-58.75,-74,-59.3,-26010,-2901.55,12240,-9270,N,-1350,N,-4.47
11-04-2025 10:25,6.7,6.7,6.95,-32925,-774.85,26850,-3000,Y,-7050,Y,-0.12,22873.3,22880,3.55,3.85,3.9,1500,-231.2,39375,22575,N,-15375,Y,-0.24,1.2,1,1,-22125,-132.2,39900,-16425,Y,38550,Y,0.09,12.9,29.4,23.75,12990,-3497.85,12570,-2400,N,-11490,Y,-1.3
11-04-2025 10:30,5.6,7,7.9,26550,-1023.3,32175,-64425,YES,-11625,Y,0.32,22881.4,22888.5,-0.6,0.1,0.15,9900,-236.5,35025,-20625,YES,150,N,-0.09,-5.55,-5.5,-5.55,-36825,-126.35,36900,-41250,Y,5475,N,-0.32,57.05,50.9,45.55,16710,-3303.9,11340,-3540,YES,16560,YES,-0.21
11-04-2025 10:35,-64.1,-63.9,-63.75,105000,-1212.45,35625,-36300,Y,-111600,Y,-3.6,22888.5,22824.4,-36.85,-38,-38.1,12225,-224.65,38625,-16725,N,47700,YES,-3.14,25.25,26.25,26.3,-17850,-147.85,40050,10800,YES,-202425,YES,2.2,-123.25,-117.05,-107.7,-3990,-3400.3,12120,-8400,YES,17580,N,-3.21
11-04-2025 10:40,45.05,50,45.7,55350,-1094.05,36675,53100,Y,13950,YES,-1.01,22824.95,22870,20.6,20.5,20.5,-8925,-204.95,36900,29400,Y,-16350,Y,-2.4,-24.35,-24.45,-24.45,6900,-144.4,38100,-36600,Y,51375,Y,0.66,74.95,62.5,64.1,11190,-3076.8,13380,22080,Y,-4230,Y,-1.99
11-04-2025 10:45,0.7,-4,0.6,9150,-912.55,36300,-2475,YES,-5475,Y,-0.48,22869.2,22869.6,1.75,0.95,0.9,9375,-210.35,37950,-13350,YES,5475,YES,-1.17,-3.5,-3.65,-3.55,-18975,-138.55,39750,3150,YES,16575,N,-0.08,-7,1.75,-7.05,-480,-3236.85,18990,11940,N,3960,N,-1.28
11-04-2025 10:50,-8.6,-6.2,-9.25,-43875,-900.3,28200,18825,Y,4125,N,-0.18,22869.6,22862,-0.85,-1.8,-1.85,11100,-233.25,40875,12750,Y,35175,YES,-0.57,0.4,0.7,0.65,9450,-131.35,43275,40350,YES,21975,N,-0.11,25,17.55,13.9,10230,-2633.3,9930,13560,N,6840,N,-0.31
11-04-2025 10:55,26,27.6,26.6,-28875,-786.65,36600,-13050,YES,10950,N,0.02,22866.95,22892,10.75,10.6,10.4,-5475,-224.7,35250,4125,N,-4875,Y,-0.67,-9.8,-10.05,-10.2,48000,-125.05,38250,-42825,Y,42225,Y,-0.5,32.2,34.9,39.8,27720,-2552.2,12210,7110,N,4710,N,-0.01
11-04-2025 11:00,10.35,10.25,10.1,1800,-751.95,26550,-11400,N,63375,YES,0.26,22894.65,22905,8.5,8.4,8.5,-3225,-242.4,40425,-10200,YES,-33000,Y,-0.15,-4.75,-5.45,-5.45,-11025,-119.6,43500,-9600,YES,71325,Y,-0.71,35.85,28.05,21.3,-14040,-2254.05,14970,15690,N,16860,N,0.27
11-04-2025 11:05,-1.2,-0.95,-0.5,-25350,-1064.65,32475,15975,Y,-11475,Y,0.17,22907.7,22904.25,-1.65,-0.8,-0.3,0,-232.4,35100,8850,N,-1425,YES,-0.06,-0.25,0.4,0.5,-13050,-122.6,39000,28950,YES,1200,YES,-0.31,1.6,1.95,-1,-10110,-3420.55,16590,18030,N,24270,N,0.28
11-04-2025 11:10,17.5,17.45,17,-81900,-840.2,26550,30975,N,-50925,Y,0.75,22904.25,22925,9.3,7.9,8.15,-4200,-252.4,42600,-20250,YES,-5250,Y,0.09,-0.65,-0.15,-0.15,16050,-126.7,44625,-86100,Y,12225,N,-0.88,64.25,63.6,65,18600,-3108.2,10680,120,YES,9480,N,1.71
11-04-2025 11:15,-15.2,-20.1,-18.6,-74475,-911.1,26400,-10500,YES,30975,YES,0.43,22922.55,22905,-9.5,-8.7,-8.65,16950,-248.35,36525,-2925,N,14550,N,0.02,7.75,8.75,8.95,-51075,-113.15,38925,44700,YES,-11550,YES,-0.69,-31.6,-28.9,-31.7,12480,-2989.7,11310,8280,N,6810,N,1.62
11-04-2025 11:20,26.65,32.6,35,-113100,-821.2,26700,2625,N,58725,YES,0.37,22907.75,22934.4,20.5,20.85,20.95,-1500,-247.85,36975,6150,N,-32100,Y,0.11,-11.5,-11.65,-11.65,-1725,-108.8,39150,-10875,Y,54150,Y,-0.64,78.95,77.05,77.45,20430,-3295.85,11820,390,YES,-3000,Y,2.37
11-04-2025 11:25,-5.05,-4.8,-3.8,-30450,-1121.5,33600,9075,N,-75,Y,0.89,22941,22939.9,-6.75,-6.35,-6.05,-6600,-254.25,37200,-13725,YES,14325,YES,0.24,0.85,0.9,0.9,375,-110,42450,-4800,N,29625,N,-0.83,15.95,12.75,9.85,-1740,-2853,12300,6630,N,3720,N,4.32
11-04-2025 11:30,10.5,4.75,6.75,-53475,-824.35,30075,5625,N,63300,YES,1.01,22939.85,22948.1,3.45,2.9,2.8,7500,-270.55,36375,675,N,-13125,Y,0.26,-2.4,-2.5,-2.45,-12300,-108.05,40425,18075,YES,-2250,YES,-0.78,42.4,52.15,42.4,27420,-3099.5,13440,-840,YES,840,Y,10.61
11-04-2025 11:35,18.35,17.15,18.05,67350,-1053.1,31650,56850,Y,-18225,Y,3.33,22948.1,22969.65,15.8,14.2,14.05,2175,-270.15,33600,-16875,YES,-35775,Y,0.75,-5.6,-6,-6.05,-23025,-102.05,38100,-11025,Y,38625,Y,-1.11,15.65,2.05,-0.3,30870,-3408.7,16500,8130,N,-24120,Y,10.85
11-04-2025 11:40,-15.75,-16.95,-15.8,43425,-1144.3,32925,-20625,YES,65550,YES,0.98,22969.75,22957.7,-19.55,-19.2,-19.55,-24075,-256.55,37125,-3675,N,19050,YES,0.26,3.75,3.4,3.5,-93450,-95.7,36000,-8475,N,-4800,YES,-0.78,-50,-38.3,-42.05,6660,-3298.2,12390,-7140,YES,24750,YES,2.55
11-04-2025 11:45,12,11.95,6.7,-2325,-1003,29700,-3600,N,40050,N,0.77,22953,22965.6,6.35,7.5,7.6,-225,-266.45,37500,5850,N,16050,N,0.19,-0.85,-1.15,-1.1,-37200,-101.45,35475,18000,YES,24900,Y,-0.51,34.25,20.8,20.25,15390,-4099.9,13170,-9450,YES,3600,N,2.19
11-04-2025 11:50,-19.1,-23.05,-18.75,-18975,-962.6,31050,-22500,YES,25875,N,0.59,22962,22943.9,-12.75,-11.55,-11.15,8250,-253.7,38775,-12150,YES,7500,N,0.16,5.05,5.1,5.05,-61575,-100.45,37500,22500,N,-8625,YES,-0.64,-36.25,-22.85,-19.95,8220,-4137.35,13530,90,N,540,Y,1.54
11-04-2025 11:55,10.1,8.25,6.75,-77625,-804.1,22575,4350,Y,-7050,Y,0.28,22943.9,22954,5.25,5.6,5.5,10275,-235.15,32325,-525,N,1050,Y,0.11,-4.15,-4.25,-4.4,-62250,-99.35,39375,7650,N,22725,Y,-0.37,43.1,32.1,31.1,30270,-3684.85,10530,-510,YES,-10020,Y,1.18
11-04-2025 12:00,-0.05,1.35,2,9750,-845.45,25800,83025,Y,5700,N,0.47,22951.15,22955,0.9,-0.5,-0.45,36225,-258.25,36750,-10425,YES,7500,N,0.13,0.4,0.55,0.55,-12825,-95.3,39150,7125,N,12450,N,-0.53,-20.5,-10.25,-18.4,13050,-2273.15,10440,8580,N,21990,YES,0.81
11-04-2025 12:05,-7.15,-4.1,-8.25,-15300,-699,23550,23325,N,-2250,Y,0.28,22955,22947.4,-4.95,-5.2,-4.9,20175,-231.35,34200,1425,N,1800,Y,0.15,4.2,4.45,4.45,-39075,-96,40800,13950,N,-12975,YES,-0.45,-5.2,2.8,-9.35,28320,-2607.55,11280,-7770,YES,3570,N,1.54
11-04-2025 12:10,46.8,45.5,44.6,-5925,-910.9,29550,-3900,YES,57300,YES,1.64,22947.4,22995,26.65,25.1,24.8,-75,-254.8,37350,1425,N,-31950,Y,0.58,-17.5,-17.35,-17.25,-20175,-96.75,41700,-76575,Y,60150,Y,-1.23,89.4,88.2,91.9,23130,-2208.05,11970,8070,N,12030,N,6.94
