last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume
11-08-2025 09:25,-23.2,44925,136,79200,73425,-20.6,-22.8,5775,-654.7,25050,13800,N,-32400,N,24458.69,24492.8,24469.6,24494.6,24462.1,11-08-2025 09:25,-8.3,3913200,204,336525,391800,-8.2,-8.3,-55275,-104.35,38925,-289350,N,139350,N,145.25,136.95,148.6,133,135.63,11-08-2025 09:25,8.65,4282650,183,507000,361950,8.55,8.6,145050,-63.75,39300,149775,N,-69000,N,101.35,110,111.9,98.4,114.16,11-08-2025 09:25,1754884500,12.52,12.55,12.43,12.51,0
11-08-2025 09:30,23.7,150975,246,137775,165075,20.4,24,-27300,-1139.9,45075,18000,N,-8550,YES,24459.15,24469.6,24493.3,24494.1,24426.1,11-08-2025 09:30,11.8,10495500,340,743025,542100,11.7,11.75,200925,-148.65,67275,192075,Y,-256200,Y,137,148.8,150,117.5,134.87,11-08-2025 09:30,-12.45,14559075,331,646650,688800,-12.35,-12.45,-42150,-140.5,69600,-311100,Y,-60900,N,109.45,97,134.95,96.6,116.06,11-08-2025 09:30,1754884800,12.5,12.7,12.48,12.5,0
11-08-2025 09:35,-38.8,73950,209,170625,68325,-41,-37.5,102300,-1119.1,39000,68550,Y,12300,YES,24461.09,24490,24451.2,24495,24447.2,11-08-2025 09:35,-16,7449075,357,505050,439275,-17.5,-17.5,65775,-152.2,61050,-155250,YES,458925,YES,145,129,150.75,125.7,135.64,11-08-2025 09:35,19.85,8326725,354,821325,862350,21.2,21.25,-41025,-128.25,74850,348075,YES,64050,Y,100,119.85,124.45,97.45,115.2,11-08-2025 09:35,1754885100,12.48,12.66,12.48,12.65,0
11-08-2025 09:40,9,65700,178,99825,89925,8.1,6.9,9900,-1268.5,37050,28425,N,900,Y,24460.16,24450.5,24459.5,24463.6,24440.1,11-08-2025 09:40,2.2,4192800,360,536175,572100,1.65,1.65,-35925,-146.1,67875,163650,Y,198825,N,128.55,130.75,134,124.75,135.07,11-08-2025 09:40,-2.15,6389325,360,625275,712050,-1.75,-1.7,-86775,-143.2,65250,21450,N,243825,Y,120.15,118,126.65,115,115.98,11-08-2025 09:40,1754885400,12.64,12.69,12.62,12.65,0
11-08-2025 09:45,-18.9,51450,153,88500,91725,-18.6,-21.7,-3225,-1362.7,35925,33000,N,-4275,Y,24459.18,24454.9,24436,24460,24430,11-08-2025 09:45,-9.05,3901800,360,558375,567975,-8.85,-9,-9600,-143.25,63900,-82875,YES,44550,N,131.05,122,132.85,119.3,134.4,11-08-2025 09:45,10.35,7062525,360,497325,564450,10.5,10.55,-67125,-145.5,62775,155700,YES,-49875,YES,118.2,128.55,133,115.8,117.17,11-08-2025 09:45,1754885700,12.64,12.73,12.63,12.72,0
11-08-2025 09:50,33.9,36975,147,87375,116775,35.7,33,-29400,-1405.4,36375,15450,N,28275,YES,24458.78,24437.1,24471,24472,24433.5,11-08-2025 09:50,14.85,5055450,360,517725,639675,14.85,14.85,-121950,-140.45,62925,151350,Y,-101325,Y,122.65,137.5,137.95,122.4,134.04,11-08-2025 09:50,-20.25,6683100,360,607800,649950,-20.5,-20.6,-42150,-136,65700,-269550,Y,157800,Y,128.35,108.1,129.05,107.35,117.4,11-08-2025 09:50,1754886000,12.71,12.72,12.6,12.6,0
11-08-2025 09:55,4.3,39300,149,83700,111750,-1.6,3.8,-28050,-1476.7,42525,14475,N,4650,N,24459.49,24471,24475.3,24480.4,24465,11-08-2025 09:55,-0.45,5036400,358,576450,519300,-0.1,-0.05,57150,-160.45,64650,-27600,YES,142950,YES,137.65,137.2,140.85,133.7,134.36,11-08-2025 09:55,2.15,4167750,358,651000,721425,2.25,2.2,-70425,-126.7,71475,272550,YES,168750,N,107.7,109.85,113,105.4,116.9,11-08-2025 09:55,1754886300,12.61,12.64,12.55,12.56,0
11-08-2025 10:00,19.7,44925,142,79425,79575,16.3,11.1,-150,-1548.5,41400,-10725,YES,-150,Y,24460.72,24469.6,24489.3,24490,24469.6,11-08-2025 10:00,5.85,4477050,357,490800,604500,6.25,6.2,-113700,-165.25,67575,96675,Y,-67875,Y,137.55,143.4,146.45,137.45,134.93,11-08-2025 10:00,-5.9,3568050,359,672900,640875,-6.35,-6.35,32025,-121.3,72075,4200,N,47550,N,109.6,103.7,110.7,102.05,116.3,11-08-2025 10:00,1754886600,12.55,12.58,12.54,12.56,0
11-08-2025 10:05,-9.5,28575,110,112275,66675,-12.6,-10.8,45600,-1394.2,34050,13050,Y,24825,YES,24461.43,24490.5,24481,24491,24475,11-08-2025 10:05,-2.85,3749475,360,577950,645000,-2.8,-2.85,-67050,-162,63750,-44925,YES,46275,YES,143,140.15,145.55,136.65,135.28,11-08-2025 10:05,3.35,4529025,360,873900,829050,3.2,3.25,44850,-132.45,73125,-47475,Y,67050,N,104,107.35,109.55,99.45,115.6,11-08-2025 10:05,1754886900,12.55,12.58,12.51,12.58,0
11-08-2025 10:10,4.4,27975,94,89625,58350,9.7,8.3,31275,-1529.7,34800,15525,N,975,Y,24461.88,24481,24485.4,24489,24466.2,11-08-2025 10:10,4,4050600,360,491550,540225,3.2,3.25,-48675,-153.05,64650,25050,Y,-28200,Y,140.4,144.4,144.65,132.9,135.48,11-08-2025 10:10,-5.95,4615575,359,741900,852000,-5.4,-5.5,-110100,-130.1,70800,-25800,YES,59250,N,107.2,101.25,113.7,100.9,115.13,11-08-2025 10:10,1754887200,12.57,12.6,12.53,12.55,0
