last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume
11-09-2025 09:15,35.9,103875,128,163125,69675,41,38,93450,-596.2,34500,51525,N,11925,N,25071.82,25058.8,25094.7,25098,25055.1,11-09-2025 09:15,17.1,11020500,151,399675,462150,17.4,17.45,-62475,-71.25,37500,346875,N,374700,N,107.35,124.45,127.15,101.7,112.88,11-09-2025 09:15,-16.55,8455275,149,538275,321225,-16.5,-16.4,217050,-58.75,37125,102675,N,452175,N,101.75,85.2,103.25,84.8,95.5,11-09-2025 09:15,1757562300,10.54,10.78,10.31,10.55,0
11-09-2025 09:20,-4.7,71250,152,132150,80475,-1.2,0.4,51675,-1079.6,29400,4425,N,60150,YES,25078.58,25097.7,25093,25099,25090,11-09-2025 09:20,0.05,7846800,180,706800,511125,0.65,0.65,195675,-90.75,46350,232875,N,433950,YES,123.9,123.95,127.05,119.4,116.77,11-09-2025 09:20,-1.2,6332475,180,700650,520650,-1.55,-1.55,180000,-59.85,57225,345525,YES,451800,N,84.55,83.35,87.4,82.15,91.54,11-09-2025 09:20,1757562600,10.56,10.62,10.55,10.6,0
11-09-2025 09:25,-12,55725,140,165450,146400,-10.3,-14.3,19050,-1014.3,29250,6225,N,8025,N,25081.76,25095,25083,25103.7,25081,11-09-2025 09:25,-9.4,8272800,182,815100,435675,-10.25,-10.25,379425,-87.6,45000,74700,N,515250,YES,124.3,114.9,128.55,113.5,118.19,11-09-2025 09:25,6,7290600,182,710025,733350,6.25,6.3,-23325,-60.35,56700,378150,YES,33675,N,82.95,88.95,89.85,80.65,89.66,11-09-2025 09:25,1757562900,10.61,10.65,10.6,10.62,0
11-09-2025 09:30,-3.5,35850,143,167475,63225,-4.6,-1.4,104250,-1265.1,30600,8250,N,8925,N,25081.53,25083,25079.5,25091,25072,11-09-2025 09:30,1.25,6766950,180,534000,502950,0.4,0.4,31050,-88.7,50325,49050,N,232800,N,114.4,115.65,120.4,108.05,117.47,11-09-2025 09:30,0.35,8323500,180,736350,773850,0.95,0.85,-37500,-70.65,51225,41025,N,300525,Y,88.75,89.1,94.85,85.2,89.89,11-09-2025 09:30,1757563200,10.63,10.66,10.61,10.62,0
11-09-2025 09:35,-1,40125,120,92700,84000,3.1,3.9,8700,-1051.8,28500,45975,Y,20625,N,25081.33,25084,25083,25092,25072.8,11-09-2025 09:35,0.9,4856325,180,513975,487050,1.25,1.25,26925,-84.9,47025,110175,Y,156975,N,116.15,117.05,120.85,111.65,117.38,11-09-2025 09:35,-1.65,4614525,180,610650,608325,-1.65,-1.65,2325,-66.25,53700,115650,YES,14475,N,88.95,87.3,92.7,85.35,89.81,11-09-2025 09:35,1757563500,10.63,10.66,10.59,10.66,0
11-09-2025 09:40,-3.5,28350,112,247425,78150,-5,-7.6,169275,-826.7,30150,2400,YES,-2025,Y,25080.95,25083,25079.5,25083,25068.5,11-09-2025 09:40,-5.45,6175950,181,642300,526500,-6,-6.05,115800,-83.15,44025,-76275,YES,343050,YES,116.85,111.4,117.4,107,116.54,11-09-2025 09:40,4,7018200,181,639300,678600,4.05,4,-39300,-68,52500,78000,N,-65625,YES,87.45,91.45,95.6,87.35,90.22,11-09-2025 09:40,1757563800,10.65,10.65,10.57,10.62,0
11-09-2025 09:45,3.2,34500,92,85950,56775,1.4,3.2,29175,-929.5,27675,23025,Y,17175,N,25080.31,25079.5,25082.7,25083,25065,11-09-2025 09:45,3.5,4383975,181,712950,602175,3.3,3.35,110775,-83.4,47625,267675,Y,-40350,Y,111.2,114.7,115.4,106.1,116.08,11-09-2025 09:45,-3.2,5732550,181,825675,929775,-2.95,-2.9,-104100,-71.95,50025,-89100,Y,172125,Y,91.2,88,96.6,87.5,90.43,11-09-2025 09:45,1757564100,10.62,10.65,10.59,10.6,0
11-09-2025 09:50,-3,49950,157,71775,262275,0.1,0.7,-190500,-812.7,31050,-14475,YES,6825,N,25080.32,25083,25080,25089,25073.2,11-09-2025 09:50,-0.75,4283925,182,635475,687750,-0.5,-0.5,-52275,-89.5,51150,310500,Y,84075,YES,114.9,114.15,119,111.5,116.05,11-09-2025 09:50,0.35,3883875,182,1070175,768000,0.2,0.2,302175,-70.35,53475,69825,YES,95925,N,88.1,88.45,91.3,85.05,90.25,11-09-2025 09:50,1757564400,10.61,10.64,10.59,10.61,0
11-09-2025 09:55,-4,24075,106,112875,82950,-0.1,-4.3,29925,-1289.6,27600,-675,N,6975,N,25080.2,25084,25080,25084.2,25071,11-09-2025 09:55,-2.6,3042225,182,535950,632100,-2.85,-2.95,-96150,-84.15,51975,-65850,YES,203850,YES,114.65,112.05,114.9,109,115.82,11-09-2025 09:55,0.9,4110750,182,820050,924975,1,1.1,-104925,-74.6,56775,-7725,Y,72150,N,88.1,89,92.3,87.9,90.24,11-09-2025 09:55,1757564700,10.62,10.63,10.59,10.6,0
11-09-2025 10:00,-12,50025,105,170700,52575,-18.1,-12.2,118125,-996.5,30525,1650,N,-3750,Y,25079.23,25080,25068,25082.4,25060,11-09-2025 10:00,-6.45,5054400,182,763500,559575,-6.85,-6.8,203925,-73.55,48825,-159450,YES,76050,N,111.95,105.5,113.35,102.2,115.1,11-09-2025 10:00,6.85,7104075,182,618900,687450,6.75,6.85,-68550,-64.8,50850,27000,YES,-270000,YES,88.8,95.65,98.9,87.55,90.72,11-09-2025 10:00,1757565000,10.61,10.63,10.59,10.6,0
