last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,prev_open,prev_close
11-11-2024 09:15,17.45,19.7,21.7,25925,-578.35,11275,-1125,N,60350,N,1.45,24116,24133.45,11-11-2024 09:15,1.25,4.05,4.1,13350,-44.9,10225,21075,N,13725,N,119.1,120.35,123.55,114.95,0.05,11-11-2024 09:15,-9.85,-12.1,-11.9,12500,-64.4,9500,-22275,N,62675,N,174.75,164.9,177.35,161.85,-2.24,11-11-2024 09:15,24087.25,24061.2
11-11-2024 09:20,4.65,10.3,9.55,-11975,-1792.8,19675,14525,N,106725,YES,9.46,24136.35,24141,11-11-2024 09:20,2.2,1.7,1.6,-45625,-109.4,20675,112675,Y,70100,YES,120.8,123,143.55,118.75,5.81,11-11-2024 09:20,-9.25,-8.5,-8.6,-12800,-140.25,22375,209875,YES,65550,N,164.45,155.2,167.4,140.25,-11.52,11-11-2024 09:20,24060,24064.25
11-11-2024 09:25,28.15,29,25.95,3850,-1402.05,16900,11500,N,10375,N,3.09,24141.35,24169.5,11-11-2024 09:25,8.45,9.9,10.05,-2000,-108.25,24950,20000,N,33500,N,123.7,132.15,137.05,116.2,0.67,11-11-2024 09:25,-14.45,-15.15,-15.2,-8200,-127.7,23800,-165625,Y,56625,N,154.7,140.25,158.2,136.4,-4.7,11-11-2024 09:25,24066.25,24099.15
11-11-2024 09:30,41.15,41.1,40.8,-190975,-1318.75,16600,22100,N,45200,YES,13.32,24170.1,24211.25,11-11-2024 09:30,24.45,26.05,26.05,-28725,-130.25,20900,72175,Y,-8625,Y,131.95,156.4,159.15,131.95,7.84,11-11-2024 09:30,-17.1,-18.7,-18.8,14175,-110.4,23350,-30875,YES,61900,N,140.05,122.95,141,120.6,-7.8,11-11-2024 09:30,24098.65,24143.95
11-11-2024 09:35,-16.3,-16.45,-18.5,-10400,-947.9,15625,9450,N,-31975,Y,9.71,24211.5,24195.2,11-11-2024 09:35,-3.65,-5.95,-5.9,-15875,-130.35,23850,-60300,YES,27450,YES,155.65,152,168.9,149.3,4.33,11-11-2024 09:35,0.85,2.1,2.25,-7375,-102.3,22175,50450,YES,20425,N,123.3,124.15,126.6,114.5,-4.69,11-11-2024 09:35,24144.55,24124.15
11-11-2024 09:40,20.05,22,19.3,-309150,-1123.6,20150,2025,YES,34925,YES,4.01,24195.5,24215.55,11-11-2024 09:40,9.5,11.65,11.6,-26475,-126.4,22800,25575,Y,-3000,Y,151.5,161,167,135.05,1.9,11-11-2024 09:40,-9,-10.6,-10.6,36525,-109.8,24550,-29025,Y,28225,N,124.2,115.2,137.95,111,-4.43,11-11-2024 09:40,24124.85,24145.7
11-11-2024 09:45,19.15,20.9,22.2,-32375,-1170.6,14125,19750,N,-15450,Y,5.05,24217.8,24236.95,11-11-2024 09:45,10.85,10.2,10.2,6800,-135.1,23700,30400,N,-19075,Y,161.25,172.1,176,150,3.57,11-11-2024 09:45,-9.4,-8.95,-9.05,-34875,-97.95,22975,-13375,N,41850,N,115.3,105.9,122.8,103.8,-3.56,11-11-2024 09:45,24144.4,24171.9
11-11-2024 09:50,-9.95,-11.55,-11.15,-10725,-1180,13775,23875,N,28875,YES,2.46,24239.95,24230,11-11-2024 09:50,-6.65,-6.8,-6.75,-42625,-142.9,23375,-20525,YES,42525,YES,171.6,164.95,173.4,157,1.53,11-11-2024 09:50,4.75,4.7,4.7,23925,-91.9,22150,17025,YES,-5800,YES,105.6,110.35,116.2,105.5,-1.96,11-11-2024 09:50,24171.75,24160.15
11-11-2024 09:55,2.4,1.4,1.45,-2000,-1216.35,15350,-7350,YES,9975,N,3.59,24231,24233.4,11-11-2024 09:55,-1.45,-1,-1,1900,-153.1,22500,-48950,YES,10175,N,165.5,164.05,179.05,149.8,1.95,11-11-2024 09:55,-1.15,-1.8,-1.8,-45375,-95.45,25025,10100,N,6000,N,109.65,108.5,119.55,101.1,-2.41,11-11-2024 09:55,24159.85,24159.15
11-11-2024 10:00,-24.25,-25.1,-22.6,-99825,-1176.95,16025,39175,Y,6675,N,1.89,24230,24205.75,11-11-2024 10:00,-15.3,-14.85,-14.95,-9075,-132.95,23475,-110700,YES,43125,YES,163.7,148.4,164,145,0.39,11-11-2024 10:00,10.7,11,11,1950,-98.9,27500,33900,YES,-2450,YES,108.1,118.8,122.55,107.05,-1.39,11-11-2024 10:00,24158.9,24135.3
